	Filename,Cluster,Nome_pdb
,0,1ahsA.B99990002
	1ahsA.B99990002.pdb,0,
	1ahsA.B99990009.pdb,0,
	1ahsA.B99990010.pdb,0,
	1ahsA.B99990015.pdb,0,
	1ahsA.B99990017.pdb,0,
	1ahsA.B99990025.pdb,0,
	1ahsA.B99990030.pdb,0,
	1ahsA.B99990031.pdb,0,
	1ahsA.B99990035.pdb,0,
,1,1ahsA.B99990003
	1ahsA.B99990003.pdb,1,
	1ahsA.B99990005.pdb,1,
	1ahsA.B99990021.pdb,1,
	1ahsA.B99990023.pdb,1,
	1ahsA.B99990028.pdb,1,
	1ahsA.B99990032.pdb,1,
	1ahsA.B99990034.pdb,1,
	1ahsA.B99990039.pdb,1,
	1ahsA.B99990040.pdb,1,
	1ahsA.B99990045.pdb,1,
	1ahsA.B99990049.pdb,1,
,2,1ahsA.B99990007
	1ahsA.B99990004.pdb,2,
	1ahsA.B99990007.pdb,2,
	1ahsA.B99990016.pdb,2,
	1ahsA.B99990019.pdb,2,
	1ahsA.B99990022.pdb,2,
,3,1ahsA.B99990011
	1ahsA.B99990008.pdb,3,
	1ahsA.B99990011.pdb,3,
	1ahsA.B99990013.pdb,3,
	1ahsA.B99990020.pdb,3,
	1ahsA.B99990046.pdb,3,
	1ahsA.B99990047.pdb,3,
,4,1ahsA.B99990037
	1ahsA.B99990001.pdb,4,
	1ahsA.B99990018.pdb,4,
	1ahsA.B99990024.pdb,4,
	1ahsA.B99990026.pdb,4,
	1ahsA.B99990033.pdb,4,
	1ahsA.B99990036.pdb,4,
	1ahsA.B99990037.pdb,4,
	1ahsA.B99990038.pdb,4,
	1ahsA.B99990042.pdb,4,
	1ahsA.B99990048.pdb,4,
,5,1ahsA.B99990050
	1ahsA.B99990006.pdb,5,
	1ahsA.B99990012.pdb,5,
	1ahsA.B99990014.pdb,5,
	1ahsA.B99990027.pdb,5,
	1ahsA.B99990029.pdb,5,
	1ahsA.B99990041.pdb,5,
	1ahsA.B99990043.pdb,5,
	1ahsA.B99990044.pdb,5,
	1ahsA.B99990050.pdb,5,
