DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-19910.48828,-17730.61523,-1.68013,100.0,978.53033,0,1amm_.B99990001
-20140.27344,-18183.25586,-1.77365,100.0,897.02136,0,1amm_.B99990002
-20084.48047,-18277.87109,-1.75095,100.0,916.43433,0,1amm_.B99990003
-20125.70703,-18318.01562,-1.76773,100.0,864.52307,0,1amm_.B99990004
-19821.13867,-17752.68555,-1.64376,100.0,1025.71619,0,1amm_.B99990005
-20124.96875,-18191.40625,-1.76743,100.0,986.7406,0,1amm_.B99990006
-20051.42773,-17954.53125,-1.73749,100.0,944.92798,0,1amm_.B99990007
-19940.35352,-17718.28125,-1.69228,100.0,975.53235,0,1amm_.B99990008
-20188.42188,-18469.34766,-1.79325,100.0,884.72247,0,1amm_.B99990009
-20221.42383,-18259.41992,-1.80668,100.0,925.13531,0,1amm_.B99990010
-20213.44336,-18404.81445,-1.80344,100.0,870.60199,0,1amm_.B99990011
-20146.79883,-18369.14258,-1.77631,100.0,879.37415,0,1amm_.B99990012
-20047.80664,-18031.00391,-1.73602,100.0,872.20264,0,1amm_.B99990013
-20026.32422,-17996.96484,-1.72728,100.0,863.44641,0,1amm_.B99990014
-20140.91016,-18368.30664,-1.77391,100.0,912.43097,0,1amm_.B99990015
-20093.02539,-18194.96484,-1.75442,100.0,955.18646,0,1amm_.B99990016
-20172.23047,-18124.44727,-1.78666,100.0,907.16205,0,1amm_.B99990017
-19999.75,-17571.72656,-1.71646,100.0,1000.89899,0,1amm_.B99990018
-20145.42578,-18284.22852,-1.77575,100.0,866.2171,0,1amm_.B99990019
-20291.45312,-18495.73242,-1.83519,100.0,926.44403,0,1amm_.B99990020
-20237.05469,-18428.39844,-1.81305,100.0,894.26093,0,1amm_.B99990021
-20227.30859,-18524.14258,-1.80908,100.0,882.32135,0,1amm_.B99990022
-20059.95898,-18209.34961,-1.74097,100.0,1020.59277,0,1amm_.B99990023
-20241.01562,-18603.38867,-1.81466,100.0,995.09058,0,1amm_.B99990024
-20039.09375,-17906.50195,-1.73247,100.0,883.54358,0,1amm_.B99990025
-20203.44531,-18603.5,-1.79937,100.0,889.60205,0,1amm_.B99990026
-20006.32617,-17852.93359,-1.71914,100.0,1074.20703,0,1amm_.B99990027
-20035.03516,-18028.73242,-1.73082,100.0,963.11542,0,1amm_.B99990028
-20187.24023,-18331.21875,-1.79277,100.0,893.13318,0,1amm_.B99990029
-20069.37891,-18014.92383,-1.7448,100.0,951.32635,0,1amm_.B99990030
-19962.87305,-17746.33398,-1.70145,100.0,901.83154,0,1amm_.B99990031
-20222.23047,-18321.19531,-1.80701,100.0,948.08246,0,1amm_.B99990032
-20165.55469,-18180.76172,-1.78394,100.0,913.39001,0,1amm_.B99990033
-20206.23633,-18416.8418,-1.8005,100.0,914.92847,0,1amm_.B99990034
-20150.70117,-18161.01562,-1.7779,100.0,926.78839,0,1amm_.B99990035
-19789.12109,-17778.12109,-1.63073,100.0,963.46643,0,1amm_.B99990036
-20222.44531,-18520.24805,-1.8071,100.0,921.48724,0,1amm_.B99990037
-20142.60352,-18098.64453,-1.7746,100.0,919.28143,0,1amm_.B99990038
-20152.66797,-18048.34375,-1.7787,100.0,1017.25195,0,1amm_.B99990039
-20121.26953,-18218.24219,-1.76592,100.0,907.7868,0,1amm_.B99990040
-20134.9668,-18301.86914,-1.77149,100.0,932.47437,0,1amm_.B99990041
-20147.9043,-18200.52344,-1.77676,100.0,855.23224,0,1amm_.B99990042
-20139.0957,-18167.53906,-1.77318,100.0,895.30865,0,1amm_.B99990043
-19995.58594,-18110.20508,-1.71476,100.0,994.32928,0,1amm_.B99990044
-20166.19922,-18380.35938,-1.78421,100.0,883.37842,0,1amm_.B99990045
-20088.26953,-18243.42773,-1.75249,100.0,977.34052,0,1amm_.B99990046
-20115.62109,-18048.75391,-1.76362,100.0,900.18298,0,1amm_.B99990047
-20284.69922,-18539.16211,-1.83244,100.0,898.58728,0,1amm_.B99990048
-20135.07227,-18017.71094,-1.77154,100.0,1042.8551,0,1amm_.B99990049
-20028.20312,-18031.99805,-1.72804,100.0,908.96246,0,1amm_.B99990050
