	Filename,Cluster,Nome_pdb
,0,1avqA.B99990003
	1avqA.B99990002.pdb,0,
	1avqA.B99990003.pdb,0,
	1avqA.B99990009.pdb,0,
	1avqA.B99990010.pdb,0,
	1avqA.B99990020.pdb,0,
	1avqA.B99990025.pdb,0,
	1avqA.B99990028.pdb,0,
	1avqA.B99990029.pdb,0,
	1avqA.B99990031.pdb,0,
	1avqA.B99990032.pdb,0,
	1avqA.B99990041.pdb,0,
	1avqA.B99990042.pdb,0,
	1avqA.B99990046.pdb,0,
,1,1avqA.B99990011
	1avqA.B99990004.pdb,1,
	1avqA.B99990007.pdb,1,
	1avqA.B99990011.pdb,1,
	1avqA.B99990019.pdb,1,
	1avqA.B99990026.pdb,1,
	1avqA.B99990037.pdb,1,
	1avqA.B99990050.pdb,1,
,2,1avqA.B99990021
	1avqA.B99990021.pdb,2,
,3,1avqA.B99990023
	1avqA.B99990001.pdb,3,
	1avqA.B99990013.pdb,3,
	1avqA.B99990018.pdb,3,
	1avqA.B99990023.pdb,3,
	1avqA.B99990030.pdb,3,
	1avqA.B99990035.pdb,3,
	1avqA.B99990044.pdb,3,
	1avqA.B99990045.pdb,3,
,4,1avqA.B99990024
	1avqA.B99990014.pdb,4,
	1avqA.B99990016.pdb,4,
	1avqA.B99990022.pdb,4,
	1avqA.B99990024.pdb,4,
	1avqA.B99990034.pdb,4,
	1avqA.B99990038.pdb,4,
	1avqA.B99990043.pdb,4,
,5,1avqA.B99990027
	1avqA.B99990005.pdb,5,
	1avqA.B99990006.pdb,5,
	1avqA.B99990015.pdb,5,
	1avqA.B99990017.pdb,5,
	1avqA.B99990027.pdb,5,
	1avqA.B99990036.pdb,5,
	1avqA.B99990048.pdb,5,
	1avqA.B99990049.pdb,5,
,6,1avqA.B99990040
	1avqA.B99990008.pdb,6,
	1avqA.B99990012.pdb,6,
	1avqA.B99990033.pdb,6,
	1avqA.B99990039.pdb,6,
	1avqA.B99990040.pdb,6,
	1avqA.B99990047.pdb,6,
