	Filename,Cluster,Nome_pdb
,0,1aozA.B99990004
	1aozA.B99990004.pdb,0,
	1aozA.B99990014.pdb,0,
	1aozA.B99990020.pdb,0,
,1,1aozA.B99990009
	1aozA.B99990002.pdb,1,
	1aozA.B99990006.pdb,1,
	1aozA.B99990008.pdb,1,
	1aozA.B99990009.pdb,1,
	1aozA.B99990017.pdb,1,
	1aozA.B99990025.pdb,1,
	1aozA.B99990042.pdb,1,
,2,1aozA.B99990021
	1aozA.B99990007.pdb,2,
	1aozA.B99990021.pdb,2,
	1aozA.B99990030.pdb,2,
	1aozA.B99990031.pdb,2,
	1aozA.B99990049.pdb,2,
,3,1aozA.B99990023
	1aozA.B99990018.pdb,3,
	1aozA.B99990023.pdb,3,
,4,1aozA.B99990034
	1aozA.B99990011.pdb,4,
	1aozA.B99990019.pdb,4,
	1aozA.B99990022.pdb,4,
	1aozA.B99990026.pdb,4,
	1aozA.B99990027.pdb,4,
	1aozA.B99990029.pdb,4,
	1aozA.B99990034.pdb,4,
	1aozA.B99990035.pdb,4,
	1aozA.B99990037.pdb,4,
	1aozA.B99990045.pdb,4,
	1aozA.B99990047.pdb,4,
	1aozA.B99990050.pdb,4,
,5,1aozA.B99990039
	1aozA.B99990003.pdb,5,
	1aozA.B99990005.pdb,5,
	1aozA.B99990015.pdb,5,
	1aozA.B99990028.pdb,5,
	1aozA.B99990033.pdb,5,
	1aozA.B99990039.pdb,5,
,6,1aozA.B99990043
	1aozA.B99990013.pdb,6,
	1aozA.B99990016.pdb,6,
	1aozA.B99990024.pdb,6,
	1aozA.B99990041.pdb,6,
	1aozA.B99990043.pdb,6,
,7,1aozA.B99990046
	1aozA.B99990001.pdb,7,
	1aozA.B99990010.pdb,7,
	1aozA.B99990012.pdb,7,
	1aozA.B99990032.pdb,7,
	1aozA.B99990036.pdb,7,
	1aozA.B99990038.pdb,7,
	1aozA.B99990040.pdb,7,
	1aozA.B99990044.pdb,7,
	1aozA.B99990046.pdb,7,
	1aozA.B99990048.pdb,7,
