	Filename,Cluster,Nome_pdb
,0,1am9A.B99990010
	1am9A.B99990010.pdb,0,
	1am9A.B99990024.pdb,0,
	1am9A.B99990034.pdb,0,
	1am9A.B99990048.pdb,0,
,1,1am9A.B99990011
	1am9A.B99990005.pdb,1,
	1am9A.B99990011.pdb,1,
	1am9A.B99990014.pdb,1,
	1am9A.B99990018.pdb,1,
	1am9A.B99990019.pdb,1,
	1am9A.B99990025.pdb,1,
	1am9A.B99990026.pdb,1,
	1am9A.B99990028.pdb,1,
	1am9A.B99990030.pdb,1,
	1am9A.B99990031.pdb,1,
	1am9A.B99990032.pdb,1,
	1am9A.B99990038.pdb,1,
	1am9A.B99990040.pdb,1,
	1am9A.B99990043.pdb,1,
	1am9A.B99990050.pdb,1,
,2,1am9A.B99990013
	1am9A.B99990013.pdb,2,
,3,1am9A.B99990015
	1am9A.B99990015.pdb,3,
,4,1am9A.B99990022
	1am9A.B99990001.pdb,4,
	1am9A.B99990002.pdb,4,
	1am9A.B99990003.pdb,4,
	1am9A.B99990006.pdb,4,
	1am9A.B99990007.pdb,4,
	1am9A.B99990009.pdb,4,
	1am9A.B99990017.pdb,4,
	1am9A.B99990022.pdb,4,
	1am9A.B99990023.pdb,4,
	1am9A.B99990029.pdb,4,
	1am9A.B99990039.pdb,4,
	1am9A.B99990041.pdb,4,
	1am9A.B99990042.pdb,4,
	1am9A.B99990047.pdb,4,
,5,1am9A.B99990027
	1am9A.B99990004.pdb,5,
	1am9A.B99990008.pdb,5,
	1am9A.B99990020.pdb,5,
	1am9A.B99990021.pdb,5,
	1am9A.B99990027.pdb,5,
	1am9A.B99990033.pdb,5,
	1am9A.B99990044.pdb,5,
	1am9A.B99990049.pdb,5,
,6,1am9A.B99990035
	1am9A.B99990035.pdb,6,
	1am9A.B99990037.pdb,6,
	1am9A.B99990046.pdb,6,
,7,1am9A.B99990036
	1am9A.B99990012.pdb,7,
	1am9A.B99990016.pdb,7,
	1am9A.B99990036.pdb,7,
,8,1am9A.B99990045
	1am9A.B99990045.pdb,8,
