DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-6693.13916,-6118.80811,0.79052,97.8,490.72107,2,1agqA.B99990001
-6620.27051,-6063.6626,0.84723,97.8,527.56738,2,1agqA.B99990002
-6666.51562,-6465.05713,0.81124,98.9,482.1814,1,1agqA.B99990003
-6743.56641,-6184.52441,0.75128,96.6,506.15262,3,1agqA.B99990004
-6711.06592,-6181.81348,0.77657,97.8,515.37341,2,1agqA.B99990005
-6824.78613,-6487.41162,0.68807,98.9,531.45563,1,1agqA.B99990006
-6711.4248,-6175.16162,0.77629,97.8,501.83347,2,1agqA.B99990007
-6634.23291,-6138.12256,0.83637,97.8,534.60406,2,1agqA.B99990008
-6702.47217,-6294.94336,0.78326,97.8,497.86383,2,1agqA.B99990009
-6677.91406,-6178.07861,0.80237,98.9,523.62793,1,1agqA.B99990010
-6759.04883,-6464.08789,0.73923,97.8,487.23685,2,1agqA.B99990011
-6802.56836,-6484.56006,0.70536,96.6,492.53949,3,1agqA.B99990012
-6732.45557,-6286.50488,0.75992,97.8,489.1243,2,1agqA.B99990013
-6790.63428,-6356.50732,0.71465,96.6,506.46606,3,1agqA.B99990014
-6692.01709,-6210.34326,0.7914,97.8,495.72217,2,1agqA.B99990015
-6732.45508,-6492.6499,0.75992,97.8,487.36444,2,1agqA.B99990016
-6771.2417,-6523.11914,0.72974,96.6,510.11789,3,1agqA.B99990017
-6664.36621,-6331.49707,0.81292,97.8,511.72385,2,1agqA.B99990018
-6756.86768,-6334.42773,0.74093,96.6,499.57394,3,1agqA.B99990019
-6596.67334,-6182.52197,0.8656,97.8,541.52527,2,1agqA.B99990020
-6742.42627,-6600.62354,0.75216,97.8,486.66748,2,1agqA.B99990021
-6718.2915,-6363.88721,0.77095,96.6,493.18967,3,1agqA.B99990022
-6752.65479,-6227.19141,0.7442,97.8,505.95389,2,1agqA.B99990023
-6511.75049,-5860.07666,0.93169,97.8,510.61932,2,1agqA.B99990024
-6786.32129,-6443.72217,0.718,97.8,495.3042,2,1agqA.B99990025
-6799.01904,-6123.0127,0.70812,97.8,503.20001,2,1agqA.B99990026
-6781.61426,-6274.39209,0.72167,96.6,552.78949,3,1agqA.B99990027
-6723.61377,-6420.79541,0.76681,97.8,520.26556,2,1agqA.B99990028
-6678.52832,-6318.59033,0.80189,97.8,542.31293,2,1agqA.B99990029
-6731.4873,-6277.12402,0.76068,97.8,487.51938,2,1agqA.B99990030
-6609.89111,-6136.63574,0.85531,97.8,540.44214,2,1agqA.B99990031
-6486.19775,-5827.08105,0.95158,98.9,584.81146,1,1agqA.B99990032
-6736.73438,-6324.15332,0.75659,97.8,500.60541,2,1agqA.B99990033
-6761.73633,-6315.51514,0.73714,97.8,917.03674,2,1agqA.B99990034
-6607.28809,-6235.20947,0.85734,97.8,503.6897,2,1agqA.B99990035
-6775.78955,-6505.3667,0.7262,96.6,484.37717,3,1agqA.B99990036
-6586.29443,-5830.39258,0.87368,97.8,562.73474,2,1agqA.B99990037
-6669.98438,-6104.14551,0.80854,97.8,542.95856,2,1agqA.B99990038
-6658.59521,-6076.56934,0.81741,97.8,537.55542,2,1agqA.B99990039
-6710.00342,-6415.42188,0.7774,96.6,523.51477,3,1agqA.B99990040
-6707.76855,-6297.57373,0.77914,97.8,513.14746,2,1agqA.B99990041
-6756.71387,-6292.75488,0.74104,97.8,525.40442,2,1agqA.B99990042
-6636.8999,-6250.63525,0.83429,97.8,494.86902,2,1agqA.B99990043
-6811.11182,-6355.31006,0.69871,96.6,540.91437,3,1agqA.B99990044
-6633.48193,-6116.49951,0.83695,97.8,497.25433,2,1agqA.B99990045
-6702.53223,-6326.33838,0.78321,98.9,489.70016,1,1agqA.B99990046
-6744.81982,-6239.75439,0.7503,97.8,495.65787,2,1agqA.B99990047
-6750.32568,-6462.94287,0.74602,96.6,494.56192,3,1agqA.B99990048
-6774.87744,-6442.33301,0.72691,97.8,488.49927,2,1agqA.B99990049
-6752.22021,-6346.57959,0.74454,96.6,475.28497,3,1agqA.B99990050
