DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-17301.71484,-15598.22461,-2.4541,99.3,557.53064,1,1ash_.B99990001
-17217.35547,-15489.90332,-2.41346,99.3,611.71558,1,1ash_.B99990002
-17135.70312,-15398.59668,-2.37412,98.6,680.04279,2,1ash_.B99990003
-17068.43164,-15133.25293,-2.34171,99.3,631.42499,1,1ash_.B99990004
-17200.64648,-15124.7207,-2.40541,97.9,652.53827,3,1ash_.B99990005
-17278.67969,-15361.08398,-2.443,99.3,633.19904,1,1ash_.B99990006
-17153.94727,-15371.99023,-2.38291,97.9,595.07776,3,1ash_.B99990007
-17273.22461,-15525.95703,-2.44038,99.3,673.83801,1,1ash_.B99990008
-17036.33008,-14839.21777,-2.32625,97.9,770.40094,3,1ash_.B99990009
-17366.23633,-15866.20312,-2.48519,99.3,576.97406,1,1ash_.B99990010
-17248.29883,-15393.89062,-2.42837,98.6,653.08386,2,1ash_.B99990011
-17264.51953,-15296.33691,-2.43618,97.9,654.19507,3,1ash_.B99990012
-17248.98242,-15560.61523,-2.4287,98.6,597.97998,2,1ash_.B99990013
-17463.49414,-15809.04004,-2.53204,97.9,647.09283,3,1ash_.B99990014
-17229.30078,-15744.48828,-2.41921,99.3,762.04224,1,1ash_.B99990015
-17341.63281,-15457.58496,-2.47333,98.6,588.90332,2,1ash_.B99990016
-16967.64648,-15148.77734,-2.29316,98.6,909.04242,2,1ash_.B99990017
-17027.83008,-14837.86914,-2.32215,98.6,642.32031,2,1ash_.B99990018
-16997.68359,-14995.09766,-2.30763,98.6,685.66333,2,1ash_.B99990019
-17198.24023,-15291.17188,-2.40425,99.3,620.40942,1,1ash_.B99990020
-17229.4082,-15154.04004,-2.41927,99.3,648.24371,1,1ash_.B99990021
-17159.24023,-15183.55762,-2.38546,98.6,629.99359,2,1ash_.B99990022
-17374.13672,-15635.51172,-2.48899,97.9,599.47754,3,1ash_.B99990023
-17295.98828,-15707.71777,-2.45134,99.3,629.19867,1,1ash_.B99990024
-17433.0957,-16017.2959,-2.5174,99.3,552.18414,1,1ash_.B99990025
-17318.57227,-15482.98633,-2.46222,99.3,590.94922,1,1ash_.B99990026
-17190.68555,-15268.11426,-2.40061,99.3,616.27893,1,1ash_.B99990027
-17566.53125,-16028.41992,-2.58169,98.6,614.46222,2,1ash_.B99990028
-17244.29883,-15789.13965,-2.42644,98.6,557.46381,2,1ash_.B99990029
-17385.35156,-15731.37305,-2.4944,97.9,591.06354,3,1ash_.B99990030
-17411.50391,-15748.83887,-2.507,99.3,566.25073,1,1ash_.B99990031
-17344.18359,-15419.81152,-2.47456,99.3,576.55249,1,1ash_.B99990032
-17403.05273,-15859.77734,-2.50292,99.3,619.20105,1,1ash_.B99990033
-17140.45508,-15002.62891,-2.37641,99.3,645.42444,1,1ash_.B99990034
-17398.43945,-15727.13086,-2.5007,99.3,602.54242,1,1ash_.B99990035
-17142.54688,-15395.7207,-2.37742,99.3,639.78564,1,1ash_.B99990036
-17450.96875,-15738.47656,-2.52601,99.3,585.45068,1,1ash_.B99990037
-17409.33984,-15821.82422,-2.50595,99.3,596.39154,1,1ash_.B99990038
-17212.92383,-15427.21191,-2.41132,99.3,697.47223,1,1ash_.B99990039
-17446.30078,-15758.8457,-2.52376,99.3,606.42194,1,1ash_.B99990040
-17251.23633,-15546.08789,-2.42978,99.3,629.33911,1,1ash_.B99990041
-17285.04883,-15239.16992,-2.44607,98.6,585.29211,2,1ash_.B99990042
-17429.23047,-15793.72266,-2.51554,98.6,617.23218,2,1ash_.B99990043
-17273.8418,-15665.65625,-2.44067,98.6,654.24127,2,1ash_.B99990044
-17281.47852,-15065.55664,-2.44435,97.9,740.82678,3,1ash_.B99990045
-17334.14844,-15923.84863,-2.46973,99.3,655.24982,1,1ash_.B99990046
-17268.98047,-15818.39062,-2.43833,97.9,664.78107,3,1ash_.B99990047
-17265.99805,-15339.38672,-2.43689,99.3,598.625,1,1ash_.B99990048
-17377.75977,-15893.84668,-2.49074,98.6,593.42615,2,1ash_.B99990049
-17180.59375,-15305.67676,-2.39575,99.3,731.02478,1,1ash_.B99990050
