DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-16359.76465,-15245.37012,-0.8233,99.4,764.69647,1,1auyA.B99990001
-16177.75684,-14928.45508,-0.74422,99.4,914.96588,1,1auyA.B99990002
-16260.9209,-14837.46484,-0.78035,99.4,780.75549,1,1auyA.B99990003
-16108.36328,-14775.51562,-0.71407,99.4,778.17035,1,1auyA.B99990004
-16130.83203,-14857.97461,-0.72383,98.8,817.65802,2,1auyA.B99990005
-16140.60254,-14868.71094,-0.72808,99.4,773.3927,1,1auyA.B99990006
-16258.21484,-15176.21094,-0.77918,99.4,759.60535,1,1auyA.B99990007
-16186.36719,-14741.3291,-0.74796,98.8,803.00812,2,1auyA.B99990008
-16158.07422,-15106.50684,-0.73567,99.4,768.43103,1,1auyA.B99990009
-16099.98828,-14914.68848,-0.71043,99.4,802.47644,1,1auyA.B99990010
-16265.37891,-15016.53027,-0.78229,98.8,811.51477,2,1auyA.B99990011
-16205.69141,-15023.28418,-0.75636,100.0,811.84521,0,1auyA.B99990012
-16078.95605,-14622.46094,-0.70129,99.4,781.23749,1,1auyA.B99990013
-16249.74316,-14782.07129,-0.7755,98.8,803.48468,2,1auyA.B99990014
-16070.93359,-14746.35547,-0.69781,99.4,845.76569,1,1auyA.B99990015
-16093.07324,-14809.11914,-0.70743,98.8,837.87659,2,1auyA.B99990016
-16127.74121,-14822.60352,-0.72249,99.4,748.42877,1,1auyA.B99990017
-16091.20508,-14730.90137,-0.70661,97.5,872.8678,4,1auyA.B99990018
-16081.74219,-14617.09082,-0.7025,98.8,832.3916,2,1auyA.B99990019
-16008.09277,-14629.20312,-0.6705,99.4,859.45935,1,1auyA.B99990020
-16202.36719,-14765.89258,-0.75491,98.8,789.16589,2,1auyA.B99990021
-16106.71484,-14545.35254,-0.71335,99.4,778.84235,1,1auyA.B99990022
-16220.69043,-14830.87891,-0.76287,98.8,812.92554,2,1auyA.B99990023
-16298.00781,-14981.32129,-0.79647,99.4,738.612,1,1auyA.B99990024
-16186.83398,-15116.03613,-0.74816,98.1,811.55841,3,1auyA.B99990025
-16132.3457,-14831.00195,-0.72449,99.4,863.96173,1,1auyA.B99990026
-16151.67871,-15140.07617,-0.73289,98.8,850.95325,2,1auyA.B99990027
-16259.34473,-15136.53223,-0.77967,100.0,746.37781,0,1auyA.B99990028
-16217.93457,-15139.58691,-0.76168,99.4,776.57837,1,1auyA.B99990029
-16407.29492,-15297.23145,-0.84395,98.8,768.38666,2,1auyA.B99990030
-16059.0752,-14615.69824,-0.69265,98.8,845.7616,2,1auyA.B99990031
-16222.74805,-15160.85742,-0.76377,99.4,763.66882,1,1auyA.B99990032
-16175.60254,-15039.22754,-0.74328,98.8,827.20636,2,1auyA.B99990033
-16232.87793,-15051.90039,-0.76817,100.0,764.42712,0,1auyA.B99990034
-16106.78223,-14836.19531,-0.71338,99.4,855.72162,1,1auyA.B99990035
-16305.59961,-15089.25488,-0.79977,99.4,749.83081,1,1auyA.B99990036
-16107.23926,-14588.69922,-0.71358,99.4,759.80035,1,1auyA.B99990037
-16303.26953,-15110.91895,-0.79875,99.4,773.54016,1,1auyA.B99990038
-16046.29199,-14868.04395,-0.6871,98.1,921.14685,3,1auyA.B99990039
-15887.42773,-14367.24414,-0.61808,98.8,841.90662,2,1auyA.B99990040
-16185.50684,-15095.35352,-0.74759,100.0,772.03571,0,1auyA.B99990041
-16181.60254,-15023.48828,-0.74589,98.8,876.08594,2,1auyA.B99990042
-16122.36133,-14936.22754,-0.72015,99.4,741.29132,1,1auyA.B99990043
-16137.25098,-14615.15234,-0.72662,99.4,751.01062,1,1auyA.B99990044
-16026.39355,-14682.51367,-0.67845,98.1,988.92847,3,1auyA.B99990045
-16146.58105,-14830.46582,-0.73067,99.4,779.50061,1,1auyA.B99990046
-16113.00781,-14940.14062,-0.71609,98.8,896.73877,2,1auyA.B99990047
-16154.3877,-14844.85254,-0.73407,99.4,774.24072,1,1auyA.B99990048
-16179.41699,-14863.12695,-0.74494,99.4,807.57843,1,1auyA.B99990049
-16314.75488,-15239.40234,-0.80374,99.4,859.2793,1,1auyA.B99990050
