DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-18759.75195,-16523.00977,-0.78745,98.9,1337.30481,2,1axiB.B99990001
-18773.70117,-16262.02441,-0.79262,98.4,1424.38647,3,1axiB.B99990002
-18705.75391,-16246.27051,-0.76743,98.4,1320.98682,3,1axiB.B99990003
-18569.39844,-16186.72754,-0.71687,97.9,1392.16577,4,1axiB.B99990004
-18550.47656,-15712.10352,-0.70985,97.9,1365.03003,4,1axiB.B99990005
-18447.37891,-15773.52637,-0.67163,98.4,1387.96387,3,1axiB.B99990006
-18669.22266,-16124.53418,-0.75388,98.9,1295.9906,2,1axiB.B99990007
-18558.75195,-15924.23047,-0.71292,97.9,1339.59583,4,1axiB.B99990008
-18735.94141,-15922.24609,-0.77862,98.9,1515.22803,2,1axiB.B99990009
-18589.75586,-15811.75391,-0.72442,98.4,1358.58569,3,1axiB.B99990010
-18712.10938,-16092.50293,-0.76979,97.9,1372.62793,4,1axiB.B99990011
-18788.3457,-16564.5918,-0.79805,98.9,1393.69666,2,1axiB.B99990012
-18453.25586,-15595.91895,-0.67381,98.9,1378.63599,2,1axiB.B99990013
-18465.24414,-15654.57715,-0.67825,98.9,1355.25867,2,1axiB.B99990014
-18704.58398,-16403.93359,-0.767,97.9,1313.54956,4,1axiB.B99990015
-18674.47266,-16123.14355,-0.75583,98.9,1369.35632,2,1axiB.B99990016
-18629.62305,-16033.03027,-0.7392,97.9,1389.70911,4,1axiB.B99990017
-18629.52344,-16235.36328,-0.73916,97.9,1490.0658,4,1axiB.B99990018
-18473.52148,-15892.85938,-0.68132,98.4,1501.63086,3,1axiB.B99990019
-18643.60742,-15825.98145,-0.74439,98.9,1426.69983,2,1axiB.B99990020
-18596.15234,-15882.09961,-0.72679,97.9,1387.46399,4,1axiB.B99990021
-18656.46484,-16375.73145,-0.74915,98.9,1373.60901,2,1axiB.B99990022
-18824.82812,-16727.71094,-0.81158,98.9,1287.42078,2,1axiB.B99990023
-18704.0332,-16171.60645,-0.76679,97.9,1318.60498,4,1axiB.B99990024
-18726.59375,-16023.32129,-0.77516,98.4,1312.14929,3,1axiB.B99990025
-18734.16406,-16427.9668,-0.77796,98.4,1354.19812,3,1axiB.B99990026
-18749.89844,-16238.58398,-0.7838,97.4,1384.64844,5,1axiB.B99990027
-18435.59961,-15537.79199,-0.66726,98.4,1407.11304,3,1axiB.B99990028
-18485.54492,-15977.82031,-0.68578,97.9,1439.4502,4,1axiB.B99990029
-18829.42969,-16578.13867,-0.81329,98.9,1304.85486,2,1axiB.B99990030
-18371.26562,-15480.99121,-0.6434,97.4,1406.33923,5,1axiB.B99990031
-18558.82812,-15851.99707,-0.71295,97.9,1422.849,4,1axiB.B99990032
-18765.20312,-16604.76172,-0.78947,98.4,1315.96057,3,1axiB.B99990033
-18802.18555,-16262.74219,-0.80319,98.9,1403.94666,2,1axiB.B99990034
-18509.55078,-15819.06445,-0.69468,98.4,1335.00745,3,1axiB.B99990035
-18738.23438,-16488.60156,-0.77947,97.9,1313.29138,4,1axiB.B99990036
-18745.84766,-16011.27246,-0.7823,98.4,1418.50525,3,1axiB.B99990037
-18502.60938,-15594.69629,-0.6921,98.4,1352.7511,3,1axiB.B99990038
-18690.83594,-16186.6709,-0.7619,98.9,1377.13977,2,1axiB.B99990039
-18710.73633,-16305.49023,-0.76928,98.4,1319.51404,3,1axiB.B99990040
-18835.68359,-16343.0791,-0.81561,98.4,1375.48035,3,1axiB.B99990041
-18837.92188,-16666.6875,-0.81644,98.4,1329.15503,3,1axiB.B99990042
-18482.79883,-16179.31152,-0.68476,98.4,1359.33997,3,1axiB.B99990043
-18685.19336,-16094.37891,-0.75981,96.8,1353.922,6,1axiB.B99990044
-18699.07617,-16034.5791,-0.76495,98.9,1335.14136,2,1axiB.B99990045
-18304.04102,-15572.4082,-0.61848,98.4,1497.26282,3,1axiB.B99990046
-18537.95898,-15677.03418,-0.70521,98.9,1468.03467,2,1axiB.B99990047
-18688.21875,-16136.35059,-0.76093,98.9,1293.40686,2,1axiB.B99990048
-18524.33984,-15895.35938,-0.70016,97.9,1453.02124,4,1axiB.B99990049
-18688.28711,-16455.45312,-0.76095,98.4,1300.64038,3,1axiB.B99990050
