DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-5609.59082,-5050.86084,-1.4969,100.0,296.59637,0,1aho_.B99990001
-5649.05029,-4940.47559,-1.54056,100.0,297.70724,0,1aho_.B99990002
-5445.43506,-4578.45996,-1.31524,100.0,720.11383,0,1aho_.B99990003
-5671.86768,-5126.71631,-1.56581,98.4,316.30035,1,1aho_.B99990004
-5663.92041,-5085.33008,-1.55702,100.0,310.98187,0,1aho_.B99990005
-5654.02783,-5236.47119,-1.54607,100.0,287.72183,0,1aho_.B99990006
-5727.09717,-5287.2749,-1.62693,100.0,302.01257,0,1aho_.B99990007
-5733.98096,-5408.95703,-1.63455,98.4,317.24518,1,1aho_.B99990008
-5679.26611,-5031.46777,-1.574,100.0,307.20758,0,1aho_.B99990009
-5718.90527,-5210.20703,-1.61786,98.4,291.43185,1,1aho_.B99990010
-5600.97412,-5080.68115,-1.48736,98.4,372.99344,1,1aho_.B99990011
-5723.7998,-5283.18701,-1.62328,98.4,268.38019,1,1aho_.B99990012
-5562.09912,-4950.20068,-1.44434,100.0,313.72186,0,1aho_.B99990013
-5568.17236,-4894.28857,-1.45106,100.0,454.19373,0,1aho_.B99990014
-5740.9165,-5333.93359,-1.64222,98.4,274.91699,1,1aho_.B99990015
-5570.39746,-4931.40576,-1.45353,100.0,286.90735,0,1aho_.B99990016
-5723.41748,-5298.20459,-1.62286,100.0,299.49982,0,1aho_.B99990017
-5648.66846,-4972.1958,-1.54014,100.0,303.29614,0,1aho_.B99990018
-5489.25635,-4598.98975,-1.36374,100.0,427.64648,0,1aho_.B99990019
-5742.78174,-5402.77539,-1.64428,100.0,304.3121,0,1aho_.B99990020
-5634.11768,-5192.42627,-1.52404,100.0,296.06735,0,1aho_.B99990021
-5724.63135,-5196.76562,-1.6242,98.4,284.09262,1,1aho_.B99990022
-5716.44531,-5125.71484,-1.61514,98.4,318.56491,1,1aho_.B99990023
-5664.54102,-5178.37354,-1.5577,100.0,301.28241,0,1aho_.B99990024
-5601.72217,-5025.81445,-1.48819,100.0,305.66699,0,1aho_.B99990025
-5605.53613,-5026.12305,-1.49241,100.0,312.59247,0,1aho_.B99990026
-5625.28809,-5163.25439,-1.51427,100.0,287.47818,0,1aho_.B99990027
-5720.26172,-5138.43457,-1.61936,100.0,276.11423,0,1aho_.B99990028
-5676.27539,-5180.84131,-1.57069,98.4,277.42834,1,1aho_.B99990029
-5693.55225,-5163.93359,-1.58981,98.4,299.93387,1,1aho_.B99990030
-5698.02441,-5231.91748,-1.59476,100.0,301.7973,0,1aho_.B99990031
-5756.41699,-5447.36279,-1.65937,98.4,300.12585,1,1aho_.B99990032
-5699.31055,-5194.86914,-1.59618,100.0,297.43051,0,1aho_.B99990033
-5715.61133,-5151.96143,-1.61422,100.0,352.23004,0,1aho_.B99990034
-5644.35449,-5170.2002,-1.53537,98.4,296.13162,1,1aho_.B99990035
-5595.35059,-4808.3584,-1.48114,100.0,280.39728,0,1aho_.B99990036
-5647.77979,-5036.29932,-1.53916,98.4,293.78036,1,1aho_.B99990037
-5659.16016,-5021.85791,-1.55175,100.0,283.97559,0,1aho_.B99990038
-5701.28613,-5039.60059,-1.59837,98.4,352.16434,1,1aho_.B99990039
-5702.56201,-5259.36621,-1.59978,100.0,297.72461,0,1aho_.B99990040
-5714.98486,-5355.64258,-1.61352,98.4,306.18704,1,1aho_.B99990041
-5642.01318,-5137.57568,-1.53278,100.0,289.26215,0,1aho_.B99990042
-5662.7002,-5267.96289,-1.55567,98.4,298.48416,1,1aho_.B99990043
-5508.80518,-4601.9458,-1.38537,100.0,424.00568,0,1aho_.B99990044
-5686.17188,-5079.31543,-1.58164,98.4,303.03986,1,1aho_.B99990045
-5708.11914,-5244.22559,-1.60593,100.0,270.7482,0,1aho_.B99990046
-5636.875,-5061.83887,-1.52709,100.0,262.11981,0,1aho_.B99990047
-5677.43604,-5051.18799,-1.57197,98.4,273.5463,1,1aho_.B99990048
-5703.56055,-5223.32861,-1.60088,100.0,283.42868,0,1aho_.B99990049
-5681.86621,-5245.83789,-1.57688,100.0,318.97452,0,1aho_.B99990050
