DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-36187.64844,-33210.19922,-1.42909,99.0,1897.5072,3,1aq0A.B99990001
-35955.86719,-32477.73633,-1.37545,98.0,1997.3324,6,1aq0A.B99990002
-35892.24219,-32570.27539,-1.36072,99.0,2080.28882,3,1aq0A.B99990003
-36343.5,-33604.39844,-1.46516,98.0,1900.77563,6,1aq0A.B99990004
-36237.35938,-33400.77344,-1.4406,98.7,2262.23706,4,1aq0A.B99990005
-35976.01562,-32507.12891,-1.38011,98.4,1822.33069,5,1aq0A.B99990006
-36271.69531,-33160.76953,-1.44854,99.0,1948.85205,3,1aq0A.B99990007
-36251.44141,-33284.10547,-1.44386,98.7,1955.53491,4,1aq0A.B99990008
-35899.60547,-32206.76172,-1.36243,98.0,2174.16675,6,1aq0A.B99990009
-36065.10547,-32755.63281,-1.40073,99.0,1999.1073,3,1aq0A.B99990010
-35977.10547,-32250.22656,-1.38036,99.0,1942.47888,3,1aq0A.B99990011
-36125.67969,-33174.0,-1.41475,99.3,2007.47888,2,1aq0A.B99990012
-36207.10547,-33367.41016,-1.4336,99.0,1853.79822,3,1aq0A.B99990013
-36090.68359,-33147.13281,-1.40665,99.3,2006.5072,2,1aq0A.B99990014
-35996.92969,-32673.35938,-1.38495,98.7,1913.24182,4,1aq0A.B99990015
-36157.89844,-32970.70312,-1.42221,98.7,2355.85767,4,1aq0A.B99990016
-36000.71484,-32785.03906,-1.38583,99.3,1969.01392,2,1aq0A.B99990017
-36081.5,-33034.81641,-1.40453,99.0,2116.71631,3,1aq0A.B99990018
-36282.48047,-33313.63672,-1.45104,99.0,1890.50293,3,1aq0A.B99990019
-36050.29688,-32324.18555,-1.3973,98.7,2059.96655,4,1aq0A.B99990020
-36085.32812,-32585.02734,-1.40541,98.7,2178.1189,4,1aq0A.B99990021
-36169.30859,-32841.70703,-1.42485,98.7,1923.86292,4,1aq0A.B99990022
-35757.80859,-32153.46094,-1.32961,98.4,2084.13037,5,1aq0A.B99990023
-36166.82422,-33215.3125,-1.42427,99.0,2082.02466,3,1aq0A.B99990024
-36232.875,-33039.71875,-1.43956,98.4,1996.32886,5,1aq0A.B99990025
-36100.07812,-33065.88281,-1.40883,99.0,2342.74072,3,1aq0A.B99990026
-35771.64062,-31764.75391,-1.33281,98.0,2187.53296,6,1aq0A.B99990027
-36144.72266,-32773.74609,-1.41916,99.0,1988.88733,3,1aq0A.B99990028
-35849.42578,-32237.33789,-1.35081,99.0,2436.01001,3,1aq0A.B99990029
-35700.57812,-32146.99609,-1.31636,98.7,2150.2334,4,1aq0A.B99990030
-36146.19531,-33050.1875,-1.4195,98.4,2492.00903,5,1aq0A.B99990031
-36152.08984,-32716.75977,-1.42086,98.4,1927.27148,5,1aq0A.B99990032
-36107.92578,-33071.43359,-1.41064,98.7,1906.58728,4,1aq0A.B99990033
-35964.55469,-32564.21875,-1.37746,98.4,2392.79834,5,1aq0A.B99990034
-36124.69922,-32887.29688,-1.41452,98.4,1944.43677,5,1aq0A.B99990035
-35848.56641,-32587.29297,-1.35061,98.7,2054.4082,4,1aq0A.B99990036
-35817.0,-32121.41602,-1.34331,98.7,2042.82422,4,1aq0A.B99990037
-36191.27734,-32606.84766,-1.42993,98.4,1951.6554,5,1aq0A.B99990038
-35958.53516,-32919.34766,-1.37607,98.0,2201.71338,6,1aq0A.B99990039
-35856.23438,-32294.30859,-1.35239,98.0,2062.33765,6,1aq0A.B99990040
-36184.59375,-32769.96875,-1.42839,98.7,1953.73206,4,1aq0A.B99990041
-36132.41406,-32593.47461,-1.41631,98.7,1899.17908,4,1aq0A.B99990042
-35919.13281,-32549.18555,-1.36695,98.7,2048.61694,4,1aq0A.B99990043
-36499.39453,-33570.70312,-1.50124,99.0,1909.59973,3,1aq0A.B99990044
-36056.21484,-32813.02734,-1.39867,99.0,1920.20996,3,1aq0A.B99990045
-35697.46875,-31915.85156,-1.31564,98.4,2479.20752,5,1aq0A.B99990046
-36283.30469,-33210.50391,-1.45123,99.3,1956.30847,2,1aq0A.B99990047
-36319.64453,-33499.44531,-1.45964,99.0,1955.69299,3,1aq0A.B99990048
-35866.48438,-32330.89062,-1.35476,98.4,2164.31006,5,1aq0A.B99990049
-36209.0625,-33258.72266,-1.43405,98.7,2320.80005,4,1aq0A.B99990050
