DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-6468.97754,-4579.55176,1.02291,96.2,902.5274,4,1acz_.B99990001
-5717.30908,-3399.50415,1.51582,98.1,1020.24121,2,1acz_.B99990002
-6085.4375,-3804.93311,1.27442,95.3,899.06573,5,1acz_.B99990003
-5899.43701,-3767.19727,1.39639,98.1,748.85571,2,1acz_.B99990004
-6249.71143,-3648.36621,1.16669,95.3,720.28394,5,1acz_.B99990005
-5936.07617,-3590.04565,1.37236,98.1,1074.25391,2,1acz_.B99990006
-5895.91943,-3705.66602,1.39869,98.1,988.01917,2,1acz_.B99990007
-5582.71094,-3589.72729,1.60408,96.2,972.24719,4,1acz_.B99990008
-6251.93311,-4357.61035,1.16524,97.2,726.62317,3,1acz_.B99990009
-6861.49365,-4398.93018,0.76551,97.2,652.56238,3,1acz_.B99990010
-6323.44092,-4544.45801,1.11835,96.2,908.94922,4,1acz_.B99990011
-5922.96875,-3147.00244,1.38096,96.2,948.95563,4,1acz_.B99990012
-6001.07275,-4253.25,1.32974,99.1,993.95514,1,1acz_.B99990013
-5696.80957,-2568.2395,1.52926,94.3,971.37054,6,1acz_.B99990014
-6266.21484,-4124.08398,1.15587,97.2,857.20605,3,1acz_.B99990015
-5955.49463,-3420.31836,1.35963,93.4,965.81268,7,1acz_.B99990016
-5793.66943,-3081.89062,1.46575,97.2,864.08691,3,1acz_.B99990017
-6278.23486,-4357.15332,1.14799,97.2,937.32648,3,1acz_.B99990018
-6205.74658,-4341.27686,1.19552,98.1,856.55676,2,1acz_.B99990019
-6129.43359,-4174.21973,1.24557,97.2,905.46991,3,1acz_.B99990020
-6119.79199,-3733.61035,1.25189,96.2,1006.28638,4,1acz_.B99990021
-6486.39795,-4458.25146,1.01149,97.2,923.71313,3,1acz_.B99990022
-5785.19141,-3030.92017,1.4713,96.2,1012.9682,4,1acz_.B99990023
-6072.62793,-3712.66724,1.28282,97.2,901.0899,3,1acz_.B99990024
-6066.6167,-3750.47388,1.28676,97.2,920.33466,3,1acz_.B99990025
-5937.78174,-4074.24854,1.37124,97.2,948.87299,3,1acz_.B99990026
-5961.88232,-3626.33057,1.35544,98.1,958.55219,2,1acz_.B99990027
-6568.50049,-4499.37061,0.95765,97.2,735.79187,3,1acz_.B99990028
-6221.10352,-4497.52734,1.18545,95.3,880.27264,5,1acz_.B99990029
-6150.84912,-3968.54004,1.23152,97.2,700.25079,3,1acz_.B99990030
-5955.81201,-3502.50757,1.35942,97.2,975.0141,3,1acz_.B99990031
-6233.23779,-4060.95117,1.1775,97.2,961.56232,3,1acz_.B99990032
-6130.36914,-4007.98999,1.24495,99.1,778.05182,1,1acz_.B99990033
-6185.86963,-3786.91748,1.20856,95.3,754.7049,5,1acz_.B99990034
-6239.69336,-3790.28516,1.17326,94.3,766.97491,6,1acz_.B99990035
-6478.74756,-4711.74756,1.0165,98.1,937.87891,2,1acz_.B99990036
-6076.88574,-3341.50928,1.28002,95.3,856.59747,5,1acz_.B99990037
-6162.50391,-3933.38501,1.22388,96.2,937.97449,4,1acz_.B99990038
-5997.76025,-3510.3313,1.33191,98.1,903.75171,2,1acz_.B99990039
-5942.14209,-3870.76099,1.36838,95.3,1011.63928,5,1acz_.B99990040
-6129.05469,-4036.29297,1.24581,96.2,780.29108,4,1acz_.B99990041
-6428.86719,-4094.75415,1.04921,96.2,745.98492,4,1acz_.B99990042
-6423.66748,-4089.67603,1.05262,98.1,920.59985,2,1acz_.B99990043
-6024.41064,-3262.64429,1.31444,97.2,790.75305,3,1acz_.B99990044
-6123.30908,-3835.35425,1.24958,97.2,944.70355,3,1acz_.B99990045
-5897.38916,-3430.18823,1.39773,96.2,961.13092,4,1acz_.B99990046
-6250.23389,-4086.80835,1.16635,96.2,864.50183,4,1acz_.B99990047
-6379.40527,-3359.27637,1.08165,97.2,768.71173,3,1acz_.B99990048
-5974.15234,-3334.03003,1.34739,98.1,946.28748,2,1acz_.B99990049
-6078.84082,-3778.96533,1.27874,97.2,886.60217,3,1acz_.B99990050
