DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-28907.81641,-28744.1582,-1.69368,99.6,1135.01965,1,1al3_.B99990001
-28733.10352,-28301.55273,-1.64148,99.6,1194.97644,1,1al3_.B99990002
-28743.66992,-28411.125,-1.64463,99.1,1047.96729,2,1al3_.B99990003
-28867.65234,-28488.5,-1.68168,99.6,1128.86707,1,1al3_.B99990004
-28652.23047,-28237.3418,-1.61731,99.6,1030.39978,1,1al3_.B99990005
-28584.26367,-28020.67383,-1.597,99.6,1269.3645,1,1al3_.B99990006
-28736.78516,-28399.45898,-1.64258,99.6,1078.20801,1,1al3_.B99990007
-28733.29492,-28256.44727,-1.64153,99.1,1186.22546,2,1al3_.B99990008
-28814.96289,-28569.66406,-1.66594,99.6,1093.45349,1,1al3_.B99990009
-28840.89844,-28587.59766,-1.67369,99.1,1065.00562,2,1al3_.B99990010
-28848.68359,-28615.67188,-1.67601,99.1,1167.58691,2,1al3_.B99990011
-28701.35156,-28301.00391,-1.63199,99.6,1109.44128,1,1al3_.B99990012
-28886.31055,-28750.27344,-1.68726,99.6,1021.79279,1,1al3_.B99990013
-28868.42773,-28548.89648,-1.68191,99.6,1098.77356,1,1al3_.B99990014
-28851.25,-28203.60156,-1.67678,99.6,1167.35645,1,1al3_.B99990015
-28699.46094,-28349.90625,-1.63142,99.6,1065.02917,1,1al3_.B99990016
-28804.80664,-28552.11914,-1.6629,99.6,1187.38672,1,1al3_.B99990017
-28590.33594,-27894.73633,-1.59881,99.1,1225.50781,2,1al3_.B99990018
-28860.83008,-28606.0,-1.67964,99.1,1188.36267,2,1al3_.B99990019
-28905.32812,-28936.58789,-1.69294,99.1,1082.58105,2,1al3_.B99990020
-28840.07617,-28396.42773,-1.67344,99.6,1069.31458,1,1al3_.B99990021
-28803.26953,-28486.49023,-1.66244,99.6,1085.35828,1,1al3_.B99990022
-28858.97852,-28530.55469,-1.67909,99.1,1080.46399,2,1al3_.B99990023
-28752.09961,-28172.82422,-1.64715,99.1,1212.86182,2,1al3_.B99990024
-28770.30273,-28240.38672,-1.65259,99.1,1105.99646,2,1al3_.B99990025
-28914.30469,-28663.01562,-1.69562,99.1,1104.71655,2,1al3_.B99990026
-28862.6875,-28590.57422,-1.6802,99.1,1118.53784,2,1al3_.B99990027
-28899.13672,-28732.8457,-1.69109,99.6,1085.87109,1,1al3_.B99990028
-28863.47266,-28629.55664,-1.68043,99.1,1092.64771,2,1al3_.B99990029
-28808.50391,-28407.13477,-1.66401,99.1,1189.56567,2,1al3_.B99990030
-28920.66211,-28528.1543,-1.69752,99.6,1177.54028,1,1al3_.B99990031
-28907.68945,-28569.37109,-1.69365,99.6,1106.45593,1,1al3_.B99990032
-28728.28711,-28207.4043,-1.64004,99.6,1174.08105,1,1al3_.B99990033
-28821.26953,-28710.98438,-1.66782,99.1,1123.84912,2,1al3_.B99990034
-28825.38672,-28419.84961,-1.66905,99.1,1130.42737,2,1al3_.B99990035
-28775.0,-28506.83984,-1.654,99.1,1102.4281,2,1al3_.B99990036
-28823.125,-28529.06641,-1.66838,99.6,1134.42712,1,1al3_.B99990037
-28941.90039,-28752.58203,-1.70387,99.1,1062.74268,2,1al3_.B99990038
-28550.67969,-27863.70898,-1.58696,99.6,1106.51807,1,1al3_.B99990039
-29011.2207,-28676.55273,-1.72458,99.6,1086.64819,1,1al3_.B99990040
-28704.2832,-28192.85547,-1.63286,99.6,1133.09912,1,1al3_.B99990041
-28909.24023,-28628.62109,-1.69411,99.1,1182.87622,2,1al3_.B99990042
-28681.15625,-28187.83984,-1.62595,99.6,1147.37244,1,1al3_.B99990043
-28708.32617,-28104.57812,-1.63407,99.1,1221.44092,2,1al3_.B99990044
-28899.2207,-28694.92773,-1.69112,99.1,1123.86646,2,1al3_.B99990045
-28710.50391,-28179.18945,-1.63472,99.1,1102.86121,2,1al3_.B99990046
-28815.43359,-28646.33398,-1.66608,99.6,1042.16199,1,1al3_.B99990047
-28927.74219,-28774.5293,-1.69964,99.1,1135.93335,2,1al3_.B99990048
-28848.40039,-28715.30859,-1.67593,99.1,1035.90112,2,1al3_.B99990049
-28918.85938,-28881.12109,-1.69698,99.6,1135.98315,1,1al3_.B99990050
