DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-68682.5625,-51518.65234,2.14245,96.9,9462.9834,32,1yq2.B99990001
-67084.84375,-45671.25391,2.25338,97.0,9552.11914,31,1yq2.B99990002
-69483.96094,-50121.3125,2.0868,97.5,9243.02148,25,1yq2.B99990003
-68463.33594,-48239.08594,2.15767,97.3,9395.07617,27,1yq2.B99990004
-68254.03125,-47888.64453,2.1722,96.3,9382.98828,38,1yq2.B99990005
-67934.88281,-48344.72266,2.19436,97.7,10230.26758,23,1yq2.B99990006
-67644.23438,-45108.82422,2.21454,97.1,9443.00098,30,1yq2.B99990007
-68953.42188,-50489.62891,2.12364,96.9,9614.19043,32,1yq2.B99990008
-69119.86719,-51158.94141,2.11208,96.8,9215.96875,33,1yq2.B99990009
-68942.98438,-50384.23828,2.12436,96.7,9365.83301,34,1yq2.B99990010
-67385.0625,-48738.67578,2.23254,97.4,9236.55762,26,1yq2.B99990011
-68570.64844,-48680.48828,2.15022,97.2,9228.86523,28,1yq2.B99990012
-68391.71875,-50785.65234,2.16264,97.0,9433.31543,31,1yq2.B99990013
-68057.64844,-50008.57422,2.18584,97.3,9189.64551,27,1yq2.B99990014
-67229.83594,-47929.55078,2.24331,97.2,9629.01367,29,1yq2.B99990015
-66591.38281,-47600.56641,2.28764,95.8,9617.58789,43,1yq2.B99990016
-66439.57812,-44330.76172,2.29818,96.6,9851.90137,35,1yq2.B99990017
-67281.4375,-47803.56641,2.23973,97.1,10019.62988,30,1yq2.B99990018
-68708.03906,-47783.64844,2.14068,96.6,9404.57812,35,1yq2.B99990019
-67618.34375,-48121.16797,2.21634,96.4,9517.53125,37,1yq2.B99990020
-66961.92188,-49266.48047,2.26192,97.2,9420.48926,29,1yq2.B99990021
-67589.64844,-48455.26562,2.21833,97.0,9454.8623,31,1yq2.B99990022
-68861.3125,-48924.12109,2.13004,97.4,9366.25,26,1yq2.B99990023
-68771.39844,-51541.07031,2.13628,97.7,9184.44629,23,1yq2.B99990024
-68717.29688,-49394.12891,2.14004,96.7,9118.84668,34,1yq2.B99990025
-66501.45312,-45187.93359,2.29389,96.4,9715.62109,37,1yq2.B99990026
-68331.24219,-48482.17578,2.16684,97.2,9406.1748,29,1yq2.B99990027
-68610.95312,-51003.67969,2.14742,97.0,9227.11816,31,1yq2.B99990028
-67888.97656,-48541.10156,2.19755,96.5,9693.68066,36,1yq2.B99990029
-67704.5,-48468.79297,2.21036,96.4,9487.01465,37,1yq2.B99990030
-67151.82812,-48546.58594,2.24873,96.8,9672.4502,33,1yq2.B99990031
-65979.92188,-46577.18359,2.3301,97.3,9772.86426,27,1yq2.B99990032
-68863.3125,-50657.79297,2.1299,97.6,9411.03125,24,1yq2.B99990033
-68457.82031,-48031.39844,2.15805,96.9,9515.0498,32,1yq2.B99990034
-69138.78906,-51647.67969,2.11077,97.1,9296.70703,30,1yq2.B99990035
-67725.67969,-47158.09375,2.20889,97.5,9381.54395,25,1yq2.B99990036
-68316.84375,-48982.11719,2.16784,97.2,9110.3125,29,1yq2.B99990037
-68007.8125,-49009.65625,2.1893,97.3,9395.15332,27,1yq2.B99990038
-67562.125,-47220.27344,2.22024,97.2,9763.28516,28,1yq2.B99990039
-69233.5,-46583.76172,2.10419,97.0,9328.94629,31,1yq2.B99990040
-67460.91406,-47349.94531,2.22727,96.5,9664.16797,36,1yq2.B99990041
-67126.3125,-43161.375,2.2505,96.0,10097.19434,41,1yq2.B99990042
-67494.625,-47082.97656,2.22493,97.4,9514.0752,26,1yq2.B99990043
-67889.80469,-47862.03516,2.19749,96.7,9745.88184,34,1yq2.B99990044
-68060.85938,-48620.01172,2.18561,96.9,9323.27734,32,1yq2.B99990045
-68740.25781,-48992.80469,2.13844,96.6,9401.99219,35,1yq2.B99990046
-67500.96094,-48498.45703,2.22449,96.6,9308.14844,35,1yq2.B99990047
-64963.73047,-43418.68359,2.40066,95.9,9986.63574,42,1yq2.B99990048
-67851.60938,-48522.97266,2.20014,97.5,9583.32129,25,1yq2.B99990049
-67486.13281,-48543.94141,2.22552,96.5,9692.88281,36,1yq2.B99990050
