DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-31580.23242,-22936.34375,-0.23725,96.6,3119.68799,12,1air_.B99990001
-31638.94531,-23796.30273,-0.24907,95.1,3058.6062,17,1air_.B99990002
-31699.5293,-23122.45508,-0.26126,96.3,3009.74658,13,1air_.B99990003
-31582.7207,-23046.80469,-0.23775,96.6,3067.68994,12,1air_.B99990004
-31300.56641,-22508.73047,-0.18099,97.4,3039.9812,9,1air_.B99990005
-31372.98633,-21855.56445,-0.19556,95.4,3027.85327,16,1air_.B99990006
-32094.46875,-24350.86719,-0.34072,96.6,2999.89478,12,1air_.B99990007
-31980.78516,-23485.38086,-0.31784,96.0,2885.66992,14,1air_.B99990008
-32321.98633,-24206.58398,-0.38649,96.9,3126.93701,11,1air_.B99990009
-31842.67188,-23333.96094,-0.29006,96.6,3163.61914,12,1air_.B99990010
-31476.20898,-22953.40234,-0.21632,96.0,2972.27783,14,1air_.B99990011
-31511.42773,-23487.70117,-0.22341,97.1,3125.96069,10,1air_.B99990012
-31900.58203,-23346.43164,-0.30171,95.4,2963.65576,16,1air_.B99990013
-31381.59961,-22442.62305,-0.19729,96.3,3174.64209,13,1air_.B99990014
-31801.89062,-23782.93555,-0.28185,95.4,3060.3606,16,1air_.B99990015
-31500.22266,-22884.50586,-0.22116,96.9,3072.31201,11,1air_.B99990016
-31976.15625,-23296.31445,-0.31691,95.7,3209.55054,15,1air_.B99990017
-31818.71289,-23245.14648,-0.28524,97.4,3002.3811,9,1air_.B99990018
-31922.85156,-23657.63086,-0.30619,94.0,3067.48291,21,1air_.B99990019
-31537.86133,-22823.29297,-0.22873,95.7,3179.98071,15,1air_.B99990020
-32193.52344,-24489.85742,-0.36065,97.1,3070.43872,10,1air_.B99990021
-31600.25195,-23719.39648,-0.24128,96.3,3032.59448,13,1air_.B99990022
-31830.47852,-23807.08008,-0.2876,96.3,3022.4248,13,1air_.B99990023
-31602.47461,-23439.69922,-0.24173,96.3,2978.70117,13,1air_.B99990024
-31710.50391,-23523.30273,-0.26346,96.0,3142.09106,14,1air_.B99990025
-31487.73633,-23132.21484,-0.21864,96.0,2927.17285,14,1air_.B99990026
-32139.41016,-23566.49414,-0.34976,95.4,3179.17969,16,1air_.B99990027
-31730.86328,-23649.06445,-0.26756,96.0,3153.81763,14,1air_.B99990028
-31352.70898,-21709.63477,-0.19148,95.4,3132.77979,16,1air_.B99990029
-31620.47656,-23432.5625,-0.24535,96.6,3110.78101,12,1air_.B99990030
-32185.90625,-24424.57422,-0.35911,96.9,3178.27222,11,1air_.B99990031
-31658.83984,-22960.2207,-0.25307,96.3,3032.75757,13,1air_.B99990032
-31579.19727,-23183.36914,-0.23705,96.0,3143.66016,14,1air_.B99990033
-31854.73047,-23532.89062,-0.29248,96.6,3059.99146,12,1air_.B99990034
-31523.98828,-23476.95117,-0.22594,96.0,2928.71655,14,1air_.B99990035
-31792.03906,-22995.6582,-0.27987,95.7,3203.37891,15,1air_.B99990036
-31269.44336,-22047.0293,-0.17472,96.3,3013.56787,13,1air_.B99990037
-31389.02344,-22451.85352,-0.19878,95.7,3098.0874,15,1air_.B99990038
-31706.29883,-23360.88867,-0.26262,96.6,3213.14209,12,1air_.B99990039
-31638.6875,-23163.85938,-0.24902,95.4,3019.70874,16,1air_.B99990040
-32015.25391,-23897.77148,-0.32478,96.0,3036.61353,14,1air_.B99990041
-31130.79883,-22501.13281,-0.14683,94.9,3103.57495,18,1air_.B99990042
-31356.74023,-22221.60938,-0.19229,95.1,3111.36475,17,1air_.B99990043
-31749.38672,-23744.49609,-0.27129,96.6,3261.82104,12,1air_.B99990044
-31258.9375,-22033.86719,-0.17261,96.0,3067.76904,14,1air_.B99990045
-32021.18555,-23745.82227,-0.32597,95.7,3083.13721,15,1air_.B99990046
-31586.88672,-23255.45703,-0.23859,96.3,2947.15771,13,1air_.B99990047
-31935.41016,-23637.77539,-0.30871,95.4,3124.05591,16,1air_.B99990048
-31708.4043,-23260.97266,-0.26304,96.9,3118.73999,11,1air_.B99990049
-32077.28711,-24078.64258,-0.33726,96.3,2984.04614,13,1air_.B99990050
