DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-10149.45996,-8905.38867,-1.1477,100.0,471.50824,0,1aac_.B99990001
-10118.00195,-8700.17188,-1.12648,100.0,516.68829,0,1aac_.B99990002
-10065.70996,-8743.70898,-1.09121,100.0,455.30399,0,1aac_.B99990003
-10191.34082,-8815.56836,-1.17595,99.0,552.79846,1,1aac_.B99990004
-10140.65234,-8733.5127,-1.14176,100.0,478.07794,0,1aac_.B99990005
-10117.26562,-8799.82324,-1.12598,100.0,475.79599,0,1aac_.B99990006
-10124.96387,-8852.09473,-1.13118,100.0,466.52707,0,1aac_.B99990007
-10222.10352,-9142.47852,-1.1967,100.0,476.64853,0,1aac_.B99990008
-10257.90234,-9165.85938,-1.22084,100.0,473.5947,0,1aac_.B99990009
-10011.70996,-8573.03516,-1.05479,100.0,494.62305,0,1aac_.B99990010
-9987.7627,-8680.55176,-1.03864,100.0,476.2691,0,1aac_.B99990011
-10155.51074,-8625.7666,-1.15178,100.0,623.57281,0,1aac_.B99990012
-10094.45312,-8804.69727,-1.1106,100.0,461.22549,0,1aac_.B99990013
-10092.86523,-8874.17676,-1.10953,100.0,502.95084,0,1aac_.B99990014
-10239.50879,-9128.28223,-1.20844,100.0,562.34943,0,1aac_.B99990015
-10097.05957,-8768.64551,-1.11236,100.0,502.30246,0,1aac_.B99990016
-10162.76758,-8892.54199,-1.15668,100.0,466.28415,0,1aac_.B99990017
-9905.84766,-8328.13574,-0.98339,100.0,473.3064,0,1aac_.B99990018
-10053.90527,-8604.69141,-1.08325,100.0,466.2395,0,1aac_.B99990019
-10040.93262,-8805.25781,-1.0745,99.0,549.28302,1,1aac_.B99990020
-10239.37305,-8941.38574,-1.20835,99.0,555.24622,1,1aac_.B99990021
-10155.2793,-8856.9707,-1.15162,100.0,558.02667,0,1aac_.B99990022
-10090.04199,-8773.34961,-1.10762,100.0,484.42072,0,1aac_.B99990023
-10114.5918,-8879.06738,-1.12418,99.0,571.80652,1,1aac_.B99990024
-10091.20312,-8842.31738,-1.10841,100.0,483.46799,0,1aac_.B99990025
-10131.70605,-8931.35645,-1.13572,100.0,476.72302,0,1aac_.B99990026
-10027.01855,-8591.11523,-1.06511,100.0,538.97614,0,1aac_.B99990027
-10080.6416,-8683.09863,-1.10128,100.0,531.76172,0,1aac_.B99990028
-10200.89844,-9134.93652,-1.18239,100.0,466.17188,0,1aac_.B99990029
-10251.86426,-8909.02344,-1.21677,100.0,579.39362,0,1aac_.B99990030
-10089.81445,-8788.58301,-1.10747,100.0,450.59418,0,1aac_.B99990031
-10136.01953,-8769.33594,-1.13863,100.0,485.47144,0,1aac_.B99990032
-10102.27832,-8837.60059,-1.11588,100.0,548.58606,0,1aac_.B99990033
-10125.53711,-8789.36035,-1.13156,100.0,457.96967,0,1aac_.B99990034
-10184.66504,-9061.48438,-1.17145,100.0,470.9697,0,1aac_.B99990035
-10098.20117,-8838.18262,-1.11313,100.0,480.04645,0,1aac_.B99990036
-10095.97852,-8853.89453,-1.11163,100.0,542.19098,0,1aac_.B99990037
-10121.00781,-8918.45215,-1.12851,100.0,449.87405,0,1aac_.B99990038
-10155.59082,-8894.6543,-1.15183,100.0,476.15619,0,1aac_.B99990039
-10257.71484,-9039.88574,-1.22072,100.0,493.99869,0,1aac_.B99990040
-10124.56543,-8738.85547,-1.13091,100.0,556.15448,0,1aac_.B99990041
-10107.21875,-8677.60352,-1.11921,100.0,550.54572,0,1aac_.B99990042
-10080.35156,-8705.58301,-1.10109,100.0,473.49707,0,1aac_.B99990043
-9942.93652,-8432.41504,-1.0084,99.0,535.32086,1,1aac_.B99990044
-10183.81934,-8838.96582,-1.17087,100.0,473.79874,0,1aac_.B99990045
-10117.34082,-9013.56543,-1.12604,100.0,475.65094,0,1aac_.B99990046
-10085.375,-8965.93848,-1.10447,100.0,537.20135,0,1aac_.B99990047
-9962.58691,-8669.90723,-1.02166,100.0,555.09607,0,1aac_.B99990048
-10036.66016,-8720.65332,-1.07162,100.0,473.8674,0,1aac_.B99990049
-10124.33594,-8789.78125,-1.13075,99.0,544.789,1,1aac_.B99990050
