DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-16058.35547,-11160.67676,1.922,97.5,2352.99146,7,1a02N.B99990001
-16190.25781,-11339.04395,1.88864,96.4,2280.6936,10,1a02N.B99990002
-15862.76953,-10864.61328,1.97147,96.4,2319.01953,10,1a02N.B99990003
-15667.41699,-10246.86426,2.02088,95.3,2396.63574,13,1a02N.B99990004
-16256.7959,-11315.56543,1.87181,97.1,2302.3667,8,1a02N.B99990005
-16227.34766,-10915.62207,1.87926,96.4,2303.59717,10,1a02N.B99990006
-15991.98535,-10945.91016,1.93879,96.0,2348.40991,11,1a02N.B99990007
-15752.14844,-10147.56055,1.99945,96.0,2400.34155,11,1a02N.B99990008
-16111.74902,-11587.78711,1.90849,96.8,2360.84766,9,1a02N.B99990009
-15836.58691,-10823.45898,1.97809,96.0,2236.78125,11,1a02N.B99990010
-16221.56934,-11116.48633,1.88072,96.4,2337.72192,10,1a02N.B99990011
-16308.23242,-11369.60059,1.8588,95.7,2365.07568,12,1a02N.B99990012
-16056.01855,-11134.59766,1.92259,96.8,2297.90649,9,1a02N.B99990013
-16026.44434,-10733.37988,1.93007,94.6,2337.65942,15,1a02N.B99990014
-16115.0957,-11547.40137,1.90765,95.7,2296.15356,12,1a02N.B99990015
-16288.69727,-11350.99219,1.86374,95.0,2231.20215,14,1a02N.B99990016
-16016.25781,-10935.33594,1.93265,97.1,2386.56079,8,1a02N.B99990017
-15965.9707,-10959.54004,1.94537,96.4,2316.21411,10,1a02N.B99990018
-16002.67676,-11097.96289,1.93608,95.7,2342.46069,12,1a02N.B99990019
-16376.97363,-11607.57129,1.84141,96.8,2319.09131,9,1a02N.B99990020
-16378.56055,-11501.83594,1.84101,96.0,2292.11182,11,1a02N.B99990021
-16123.83008,-11327.15918,1.90544,97.8,2315.9812,6,1a02N.B99990022
-15958.80078,-10757.96094,1.94718,95.0,2401.01636,14,1a02N.B99990023
-16075.1084,-11176.27344,1.91776,96.4,2408.24414,10,1a02N.B99990024
-16163.74902,-11117.65039,1.89534,96.0,2316.19409,11,1a02N.B99990025
-16140.54199,-11499.69727,1.90121,96.0,2307.28809,11,1a02N.B99990026
-16047.53906,-10890.89648,1.92474,96.4,2380.10181,10,1a02N.B99990027
-16069.03809,-10554.24707,1.9193,96.4,2304.92017,10,1a02N.B99990028
-16115.05078,-10932.9043,1.90766,95.7,2341.18359,12,1a02N.B99990029
-16001.51758,-10804.19922,1.93638,95.7,2307.14673,12,1a02N.B99990030
-16020.1377,-10989.33398,1.93167,96.8,2342.90869,9,1a02N.B99990031
-16328.6543,-11437.18652,1.85363,96.8,2341.39014,9,1a02N.B99990032
-15617.90039,-10154.33203,2.03341,95.7,2561.5127,12,1a02N.B99990033
-16267.97168,-11464.53125,1.86898,96.8,2476.77051,9,1a02N.B99990034
-15925.16211,-10973.40723,1.95569,95.7,2379.48682,12,1a02N.B99990035
-15869.36426,-10132.89355,1.9698,95.7,2422.2522,12,1a02N.B99990036
-15993.96973,-10648.80078,1.93829,96.8,2389.55298,9,1a02N.B99990037
-16082.43555,-10969.85645,1.91591,96.4,2319.7998,10,1a02N.B99990038
-15832.72656,-10125.47656,1.97907,95.7,2311.76782,12,1a02N.B99990039
-16663.70508,-11528.29297,1.76889,96.4,2469.10181,10,1a02N.B99990040
-15783.30273,-10533.13965,1.99157,95.7,2325.22095,12,1a02N.B99990041
-15975.92871,-10935.03418,1.94285,96.8,2290.55127,9,1a02N.B99990042
-16686.76758,-11369.80176,1.76305,97.5,2420.39722,7,1a02N.B99990043
-15768.07617,-10602.03711,1.99542,95.7,2314.43945,12,1a02N.B99990044
-16005.44336,-11024.55176,1.93538,95.3,2341.41577,13,1a02N.B99990045
-16113.51953,-11450.40918,1.90805,95.3,2311.81079,13,1a02N.B99990046
-16278.17773,-11161.55078,1.8664,96.0,2354.12646,11,1a02N.B99990047
-15869.68555,-10331.65527,1.96972,95.3,2394.55615,13,1a02N.B99990048
-15960.70703,-10723.88965,1.9467,96.8,2304.58691,9,1a02N.B99990049
-16008.13184,-10705.92383,1.9347,97.1,2406.14429,8,1a02N.B99990050
