DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-53563.97656,-49971.85938,-1.05904,99.1,2789.75854,4,1a8d_.B99990001
-53600.10938,-50020.83203,-1.0647,99.3,2776.56641,3,1a8d_.B99990002
-53517.25,-49769.98047,-1.05172,98.7,2909.06812,6,1a8d_.B99990003
-53602.23828,-50245.67578,-1.06503,99.1,2699.61694,4,1a8d_.B99990004
-53830.54688,-51269.24219,-1.10081,99.3,2365.69531,3,1a8d_.B99990005
-53686.18359,-50661.15234,-1.07819,98.9,2560.33398,5,1a8d_.B99990006
-53555.62891,-50391.5,-1.05773,99.3,2463.67139,3,1a8d_.B99990007
-53794.13672,-50803.46484,-1.0951,99.3,2503.89185,3,1a8d_.B99990008
-53791.63672,-50842.08594,-1.09471,99.1,2465.85034,4,1a8d_.B99990009
-53772.56641,-51304.17578,-1.09172,99.1,2594.2771,4,1a8d_.B99990010
-53552.5625,-50518.84766,-1.05725,98.9,2511.05249,5,1a8d_.B99990011
-53642.11328,-50125.24219,-1.07128,98.7,2825.83862,6,1a8d_.B99990012
-53779.17969,-50353.32031,-1.09276,99.1,2556.83032,4,1a8d_.B99990013
-53053.75,-49099.43359,-0.97909,99.3,2911.92725,3,1a8d_.B99990014
-53581.40625,-50304.74609,-1.06177,99.1,2660.21704,4,1a8d_.B99990015
-53854.19531,-50807.82422,-1.10451,98.7,2820.09521,6,1a8d_.B99990016
-53994.39453,-51022.53516,-1.12648,98.9,2501.05273,5,1a8d_.B99990017
-53776.87891,-50778.88281,-1.0924,99.1,2583.75757,4,1a8d_.B99990018
-53341.05078,-49686.76953,-1.02411,98.9,2665.82202,5,1a8d_.B99990019
-53800.8125,-50937.25781,-1.09615,99.3,2428.12573,3,1a8d_.B99990020
-53915.58203,-50902.15234,-1.11413,98.9,2538.27832,5,1a8d_.B99990021
-53764.63672,-50609.17969,-1.09048,99.3,2514.01099,3,1a8d_.B99990022
-53813.73047,-50720.23828,-1.09817,98.9,2657.80615,5,1a8d_.B99990023
-53627.21094,-50453.16406,-1.06895,99.1,2545.28833,4,1a8d_.B99990024
-53947.76562,-51314.53516,-1.11917,98.9,2449.54297,5,1a8d_.B99990025
-53703.87891,-50533.15625,-1.08096,99.1,2590.56006,4,1a8d_.B99990026
-53773.68359,-50816.75781,-1.0919,99.1,2472.33911,4,1a8d_.B99990027
-53611.8125,-50578.90234,-1.06653,99.1,2457.06519,4,1a8d_.B99990028
-53646.24609,-50687.37891,-1.07193,98.7,2528.9231,6,1a8d_.B99990029
-53787.94531,-50723.37891,-1.09413,99.1,2591.24048,4,1a8d_.B99990030
-53697.16016,-50926.43359,-1.07991,99.1,2570.52417,4,1a8d_.B99990031
-53721.44922,-50538.95703,-1.08371,99.1,2504.09424,4,1a8d_.B99990032
-53771.05469,-51058.94141,-1.09149,99.3,2505.50464,3,1a8d_.B99990033
-53803.21094,-51126.90234,-1.09652,99.3,2442.45581,3,1a8d_.B99990034
-53453.74609,-49842.52734,-1.04177,98.9,2789.75464,5,1a8d_.B99990035
-53838.25391,-50946.24219,-1.10201,98.9,2578.53687,5,1a8d_.B99990036
-53664.1875,-50346.17969,-1.07474,99.1,2586.62988,4,1a8d_.B99990037
-53966.94141,-50716.80469,-1.12218,98.9,2603.79126,5,1a8d_.B99990038
-53276.15234,-49367.82812,-1.01394,98.9,2887.43066,5,1a8d_.B99990039
-53939.49609,-50408.0,-1.11788,99.1,2829.89282,4,1a8d_.B99990040
-53702.44922,-51021.68359,-1.08074,99.3,2482.16162,3,1a8d_.B99990041
-53551.18359,-50483.39844,-1.05703,98.9,2468.15332,5,1a8d_.B99990042
-53709.42188,-50541.18359,-1.08183,98.9,2477.21118,5,1a8d_.B99990043
-53626.97266,-50458.19141,-1.06891,98.4,2647.21167,7,1a8d_.B99990044
-53890.51562,-50960.35938,-1.1102,98.9,2522.25977,5,1a8d_.B99990045
-53653.41797,-50386.62891,-1.07305,99.3,2572.15747,3,1a8d_.B99990046
-53982.91797,-51483.28516,-1.12468,99.1,2477.66309,4,1a8d_.B99990047
-53606.24609,-50473.60938,-1.06566,99.3,2548.33252,3,1a8d_.B99990048
-53577.05078,-50283.58203,-1.06109,98.9,2657.44849,5,1a8d_.B99990049
-53603.24609,-50317.53906,-1.06519,99.1,2600.82935,4,1a8d_.B99990050
