DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-11788.76074,-9593.34375,-1.04303,98.6,908.04425,2,1aqzA.B99990001
-11759.00977,-9700.39062,-1.02819,100.0,820.10156,0,1aqzA.B99990002
-11605.30078,-8972.85352,-0.95153,98.6,1060.1842,2,1aqzA.B99990003
-11799.44629,-9476.28613,-1.04836,99.3,849.9837,1,1aqzA.B99990004
-11837.62793,-9502.79688,-1.0674,100.0,921.3576,0,1aqzA.B99990005
-11821.21973,-9655.19336,-1.05922,100.0,837.6275,0,1aqzA.B99990006
-11845.3916,-9502.3125,-1.07127,98.6,1023.30493,2,1aqzA.B99990007
-11759.30273,-9441.18652,-1.02834,98.6,959.47284,2,1aqzA.B99990008
-11944.59473,-9830.87988,-1.12075,99.3,856.0697,1,1aqzA.B99990009
-11920.33594,-9720.33984,-1.10865,99.3,821.21484,1,1aqzA.B99990010
-11938.37793,-9639.52637,-1.11765,98.6,1030.0321,2,1aqzA.B99990011
-11838.01562,-9716.90137,-1.06759,98.6,884.79083,2,1aqzA.B99990012
-11856.67871,-9628.60547,-1.0769,99.3,876.68707,1,1aqzA.B99990013
-11867.35352,-9700.10449,-1.08223,99.3,849.77502,1,1aqzA.B99990014
-11759.59375,-9609.16992,-1.02848,98.6,981.43555,2,1aqzA.B99990015
-11918.29297,-9923.72559,-1.10763,100.0,812.84558,0,1aqzA.B99990016
-11767.57324,-9259.64941,-1.03246,98.6,931.0719,2,1aqzA.B99990017
-11863.81152,-9873.32715,-1.08046,98.6,856.11243,2,1aqzA.B99990018
-11827.27734,-9821.36035,-1.06224,99.3,846.70148,1,1aqzA.B99990019
-11720.97852,-9645.78418,-1.00922,100.0,902.1864,0,1aqzA.B99990020
-11793.27832,-9313.05859,-1.04528,99.3,998.08154,1,1aqzA.B99990021
-11878.3252,-9764.38281,-1.0877,99.3,879.91364,1,1aqzA.B99990022
-11900.04297,-9772.37402,-1.09853,99.3,901.43292,1,1aqzA.B99990023
-11795.81445,-9603.04297,-1.04655,100.0,880.83392,0,1aqzA.B99990024
-11921.16016,-9716.59375,-1.10906,100.0,810.36047,0,1aqzA.B99990025
-11864.87305,-9588.31348,-1.08099,100.0,833.13251,0,1aqzA.B99990026
-11868.18262,-9632.19238,-1.08264,100.0,822.89502,0,1aqzA.B99990027
-11900.02148,-9726.03711,-1.09852,100.0,855.30121,0,1aqzA.B99990028
-11822.74609,-9705.58105,-1.05998,100.0,1010.92297,0,1aqzA.B99990029
-11888.49219,-9793.79785,-1.09277,100.0,828.07361,0,1aqzA.B99990030
-11868.70312,-9796.38379,-1.0829,98.6,865.68115,2,1aqzA.B99990031
-11885.34668,-9757.49609,-1.0912,100.0,858.65436,0,1aqzA.B99990032
-11998.28613,-10018.92578,-1.14753,99.3,826.51978,1,1aqzA.B99990033
-11693.70801,-9300.99609,-0.99562,100.0,992.46088,0,1aqzA.B99990034
-11820.45605,-9435.42188,-1.05884,99.3,837.89905,1,1aqzA.B99990035
-11941.7334,-9825.2666,-1.11932,99.3,870.39783,1,1aqzA.B99990036
-11846.83789,-9500.54492,-1.07199,99.3,960.55933,1,1aqzA.B99990037
-11799.62207,-9524.61621,-1.04845,99.3,897.19366,1,1aqzA.B99990038
-11728.45312,-9421.78711,-1.01295,99.3,844.44482,1,1aqzA.B99990039
-11865.54297,-9914.96777,-1.08132,97.9,953.96832,3,1aqzA.B99990040
-11801.31055,-9641.52148,-1.04929,100.0,861.35291,0,1aqzA.B99990041
-11739.97754,-9704.43066,-1.0187,100.0,873.51282,0,1aqzA.B99990042
-11769.53027,-9622.69238,-1.03344,100.0,893.77631,0,1aqzA.B99990043
-11874.75293,-9948.5,-1.08592,98.6,911.23584,2,1aqzA.B99990044
-11836.52148,-9783.75391,-1.06685,99.3,819.77087,1,1aqzA.B99990045
-11780.12207,-9793.19922,-1.03872,100.0,906.52338,0,1aqzA.B99990046
-11887.97168,-9779.65527,-1.09251,99.3,871.90594,1,1aqzA.B99990047
-11848.07422,-9684.75195,-1.07261,100.0,879.03357,0,1aqzA.B99990048
-11817.08789,-9560.19434,-1.05716,98.6,877.93921,2,1aqzA.B99990049
-11962.21387,-9680.66016,-1.12954,99.3,871.13214,1,1aqzA.B99990050
