DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-31465.17188,-29677.71094,-1.44726,98.9,1232.07312,3,1a4iA.B99990001
-31521.77734,-30101.66016,-1.46132,98.6,1282.88464,4,1a4iA.B99990002
-31324.42383,-29661.53125,-1.41228,99.3,1254.49219,2,1a4iA.B99990003
-31205.85938,-29644.75,-1.38282,99.3,1241.79053,2,1a4iA.B99990004
-31365.89453,-29771.35547,-1.42259,99.3,1257.60803,2,1a4iA.B99990005
-31331.25586,-29463.24023,-1.41398,99.3,1286.53296,2,1a4iA.B99990006
-31539.16797,-29782.80859,-1.46564,98.6,1278.45264,4,1a4iA.B99990007
-30979.0918,-28958.44531,-1.32647,98.6,1282.37622,4,1a4iA.B99990008
-31373.08594,-29762.09961,-1.42437,98.6,1235.72302,4,1a4iA.B99990009
-31663.43555,-29937.80859,-1.49652,98.9,1385.51111,3,1a4iA.B99990010
-31488.20508,-29998.1875,-1.45298,98.2,1318.44836,5,1a4iA.B99990011
-31757.58203,-30327.48242,-1.51992,99.3,1218.83362,2,1a4iA.B99990012
-31443.82617,-29841.17578,-1.44195,98.9,1244.66089,3,1a4iA.B99990013
-31421.19727,-29694.09961,-1.43633,98.9,1303.16724,3,1a4iA.B99990014
-31412.83008,-29796.08594,-1.43425,98.9,1239.95032,3,1a4iA.B99990015
-31503.35547,-29764.08594,-1.45675,98.6,1234.52576,4,1a4iA.B99990016
-31433.84766,-29592.72852,-1.43947,98.6,1221.39148,4,1a4iA.B99990017
-31256.625,-29365.7832,-1.39543,99.3,1406.29407,2,1a4iA.B99990018
-31603.99414,-29944.31055,-1.48175,98.6,1278.48718,4,1a4iA.B99990019
-31339.47266,-29676.82422,-1.41602,99.3,1307.2948,2,1a4iA.B99990020
-31763.05859,-30299.27148,-1.52128,99.3,1289.49377,2,1a4iA.B99990021
-31446.54492,-29922.40625,-1.44263,99.3,1203.37268,2,1a4iA.B99990022
-31308.55273,-29532.11523,-1.40834,98.6,1265.57715,4,1a4iA.B99990023
-31600.0293,-30000.71289,-1.48077,99.3,1272.60132,2,1a4iA.B99990024
-31011.84375,-29102.92773,-1.33461,98.9,1251.45288,3,1a4iA.B99990025
-31504.5957,-29924.37891,-1.45705,98.6,1237.7489,4,1a4iA.B99990026
-31602.45508,-29858.04883,-1.48137,98.2,1284.4519,5,1a4iA.B99990027
-31538.33594,-29800.69336,-1.46544,98.6,1247.27954,4,1a4iA.B99990028
-31521.00977,-29667.67773,-1.46113,98.6,1297.38159,4,1a4iA.B99990029
-31633.64844,-30019.67383,-1.48912,98.9,1283.02039,3,1a4iA.B99990030
-31229.99219,-29505.36914,-1.38882,98.9,1239.49988,3,1a4iA.B99990031
-31206.44336,-29516.71094,-1.38296,99.3,1252.78259,2,1a4iA.B99990032
-31578.05859,-29937.88672,-1.47531,99.3,1228.6488,2,1a4iA.B99990033
-31325.32812,-29386.79297,-1.41251,98.9,1278.67078,3,1a4iA.B99990034
-31587.84375,-30033.70703,-1.47774,98.9,1251.99231,3,1a4iA.B99990035
-31656.30469,-30340.63477,-1.49475,98.9,1255.85339,3,1a4iA.B99990036
-31604.41602,-30051.27734,-1.48186,98.9,1368.2356,3,1a4iA.B99990037
-31445.04883,-29650.9707,-1.44226,99.3,1381.4342,2,1a4iA.B99990038
-31081.73242,-29257.19727,-1.35197,98.9,1229.02075,3,1a4iA.B99990039
-31608.94727,-30043.55859,-1.48298,98.9,1217.53003,3,1a4iA.B99990040
-31328.5293,-29606.99805,-1.4133,98.9,1249.76099,3,1a4iA.B99990041
-31556.81055,-29980.07227,-1.47003,98.6,1212.13025,4,1a4iA.B99990042
-31313.09961,-29787.02148,-1.40947,98.9,1262.22644,3,1a4iA.B99990043
-31409.41797,-29647.6875,-1.4334,99.3,1331.35742,2,1a4iA.B99990044
-31212.26172,-29224.83008,-1.38441,99.3,1242.6908,2,1a4iA.B99990045
-31594.17578,-29871.30469,-1.47931,98.6,1263.17725,4,1a4iA.B99990046
-31549.26758,-29988.06641,-1.46815,98.2,1278.73499,5,1a4iA.B99990047
-31449.82031,-29573.55078,-1.44344,98.9,1313.4856,3,1a4iA.B99990048
-31324.48633,-29628.13086,-1.4123,98.9,1333.39417,3,1a4iA.B99990049
-31824.97656,-30510.05078,-1.53667,98.6,1216.21704,4,1a4iA.B99990050
