DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-9116.60059,-8741.53711,-1.98893,100.0,284.37125,0,1a6s_.B99990001
-9139.0459,-9026.20996,-2.0072,100.0,219.62129,0,1a6s_.B99990002
-8979.79688,-8700.45605,-1.87757,100.0,304.17819,0,1a6s_.B99990003
-9050.63672,-8938.97949,-1.93523,100.0,232.23776,0,1a6s_.B99990004
-9027.37695,-8808.82324,-1.9163,100.0,275.10333,0,1a6s_.B99990005
-8970.46484,-8797.93945,-1.86997,100.0,237.14116,0,1a6s_.B99990006
-9074.65723,-8901.16113,-1.95479,100.0,266.63977,0,1a6s_.B99990007
-9170.15918,-9207.09277,-2.03253,100.0,209.29802,0,1a6s_.B99990008
-8989.83594,-8808.12207,-1.88574,100.0,285.53894,0,1a6s_.B99990009
-8996.54199,-8763.49414,-1.8912,100.0,233.86293,0,1a6s_.B99990010
-9156.06738,-9046.53613,-2.02106,100.0,212.05699,0,1a6s_.B99990011
-9151.54297,-9109.37012,-2.01737,100.0,206.85632,0,1a6s_.B99990012
-9033.94824,-8851.60059,-1.92165,100.0,261.9838,0,1a6s_.B99990013
-8882.37891,-8570.875,-1.79826,100.0,243.29749,0,1a6s_.B99990014
-9049.98535,-8884.65039,-1.9347,100.0,285.99756,0,1a6s_.B99990015
-8989.05078,-8726.24512,-1.8851,100.0,268.27179,0,1a6s_.B99990016
-9092.9668,-9072.11914,-1.96969,100.0,217.59222,0,1a6s_.B99990017
-9118.16602,-9101.57422,-1.9902,100.0,212.741,0,1a6s_.B99990018
-9091.625,-8876.39062,-1.9686,100.0,286.17569,0,1a6s_.B99990019
-9100.56836,-8964.6748,-1.97588,98.8,238.35214,1,1a6s_.B99990020
-9177.22168,-9202.05762,-2.03828,100.0,213.50447,0,1a6s_.B99990021
-9113.67285,-9001.09766,-1.98655,100.0,206.6344,0,1a6s_.B99990022
-9095.61328,-8891.40918,-1.97184,100.0,252.86172,0,1a6s_.B99990023
-9030.2959,-8883.26953,-1.91867,100.0,272.34976,0,1a6s_.B99990024
-9150.81055,-9183.21387,-2.01678,100.0,202.0993,0,1a6s_.B99990025
-9159.62598,-9143.39648,-2.02395,100.0,235.9395,0,1a6s_.B99990026
-9013.77344,-8818.5459,-1.90522,100.0,219.02199,0,1a6s_.B99990027
-9111.6377,-9131.47461,-1.98489,100.0,209.12373,0,1a6s_.B99990028
-9172.40918,-9153.66016,-2.03436,100.0,233.14113,0,1a6s_.B99990029
-8987.10645,-8772.15332,-1.88352,100.0,244.12715,0,1a6s_.B99990030
-9113.2998,-9005.66309,-1.98624,100.0,235.44295,0,1a6s_.B99990031
-9172.81641,-9054.38379,-2.03469,100.0,263.01581,0,1a6s_.B99990032
-9168.32812,-9044.97949,-2.03104,100.0,265.65601,0,1a6s_.B99990033
-9026.55078,-8842.48926,-1.91562,100.0,207.49876,0,1a6s_.B99990034
-9098.99805,-9167.44824,-1.9746,100.0,218.88579,0,1a6s_.B99990035
-9149.36328,-9153.39941,-2.0156,100.0,210.9442,0,1a6s_.B99990036
-9158.14551,-9155.18555,-2.02275,100.0,200.02708,0,1a6s_.B99990037
-9114.26953,-8984.4873,-1.98703,100.0,267.392,0,1a6s_.B99990038
-9137.87012,-8997.22656,-2.00624,100.0,258.99734,0,1a6s_.B99990039
-9013.37402,-8921.43164,-1.9049,100.0,259.65027,0,1a6s_.B99990040
-9101.99219,-9036.36719,-1.97704,100.0,215.13884,0,1a6s_.B99990041
-9206.96777,-9287.34473,-2.06249,100.0,218.21103,0,1a6s_.B99990042
-8957.53711,-8645.28223,-1.85944,100.0,283.56827,0,1a6s_.B99990043
-9027.63965,-8849.86133,-1.91651,100.0,238.27061,0,1a6s_.B99990044
-9098.72168,-9032.75684,-1.97437,100.0,220.08961,0,1a6s_.B99990045
-9072.09766,-8948.65137,-1.9527,100.0,230.39893,0,1a6s_.B99990046
-9112.03809,-8848.5459,-1.98522,100.0,278.7973,0,1a6s_.B99990047
-9119.47949,-9126.89844,-1.99127,100.0,220.45679,0,1a6s_.B99990048
-9083.41211,-8933.99902,-1.96191,100.0,245.76868,0,1a6s_.B99990049
-9020.03027,-8733.34473,-1.91032,100.0,244.73621,0,1a6s_.B99990050
