DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-15436.10156,-14243.48828,0.05336,98.8,817.21045,2,1aihA.B99990001
-15249.87598,-13359.62891,0.13094,97.0,902.09296,5,1aihA.B99990002
-15163.33691,-13059.51953,0.16699,97.0,906.44214,5,1aihA.B99990003
-15145.61816,-13417.16504,0.17437,96.4,855.13464,6,1aihA.B99990004
-15172.49316,-13937.70215,0.16318,98.2,845.00763,3,1aihA.B99990005
-15246.79883,-13952.38574,0.13222,98.2,772.67078,3,1aihA.B99990006
-15035.58887,-12974.85547,0.22021,97.0,938.07153,5,1aihA.B99990007
-15199.25488,-13515.66699,0.15203,98.2,832.85901,3,1aihA.B99990008
-15167.31934,-13654.31836,0.16533,97.6,860.91565,4,1aihA.B99990009
-15152.37598,-13256.66602,0.17156,98.2,827.90063,3,1aihA.B99990010
-15078.07031,-13707.45703,0.20252,98.2,816.36523,3,1aihA.B99990011
-15315.06543,-13630.68945,0.10378,97.6,1034.25342,4,1aihA.B99990012
-15446.26562,-13946.99414,0.04913,98.2,778.63568,3,1aihA.B99990013
-15167.90918,-13440.45508,0.16509,97.0,883.38422,5,1aihA.B99990014
-15339.91504,-13691.10938,0.09343,98.2,826.70337,3,1aihA.B99990015
-15486.39062,-14185.16992,0.03241,97.6,813.20874,4,1aihA.B99990016
-15102.30469,-13149.95703,0.19242,97.0,938.75378,5,1aihA.B99990017
-15253.23047,-13410.3916,0.12954,97.6,851.04572,4,1aihA.B99990018
-15214.90039,-13621.85156,0.14551,98.8,894.2099,2,1aihA.B99990019
-14944.46973,-13317.10645,0.25817,97.0,932.5589,5,1aihA.B99990020
-15331.01562,-13544.01465,0.09714,98.2,859.69806,3,1aihA.B99990021
-14904.66113,-13059.18555,0.27476,98.8,822.72931,2,1aihA.B99990022
-15149.25879,-13126.04688,0.17286,97.6,780.3985,4,1aihA.B99990023
-15012.15137,-13377.52051,0.22998,98.8,857.0163,2,1aihA.B99990024
-15166.47656,-13490.42871,0.16569,97.0,875.37598,5,1aihA.B99990025
-15242.85254,-13784.3457,0.13387,97.6,824.89447,4,1aihA.B99990026
-15424.27832,-13526.56836,0.05829,97.6,854.74396,4,1aihA.B99990027
-15269.06348,-13530.38379,0.12295,97.0,854.4668,5,1aihA.B99990028
-15252.88379,-13885.7666,0.12969,98.2,889.73114,3,1aihA.B99990029
-15202.21777,-13477.32031,0.1508,97.6,842.3667,4,1aihA.B99990030
-15203.6709,-13865.79883,0.15019,95.8,872.78247,7,1aihA.B99990031
-14837.51367,-12995.71289,0.30273,97.6,877.59521,4,1aihA.B99990032
-15364.4248,-13713.53418,0.08322,97.0,895.09497,5,1aihA.B99990033
-15144.05176,-13505.63477,0.17503,98.2,787.75604,3,1aihA.B99990034
-15003.29199,-13034.16895,0.23367,98.8,762.0932,2,1aihA.B99990035
-15382.2334,-13842.32617,0.0758,96.4,990.61389,6,1aihA.B99990036
-15388.69336,-13914.90625,0.07311,96.4,831.92389,6,1aihA.B99990037
-15527.60742,-14132.94336,0.01524,98.2,845.1933,3,1aihA.B99990038
-15395.22461,-14022.68457,0.07039,97.6,779.33191,4,1aihA.B99990039
-15668.0293,-14109.07324,-0.04326,98.2,805.5072,3,1aihA.B99990040
-15074.88086,-13273.08691,0.20384,96.4,898.7821,6,1aihA.B99990041
-15249.75977,-13279.42383,0.13099,97.6,908.23846,4,1aihA.B99990042
-15309.16211,-13805.46973,0.10624,97.6,845.21558,4,1aihA.B99990043
-15407.68945,-14069.5127,0.0652,98.2,818.07983,3,1aihA.B99990044
-15023.73633,-13272.24609,0.22515,98.8,934.96368,2,1aihA.B99990045
-14968.87695,-13174.36328,0.248,97.6,855.49817,4,1aihA.B99990046
-15056.14746,-13580.28125,0.21165,98.2,913.64941,3,1aihA.B99990047
-15075.05273,-13283.97852,0.20377,98.8,836.00317,2,1aihA.B99990048
-15334.08008,-13826.52637,0.09586,99.4,787.68512,1,1aihA.B99990049
-15279.60938,-13793.125,0.11855,97.6,764.04547,4,1aihA.B99990050
