DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-15479.37891,-14972.48047,-2.11901,98.4,995.12811,2,1ax8_.B99990001
-15512.99609,-14988.64355,-2.13732,99.2,958.62115,1,1ax8_.B99990002
-15516.96387,-15013.6123,-2.13949,97.7,1002.83124,3,1ax8_.B99990003
-15333.21582,-14590.45605,-2.03938,99.2,1079.71082,1,1ax8_.B99990004
-15521.76953,-15033.3125,-2.1421,99.2,968.31122,1,1ax8_.B99990005
-15403.1582,-14985.01855,-2.07749,99.2,1004.62909,1,1ax8_.B99990006
-15247.24902,-14304.42383,-1.99255,100.0,1006.60217,0,1ax8_.B99990007
-15472.96094,-15013.44629,-2.11551,99.2,949.70215,1,1ax8_.B99990008
-15358.66211,-14764.18457,-2.05325,98.4,993.81335,2,1ax8_.B99990009
-15267.67871,-14449.06641,-2.00368,100.0,1051.98706,0,1ax8_.B99990010
-15520.18555,-14877.33691,-2.14124,99.2,957.94037,1,1ax8_.B99990011
-15479.32617,-15034.81152,-2.11898,99.2,978.73303,1,1ax8_.B99990012
-15430.41113,-14967.65527,-2.09233,99.2,997.56311,1,1ax8_.B99990013
-15505.52832,-14951.70117,-2.13326,99.2,976.54248,1,1ax8_.B99990014
-15490.76855,-15229.03613,-2.12521,99.2,968.72241,1,1ax8_.B99990015
-15354.05176,-14626.44238,-2.05073,99.2,996.47021,1,1ax8_.B99990016
-15410.84961,-14870.04297,-2.08168,99.2,979.49042,1,1ax8_.B99990017
-15541.25977,-15080.09375,-2.15272,99.2,980.60303,1,1ax8_.B99990018
-15435.72754,-14794.05762,-2.09523,99.2,957.37512,1,1ax8_.B99990019
-15401.72949,-14761.75195,-2.07671,100.0,971.82843,0,1ax8_.B99990020
-15530.33301,-15033.73828,-2.14677,99.2,960.64374,1,1ax8_.B99990021
-15300.69531,-14596.23145,-2.02167,99.2,1002.33508,1,1ax8_.B99990022
-15500.25488,-15073.89062,-2.13038,98.4,967.08545,2,1ax8_.B99990023
-15477.16504,-15086.70605,-2.1178,99.2,978.17694,1,1ax8_.B99990024
-15505.95215,-15055.00391,-2.13349,99.2,945.44373,1,1ax8_.B99990025
-15427.69727,-14873.60449,-2.09085,98.4,983.98651,2,1ax8_.B99990026
-15399.91602,-14543.67383,-2.07572,99.2,993.50421,1,1ax8_.B99990027
-15578.63184,-15159.92871,-2.17308,99.2,968.52631,1,1ax8_.B99990028
-15450.45703,-15022.29785,-2.10325,99.2,951.24725,1,1ax8_.B99990029
-15560.15918,-15225.4502,-2.16302,99.2,942.30206,1,1ax8_.B99990030
-15326.51367,-14654.07422,-2.03573,99.2,1012.40253,1,1ax8_.B99990031
-15255.77344,-14640.61328,-1.99719,99.2,1003.40448,1,1ax8_.B99990032
-15360.63379,-14796.52637,-2.05432,98.4,957.76996,2,1ax8_.B99990033
-15402.49902,-14881.81738,-2.07713,99.2,981.69421,1,1ax8_.B99990034
-15571.97266,-15167.88672,-2.16945,99.2,991.55225,1,1ax8_.B99990035
-15594.25098,-15142.76465,-2.18159,99.2,969.89929,1,1ax8_.B99990036
-15468.92676,-15103.32812,-2.11332,99.2,986.10608,1,1ax8_.B99990037
-15334.20605,-14606.21973,-2.03992,98.4,1011.82623,2,1ax8_.B99990038
-15564.25684,-15018.98926,-2.16525,100.0,948.78241,0,1ax8_.B99990039
-15375.02051,-14781.88477,-2.06216,99.2,1019.37396,1,1ax8_.B99990040
-15454.22363,-14978.7998,-2.10531,99.2,973.64282,1,1ax8_.B99990041
-15527.27344,-14932.19531,-2.1451,99.2,1008.30835,1,1ax8_.B99990042
-15466.62695,-15161.2998,-2.11206,99.2,978.35309,1,1ax8_.B99990043
-15531.90137,-15004.65137,-2.14762,99.2,982.50751,1,1ax8_.B99990044
-15479.35254,-15022.21289,-2.119,99.2,971.85461,1,1ax8_.B99990045
-15479.76172,-14983.20605,-2.11922,100.0,993.77905,0,1ax8_.B99990046
-15385.56152,-14829.00781,-2.0679,99.2,1000.92346,1,1ax8_.B99990047
-15407.48926,-14912.22363,-2.07985,98.4,1042.4325,2,1ax8_.B99990048
-15533.02051,-15003.63184,-2.14823,99.2,991.27905,1,1ax8_.B99990049
-15496.63867,-14965.29297,-2.12841,98.4,976.80884,2,1ax8_.B99990050
