DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-6192.85645,-1408.2019,3.79398,93.5,1031.58264,11,1ae9A.B99990001
-6861.29102,-6515.93506,3.51714,100.0,618.87128,0,1ae9A.B99990002
-6133.63135,-6253.12451,3.81851,100.0,582.77466,0,1ae9A.B99990003
-6058.08496,-5950.98682,3.84979,100.0,618.63165,0,1ae9A.B99990004
-5544.98828,-5124.57031,4.0623,98.8,618.34436,2,1ae9A.B99990005
-6161.04004,-5963.0918,3.80715,100.0,618.25653,0,1ae9A.B99990006
-6807.54688,-6760.10986,3.5394,100.0,591.53845,0,1ae9A.B99990007
-6587.65771,-6629.77441,3.63047,100.0,602.32782,0,1ae9A.B99990008
-6106.59961,-4339.18066,3.8297,98.8,746.77673,2,1ae9A.B99990009
-6059.77051,-5939.97754,3.8491,100.0,573.89124,0,1ae9A.B99990010
-6157.04053,-5667.03027,3.80881,99.4,596.00244,1,1ae9A.B99990011
-7358.84668,-3298.76929,3.31107,94.1,774.36249,10,1ae9A.B99990012
-7564.27783,-6444.62988,3.22599,99.4,669.18121,1,1ae9A.B99990013
-6534.35791,-5702.18262,3.65254,98.8,597.64062,2,1ae9A.B99990014
-6101.56836,-5027.23145,3.83178,98.8,565.09705,2,1ae9A.B99990015
-5435.76514,-4158.17188,4.10753,97.6,843.5592,4,1ae9A.B99990016
-5676.57373,-4243.68506,4.0078,97.6,700.89526,4,1ae9A.B99990017
-7542.43848,-5589.0498,3.23503,98.2,649.29742,3,1ae9A.B99990018
-5565.56348,1525.28491,4.05378,94.1,1023.12805,10,1ae9A.B99990019
-5791.17334,-4431.33984,3.96034,98.8,678.67487,2,1ae9A.B99990020
-6669.68408,-5770.11377,3.59649,99.4,674.34485,1,1ae9A.B99990021
-6220.61816,-6157.08496,3.78248,100.0,567.26031,0,1ae9A.B99990022
-6575.67822,-6474.02344,3.63543,100.0,542.57745,0,1ae9A.B99990023
-6288.25391,-4674.77051,3.75447,97.6,646.00201,4,1ae9A.B99990024
-5252.15771,-3691.70776,4.18358,97.6,716.90033,4,1ae9A.B99990025
-5730.56445,-5734.56104,3.98544,100.0,599.88251,0,1ae9A.B99990026
-6011.46582,-5840.16455,3.8691,100.0,575.58521,0,1ae9A.B99990027
-5930.84619,-6012.7749,3.90249,100.0,604.6239,0,1ae9A.B99990028
-5429.03906,-3624.51294,4.11032,97.6,695.61566,4,1ae9A.B99990029
-6038.79932,-4461.72949,3.85778,98.8,651.19403,2,1ae9A.B99990030
-6108.9917,-5790.34912,3.82871,99.4,611.96625,1,1ae9A.B99990031
-5557.24756,-5678.48438,4.05722,99.4,581.78094,1,1ae9A.B99990032
-6532.42578,-4963.16309,3.65334,99.4,645.01184,1,1ae9A.B99990033
-6405.65576,-6231.84033,3.70584,100.0,580.08435,0,1ae9A.B99990034
-5922.28027,-3114.46313,3.90604,95.3,788.51501,8,1ae9A.B99990035
-5413.96436,-691.56677,4.11656,95.9,867.95154,7,1ae9A.B99990036
-5551.3623,-4518.94385,4.05966,98.2,736.16718,3,1ae9A.B99990037
-6704.62695,-6282.5625,3.58202,99.4,618.71552,1,1ae9A.B99990038
-5537.68945,-5580.62012,4.06532,99.4,590.67865,1,1ae9A.B99990039
-5389.00098,-5440.84912,4.1269,100.0,592.74811,0,1ae9A.B99990040
-5934.83887,-5988.49512,3.90084,100.0,603.43164,0,1ae9A.B99990041
-5934.5918,-5578.01904,3.90094,100.0,587.23779,0,1ae9A.B99990042
-5916.99561,-6126.33936,3.90823,99.4,648.95746,1,1ae9A.B99990043
-6783.75146,-5791.00049,3.54925,100.0,639.18005,0,1ae9A.B99990044
-6446.34668,-6297.94678,3.68899,100.0,578.34369,0,1ae9A.B99990045
-5555.01416,-5517.11719,4.05815,100.0,569.41443,0,1ae9A.B99990046
-5673.7959,-5380.06787,4.00895,100.0,659.96533,0,1ae9A.B99990047
-7418.33008,-3400.89917,3.28643,95.3,793.75629,8,1ae9A.B99990048
-5317.29785,-1123.36633,4.1566,97.6,899.85413,4,1ae9A.B99990049
-6397.52539,-4977.95654,3.70921,100.0,624.79626,0,1ae9A.B99990050
