DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-38205.55078,-34396.58203,-1.45887,99.1,1903.98389,3,1a8e_.B99990001
-38329.19922,-34608.07812,-1.48548,99.1,1944.52136,3,1a8e_.B99990002
-38391.29688,-35024.25391,-1.49885,99.1,1930.97693,3,1a8e_.B99990003
-38312.69922,-34800.87109,-1.48193,98.2,2025.28442,6,1a8e_.B99990004
-38597.4375,-35599.34766,-1.54323,99.1,1791.25391,3,1a8e_.B99990005
-38302.35938,-35208.91797,-1.47971,98.8,1869.13635,4,1a8e_.B99990006
-38646.54688,-35428.68359,-1.5538,99.1,1844.55017,3,1a8e_.B99990007
-38624.625,-35541.57812,-1.54908,98.8,1952.23425,4,1a8e_.B99990008
-38380.43359,-35204.54297,-1.49651,98.2,1992.70581,6,1a8e_.B99990009
-38375.01562,-35000.08984,-1.49535,98.5,1897.99512,5,1a8e_.B99990010
-38610.31641,-35518.41016,-1.546,99.1,1776.31763,3,1a8e_.B99990011
-38447.84375,-35049.19531,-1.51102,98.2,2004.36279,6,1a8e_.B99990012
-38524.12109,-35286.25,-1.52744,98.8,1914.68933,4,1a8e_.B99990013
-38392.69141,-35283.24219,-1.49915,98.8,1879.3938,4,1a8e_.B99990014
-38360.67969,-34959.22266,-1.49226,98.2,1965.672,6,1a8e_.B99990015
-38310.80469,-34901.5,-1.48152,98.8,1963.48877,4,1a8e_.B99990016
-38408.54688,-35168.03125,-1.50256,98.8,1869.59302,4,1a8e_.B99990017
-38348.84375,-34839.51172,-1.48971,98.5,1822.87024,5,1a8e_.B99990018
-38182.55469,-34816.49609,-1.45392,98.2,1989.50549,6,1a8e_.B99990019
-38644.61719,-35671.01953,-1.55338,98.8,1887.4043,4,1a8e_.B99990020
-38366.58203,-34789.80859,-1.49353,98.8,1840.09094,4,1a8e_.B99990021
-38113.11719,-34562.20703,-1.43897,98.8,1924.19043,4,1a8e_.B99990022
-38343.23047,-34776.83594,-1.4885,99.1,1885.8302,3,1a8e_.B99990023
-38215.88672,-34473.16797,-1.46109,98.8,1880.57214,4,1a8e_.B99990024
-38520.14062,-35365.06641,-1.52659,99.1,1762.70496,3,1a8e_.B99990025
-38567.125,-35419.45312,-1.5367,98.5,1910.82275,5,1a8e_.B99990026
-38410.89062,-34902.92969,-1.50307,98.8,1939.18542,4,1a8e_.B99990027
-38458.97266,-35189.07422,-1.51342,98.5,1921.00488,5,1a8e_.B99990028
-38560.40234,-35068.01953,-1.53525,98.8,1860.05164,4,1a8e_.B99990029
-38455.18359,-35018.45312,-1.5126,99.1,1894.18042,3,1a8e_.B99990030
-38543.91016,-35062.23438,-1.5317,99.1,1794.13794,3,1a8e_.B99990031
-38535.89062,-35479.16797,-1.52998,99.1,1801.85474,3,1a8e_.B99990032
-38433.98047,-34971.73047,-1.50804,98.2,2045.24475,6,1a8e_.B99990033
-38459.73438,-35109.58203,-1.51358,98.2,1931.64404,6,1a8e_.B99990034
-38526.52734,-35203.41016,-1.52796,98.8,1842.88428,4,1a8e_.B99990035
-38561.95312,-35403.83203,-1.53559,99.1,1874.80237,3,1a8e_.B99990036
-38456.83203,-35134.48828,-1.51296,98.8,1836.84387,4,1a8e_.B99990037
-38308.22266,-34704.66406,-1.48097,98.8,1905.37024,4,1a8e_.B99990038
-38430.74609,-35129.51172,-1.50734,99.1,1785.44714,3,1a8e_.B99990039
-38454.29688,-35172.3125,-1.51241,99.1,1799.59229,3,1a8e_.B99990040
-38281.03125,-35190.88672,-1.47512,99.1,1973.17529,3,1a8e_.B99990041
-38256.10156,-34871.01953,-1.46975,98.8,1871.13525,4,1a8e_.B99990042
-38337.59766,-34754.20312,-1.48729,99.1,1846.05884,3,1a8e_.B99990043
-38518.82031,-35421.34766,-1.5263,99.1,1849.60815,3,1a8e_.B99990044
-38349.27734,-34943.70703,-1.48981,98.8,1986.76111,4,1a8e_.B99990045
-38263.85156,-34926.99219,-1.47142,98.8,1855.71277,4,1a8e_.B99990046
-38409.95703,-35318.16016,-1.50287,98.8,1906.41479,4,1a8e_.B99990047
-38594.97656,-35397.52734,-1.5427,98.8,1837.65894,4,1a8e_.B99990048
-38360.90625,-34686.73047,-1.49231,98.5,2032.31885,5,1a8e_.B99990049
-38434.39062,-35175.79688,-1.50813,98.8,1917.29578,4,1a8e_.B99990050
