DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-23599.50391,-21158.30273,0.22102,99.3,1264.36255,2,19hcA.B99990001
-23750.15234,-21467.22266,0.18448,99.3,1301.56958,2,19hcA.B99990002
-23397.37109,-20622.58203,0.27004,99.3,1349.13245,2,19hcA.B99990003
-23458.19531,-20968.33594,0.25529,99.3,1300.57483,2,19hcA.B99990004
-23613.0293,-20805.08984,0.21774,99.0,1351.73376,3,19hcA.B99990005
-23503.75781,-20853.01953,0.24424,99.0,1397.86035,3,19hcA.B99990006
-23535.08789,-20916.14453,0.23664,99.3,1274.18591,2,19hcA.B99990007
-23402.24023,-20872.08398,0.26886,99.3,1302.00671,2,19hcA.B99990008
-23570.38281,-20918.12695,0.22808,99.0,1438.20239,3,19hcA.B99990009
-23267.07422,-20384.50977,0.30164,99.3,1421.89392,2,19hcA.B99990010
-23689.37891,-21471.38477,0.19922,99.3,1219.16309,2,19hcA.B99990011
-23439.33008,-20561.35938,0.25986,99.3,1308.81152,2,19hcA.B99990012
-23708.73242,-21395.69336,0.19452,99.3,1252.63696,2,19hcA.B99990013
-23341.15039,-20753.60156,0.28368,99.3,1320.07849,2,19hcA.B99990014
-23544.28906,-20924.97461,0.23441,99.3,1221.51147,2,19hcA.B99990015
-23419.66406,-20832.7207,0.26463,99.0,1366.41992,3,19hcA.B99990016
-23645.17578,-21254.42773,0.20994,99.3,1285.32983,2,19hcA.B99990017
-23571.98828,-21222.87891,0.22769,99.3,1382.5177,2,19hcA.B99990018
-23629.89453,-21285.91992,0.21364,99.3,1274.18457,2,19hcA.B99990019
-23358.00781,-20516.70898,0.27959,99.3,1415.34766,2,19hcA.B99990020
-23385.82227,-20608.71484,0.27284,99.3,1313.15186,2,19hcA.B99990021
-23595.85938,-20916.32812,0.2219,99.3,1320.0022,2,19hcA.B99990022
-23431.85938,-20386.77734,0.26168,99.0,1460.5,3,19hcA.B99990023
-23480.44922,-20820.46875,0.24989,99.3,1284.46191,2,19hcA.B99990024
-23461.2168,-20778.61133,0.25456,99.3,1303.49512,2,19hcA.B99990025
-23540.49219,-20852.51562,0.23533,99.0,1470.51453,3,19hcA.B99990026
-23520.66797,-21244.19727,0.24014,99.0,1389.46863,3,19hcA.B99990027
-23601.07422,-20853.72852,0.22063,99.0,1333.98035,3,19hcA.B99990028
-23447.04688,-20589.45312,0.25799,99.3,1293.72339,2,19hcA.B99990029
-23422.86523,-20719.33984,0.26386,99.0,1384.70923,3,19hcA.B99990030
-23659.08398,-21175.23828,0.20657,99.3,1307.08826,2,19hcA.B99990031
-23438.74609,-20811.02539,0.26001,99.3,1276.96362,2,19hcA.B99990032
-23337.96289,-20677.00391,0.28445,99.3,1315.87195,2,19hcA.B99990033
-23549.55664,-20951.68164,0.23313,99.0,1390.04553,3,19hcA.B99990034
-23498.51953,-20886.375,0.24551,99.3,1342.30737,2,19hcA.B99990035
-23376.94922,-20743.50977,0.27499,98.6,1376.73206,4,19hcA.B99990036
-23720.39453,-21349.2168,0.19169,99.3,1250.08215,2,19hcA.B99990037
-23580.52148,-20957.31836,0.22562,99.3,1373.18225,2,19hcA.B99990038
-23433.08984,-21133.77539,0.26138,99.3,1251.43848,2,19hcA.B99990039
-23587.87109,-21025.16406,0.22384,99.3,1262.77393,2,19hcA.B99990040
-23457.28516,-21008.36133,0.25551,99.3,1312.84521,2,19hcA.B99990041
-23519.28711,-20890.2168,0.24047,99.3,1325.07715,2,19hcA.B99990042
-23499.68945,-20907.35938,0.24522,99.3,1276.09155,2,19hcA.B99990043
-23502.16602,-20904.74609,0.24462,99.3,1246.05969,2,19hcA.B99990044
-23528.66211,-20848.5957,0.2382,99.3,1292.81836,2,19hcA.B99990045
-23675.07227,-21382.76953,0.20269,99.3,1261.77722,2,19hcA.B99990046
-23705.19922,-21343.68945,0.19538,99.3,1249.6051,2,19hcA.B99990047
-23430.86719,-20828.54883,0.26192,99.3,1262.43896,2,19hcA.B99990048
-23424.00195,-20960.82812,0.26358,99.3,1301.32544,2,19hcA.B99990049
-23720.29492,-21167.49414,0.19172,99.0,1366.76331,3,19hcA.B99990050
