DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-70864.11719,-54695.28125,0.17382,98.7,5118.04102,10,1aco_.B99990001
-70338.17188,-54767.67578,0.22329,98.7,5229.76465,10,1aco_.B99990002
-70863.03906,-55072.80859,0.17392,98.0,5084.9209,15,1aco_.B99990003
-70434.96094,-54787.91406,0.21418,97.9,4973.72314,16,1aco_.B99990004
-71018.76562,-55805.79688,0.15928,98.4,5246.60303,12,1aco_.B99990005
-70562.51562,-55510.59766,0.20219,97.5,5318.9585,19,1aco_.B99990006
-70157.17969,-54310.80469,0.24031,98.0,5093.08838,15,1aco_.B99990007
-70492.07812,-54804.48828,0.20881,98.0,5225.31348,15,1aco_.B99990008
-70528.39062,-54962.74219,0.2054,99.2,4986.96777,6,1aco_.B99990009
-69851.05469,-52939.26172,0.2691,97.9,5098.47705,16,1aco_.B99990010
-70690.61719,-55387.96484,0.19014,98.1,4908.86719,14,1aco_.B99990011
-70745.91406,-55148.86328,0.18494,98.3,4985.08203,13,1aco_.B99990012
-70063.13281,-54508.19141,0.24916,98.4,4754.50879,12,1aco_.B99990013
-69476.44531,-52855.57422,0.30434,98.3,4890.31201,13,1aco_.B99990014
-70697.66406,-55103.85938,0.18948,98.3,4973.37207,13,1aco_.B99990015
-70708.42969,-55132.25,0.18846,98.3,5090.74609,13,1aco_.B99990016
-70669.59375,-54653.98438,0.19212,97.9,5120.68262,16,1aco_.B99990017
-70037.97656,-53862.90625,0.25152,97.5,5078.64844,19,1aco_.B99990018
-70935.71094,-56750.83984,0.16709,97.6,4942.40381,18,1aco_.B99990019
-70382.98438,-54265.83594,0.21907,98.1,4761.94336,14,1aco_.B99990020
-70091.0,-53377.96094,0.24654,97.7,4924.54199,17,1aco_.B99990021
-70769.55469,-55146.72266,0.18272,98.1,5020.91797,14,1aco_.B99990022
-70420.53906,-55360.61719,0.21554,98.4,5140.7251,12,1aco_.B99990023
-69994.94531,-53781.41406,0.25557,98.1,4971.49561,14,1aco_.B99990024
-70755.47656,-54600.74219,0.18404,98.4,4903.02002,12,1aco_.B99990025
-69486.36719,-52438.95703,0.3034,97.9,4827.28955,16,1aco_.B99990026
-70847.09375,-55468.12891,0.17542,98.5,5136.56787,11,1aco_.B99990027
-70265.39844,-54556.46875,0.23013,97.7,4921.62012,17,1aco_.B99990028
-70381.75,-54559.08984,0.21919,98.4,4812.10547,12,1aco_.B99990029
-70465.96094,-55067.15625,0.21127,98.1,5070.99316,14,1aco_.B99990030
-71083.26562,-55637.12891,0.15321,98.0,4994.34766,15,1aco_.B99990031
-70267.99219,-54268.30859,0.22989,98.4,4910.24219,12,1aco_.B99990032
-70209.22656,-53771.81641,0.23542,98.8,4833.35596,9,1aco_.B99990033
-70073.3125,-53793.37891,0.2482,97.9,5120.375,16,1aco_.B99990034
-70411.75781,-54424.00391,0.21637,98.8,4792.2959,9,1aco_.B99990035
-70619.59375,-55108.92969,0.19682,98.4,4959.71045,12,1aco_.B99990036
-70620.375,-55585.89453,0.19675,97.7,4940.22998,17,1aco_.B99990037
-70750.96094,-55478.89453,0.18446,98.7,4892.36816,10,1aco_.B99990038
-70204.41406,-54580.33984,0.23587,97.6,4835.82764,18,1aco_.B99990039
-70528.57031,-54598.14844,0.20538,98.8,4988.10693,9,1aco_.B99990040
-70485.17969,-54494.29688,0.20946,97.5,4898.18652,19,1aco_.B99990041
-70740.27344,-55604.35547,0.18547,97.7,4919.18799,17,1aco_.B99990042
-70379.91406,-54588.5,0.21936,97.7,4985.44238,17,1aco_.B99990043
-69970.78906,-52982.70703,0.25784,97.9,4920.42578,16,1aco_.B99990044
-71190.35156,-55512.97266,0.14314,97.7,5498.04004,17,1aco_.B99990045
-70708.0625,-54548.94531,0.1885,98.5,4920.63135,11,1aco_.B99990046
-70672.09375,-55312.33203,0.19188,98.9,5016.0,8,1aco_.B99990047
-69263.0625,-53026.60547,0.3244,97.9,5210.55127,16,1aco_.B99990048
-70588.28125,-55416.48047,0.19976,98.4,5180.61963,12,1aco_.B99990049
-71466.88281,-56158.55469,0.11713,98.7,4961.34131,10,1aco_.B99990050
