DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-55797.67969,-49539.1875,-1.38491,99.3,2601.33521,3,1a4yA.B99990001
-55758.14062,-49840.33203,-1.37883,99.8,2535.12988,1,1a4yA.B99990002
-55810.28125,-49562.24609,-1.38686,99.6,2640.76416,2,1a4yA.B99990003
-56065.93359,-50149.82812,-1.42622,99.6,2623.06128,2,1a4yA.B99990004
-55892.85156,-50234.85938,-1.39957,99.8,2627.83838,1,1a4yA.B99990005
-55767.83203,-49788.87109,-1.38032,99.6,2630.17285,2,1a4yA.B99990006
-55675.16016,-49686.91016,-1.36605,99.6,2591.896,2,1a4yA.B99990007
-55687.18359,-49925.71875,-1.3679,99.6,2632.91235,2,1a4yA.B99990008
-55525.09375,-49595.14844,-1.34295,99.3,2672.71582,3,1a4yA.B99990009
-55781.59766,-49228.94531,-1.38244,99.3,2658.4375,3,1a4yA.B99990010
-55990.91016,-50033.50391,-1.41466,99.6,2660.48999,2,1a4yA.B99990011
-56049.23047,-50382.72656,-1.42364,99.8,2558.55518,1,1a4yA.B99990012
-55996.83203,-49959.51172,-1.41558,99.8,2636.35278,1,1a4yA.B99990013
-55885.86328,-49947.47266,-1.39849,99.8,2707.89087,1,1a4yA.B99990014
-55737.3125,-49759.16797,-1.37562,99.6,2602.15967,2,1a4yA.B99990015
-55584.58984,-49111.34375,-1.35211,99.6,2638.24341,2,1a4yA.B99990016
-55723.26172,-49618.07812,-1.37346,99.6,2629.98315,2,1a4yA.B99990017
-56013.30078,-49810.58203,-1.41811,99.3,2657.0166,3,1a4yA.B99990018
-55834.01562,-49582.91797,-1.39051,99.6,2562.29785,2,1a4yA.B99990019
-55773.14844,-49766.11328,-1.38114,99.6,2586.18433,2,1a4yA.B99990020
-55684.75781,-49251.86719,-1.36753,100.0,2696.16235,0,1a4yA.B99990021
-55958.30078,-50110.29688,-1.40964,99.8,2507.83765,1,1a4yA.B99990022
-55693.82812,-49655.38281,-1.36893,99.8,2618.72461,1,1a4yA.B99990023
-55869.97656,-50228.99609,-1.39605,99.6,2642.44727,2,1a4yA.B99990024
-55947.80469,-50329.00781,-1.40803,100.0,2649.39258,0,1a4yA.B99990025
-55872.51562,-49766.30859,-1.39644,99.6,2760.6228,2,1a4yA.B99990026
-55889.01562,-49930.19531,-1.39898,99.3,2539.72705,3,1a4yA.B99990027
-55825.19141,-49901.71484,-1.38915,99.8,2601.10913,1,1a4yA.B99990028
-55877.76172,-50133.66797,-1.39724,100.0,2665.75415,0,1a4yA.B99990029
-55928.85156,-49804.04688,-1.40511,99.6,2679.30029,2,1a4yA.B99990030
-55579.00781,-49151.05469,-1.35125,99.6,2602.69727,2,1a4yA.B99990031
-55784.66016,-49775.08594,-1.38291,99.6,2697.85498,2,1a4yA.B99990032
-56057.51172,-50122.22656,-1.42492,99.8,2651.91724,1,1a4yA.B99990033
-55480.38281,-48969.16406,-1.33606,99.8,2633.56445,1,1a4yA.B99990034
-55857.5625,-49811.48828,-1.39413,99.8,2681.62817,1,1a4yA.B99990035
-55587.74219,-49330.90234,-1.35259,99.1,2767.66699,4,1a4yA.B99990036
-55589.21875,-49052.81641,-1.35282,99.6,2683.36865,2,1a4yA.B99990037
-55774.97656,-49797.19141,-1.38142,99.3,2738.28809,3,1a4yA.B99990038
-55771.23438,-49936.40234,-1.38084,99.6,2617.63745,2,1a4yA.B99990039
-55785.47656,-49933.48047,-1.38304,99.6,2613.69775,2,1a4yA.B99990040
-55850.28125,-49605.25,-1.39301,99.6,2732.73584,2,1a4yA.B99990041
-56178.80078,-50310.55078,-1.44359,99.8,2795.9917,1,1a4yA.B99990042
-55804.19922,-49894.42188,-1.38592,99.6,2731.77197,2,1a4yA.B99990043
-55142.81641,-48722.375,-1.28409,99.6,2693.8335,2,1a4yA.B99990044
-55883.63672,-49849.87891,-1.39815,99.3,2644.62158,3,1a4yA.B99990045
-55792.5,-49743.82031,-1.38412,99.8,2619.02246,1,1a4yA.B99990046
-55849.05078,-49867.38281,-1.39282,99.6,2666.65405,2,1a4yA.B99990047
-55942.99609,-49957.60547,-1.40729,99.6,2588.70483,2,1a4yA.B99990048
-56046.28125,-50301.02734,-1.42319,99.3,2646.3938,3,1a4yA.B99990049
-55575.47266,-49513.15625,-1.3507,99.6,2756.92432,2,1a4yA.B99990050
