DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-10989.11816,-10459.22754,-1.75499,98.1,631.99982,2,1ac6A.B99990001
-11006.67773,-10213.99023,-1.7663,99.1,628.95062,1,1ac6A.B99990002
-11060.67676,-10399.02734,-1.80106,99.1,598.39307,1,1ac6A.B99990003
-11122.83984,-10614.80762,-1.84109,98.1,626.17932,2,1ac6A.B99990004
-10840.65918,-9875.49121,-1.65941,100.0,921.50378,0,1ac6A.B99990005
-10921.54785,-10006.69629,-1.71149,99.1,693.13641,1,1ac6A.B99990006
-10993.30957,-10360.40137,-1.75769,99.1,667.61328,1,1ac6A.B99990007
-11059.65137,-10477.79199,-1.8004,99.1,623.96375,1,1ac6A.B99990008
-11064.2002,-10340.80859,-1.80333,99.1,656.63464,1,1ac6A.B99990009
-11111.69238,-10327.80371,-1.83391,100.0,727.3429,0,1ac6A.B99990010
-11081.41602,-10401.05469,-1.81442,99.1,663.9635,1,1ac6A.B99990011
-11034.66699,-10201.91016,-1.78432,99.1,609.87341,1,1ac6A.B99990012
-11152.98828,-10702.35938,-1.8605,99.1,629.73242,1,1ac6A.B99990013
-11039.87012,-10408.24316,-1.78767,98.1,622.39978,2,1ac6A.B99990014
-11082.09473,-10477.30957,-1.81485,99.1,625.81805,1,1ac6A.B99990015
-11014.27734,-10466.10645,-1.77119,98.1,629.48816,2,1ac6A.B99990016
-11017.3291,-10297.18555,-1.77315,99.1,660.86694,1,1ac6A.B99990017
-10891.12793,-9932.36523,-1.6919,98.1,700.2608,2,1ac6A.B99990018
-11142.06055,-10437.28418,-1.85346,99.1,714.0943,1,1ac6A.B99990019
-11053.64551,-10399.68164,-1.79654,99.1,666.28094,1,1ac6A.B99990020
-11005.9043,-10238.79199,-1.7658,99.1,717.9837,1,1ac6A.B99990021
-11009.0459,-10301.375,-1.76782,98.1,606.01917,2,1ac6A.B99990022
-10927.0752,-10138.45898,-1.71505,98.1,671.74469,2,1ac6A.B99990023
-11107.59961,-10565.91992,-1.83127,100.0,643.48425,0,1ac6A.B99990024
-10981.52051,-10271.67676,-1.7501,99.1,628.56366,1,1ac6A.B99990025
-10957.90137,-10236.58301,-1.73489,100.0,605.13831,0,1ac6A.B99990026
-11102.70117,-10382.76562,-1.82812,98.1,608.52155,2,1ac6A.B99990027
-11008.62402,-10244.17871,-1.76755,99.1,653.12817,1,1ac6A.B99990028
-11012.70801,-10261.79102,-1.77018,99.1,651.72125,1,1ac6A.B99990029
-11067.50977,-10387.53906,-1.80546,100.0,630.48364,0,1ac6A.B99990030
-11085.88184,-10345.21289,-1.81729,99.1,634.89679,1,1ac6A.B99990031
-10999.03418,-10276.8457,-1.76138,100.0,681.74689,0,1ac6A.B99990032
-11011.4248,-10239.21387,-1.76935,99.1,681.40375,1,1ac6A.B99990033
-11002.42871,-10206.16992,-1.76356,98.1,643.94733,2,1ac6A.B99990034
-11057.2041,-10438.75098,-1.79883,98.1,609.99866,2,1ac6A.B99990035
-11059.50391,-10149.89258,-1.80031,99.1,689.00537,1,1ac6A.B99990036
-10884.05859,-10013.24902,-1.68735,99.1,738.16077,1,1ac6A.B99990037
-11011.78613,-10327.34277,-1.76959,99.1,635.91071,1,1ac6A.B99990038
-10939.31738,-9884.85254,-1.72293,99.1,639.38232,1,1ac6A.B99990039
-11036.54297,-10206.00488,-1.78552,98.1,626.1098,2,1ac6A.B99990040
-11075.79492,-10444.41699,-1.8108,100.0,601.11932,0,1ac6A.B99990041
-11120.4541,-10504.33496,-1.83955,98.1,608.61969,2,1ac6A.B99990042
-10977.83398,-10036.57324,-1.74773,99.1,699.3501,1,1ac6A.B99990043
-11034.51855,-10295.89062,-1.78422,98.1,602.99902,2,1ac6A.B99990044
-10954.21875,-10038.26172,-1.73252,99.1,685.85138,1,1ac6A.B99990045
-11084.75977,-10331.12109,-1.81657,99.1,745.86523,1,1ac6A.B99990046
-11066.59766,-10406.79785,-1.80487,98.1,623.14716,2,1ac6A.B99990047
-11107.02148,-10365.86523,-1.8309,99.1,693.58514,1,1ac6A.B99990048
-10960.51953,-10175.06934,-1.73658,100.0,619.84412,0,1ac6A.B99990049
-11018.62695,-10072.28809,-1.77399,99.1,650.08331,1,1ac6A.B99990050
