DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-16085.22266,-14973.94727,-1.21663,98.6,632.14709,2,1al01.B99990001
-15976.50195,-15244.3877,-1.16278,98.6,651.90662,2,1al01.B99990002
-16043.63965,-15270.10938,-1.19603,98.6,618.3006,2,1al01.B99990003
-15930.25879,-14844.46094,-1.13988,98.6,664.56805,2,1al01.B99990004
-16087.07422,-15172.91699,-1.21754,98.6,676.29486,2,1al01.B99990005
-15920.95215,-14914.08594,-1.13527,98.6,603.73468,2,1al01.B99990006
-16119.54395,-15247.08496,-1.23362,97.9,690.04297,3,1al01.B99990007
-16109.53125,-15150.77441,-1.22866,98.6,598.33203,2,1al01.B99990008
-16069.16992,-15144.23633,-1.20868,98.6,617.61871,2,1al01.B99990009
-16061.57422,-15216.59863,-1.20491,97.9,646.4353,3,1al01.B99990010
-16038.8916,-15085.05762,-1.19368,98.6,608.36694,2,1al01.B99990011
-16153.50586,-15279.80273,-1.25044,97.9,643.69751,3,1al01.B99990012
-16064.94434,-15180.85645,-1.20658,98.6,655.93811,2,1al01.B99990013
-15992.19922,-15156.83594,-1.17056,98.6,633.37238,2,1al01.B99990014
-15952.30273,-14898.02246,-1.1508,97.9,729.12744,3,1al01.B99990015
-16138.40918,-15250.84863,-1.24297,98.6,654.53168,2,1al01.B99990016
-16067.74707,-15273.94727,-1.20797,98.6,621.18018,2,1al01.B99990017
-15997.25391,-14811.83594,-1.17306,97.2,759.9245,4,1al01.B99990018
-15994.16211,-14983.30566,-1.17153,97.9,772.93549,3,1al01.B99990019
-15923.36914,-15028.52832,-1.13647,98.6,659.36261,2,1al01.B99990020
-16012.64941,-15195.47168,-1.18068,98.6,665.84821,2,1al01.B99990021
-16147.55762,-15336.3418,-1.2475,98.6,617.78058,2,1al01.B99990022
-16198.60742,-15487.04199,-1.27278,98.6,638.46313,2,1al01.B99990023
-15996.32422,-15206.09473,-1.1726,98.6,596.20898,2,1al01.B99990024
-16273.3291,-15527.28809,-1.30979,97.9,661.78125,3,1al01.B99990025
-16097.57422,-15255.40918,-1.22274,98.6,626.29358,2,1al01.B99990026
-16167.82324,-15421.51758,-1.25753,98.6,662.7384,2,1al01.B99990027
-16161.86133,-15147.58887,-1.25458,98.6,660.6391,2,1al01.B99990028
-16021.69141,-15018.58691,-1.18516,97.9,697.72675,3,1al01.B99990029
-16163.48438,-15590.70801,-1.25539,97.9,690.59601,3,1al01.B99990030
-15930.83496,-14857.58887,-1.14016,97.2,648.66864,4,1al01.B99990031
-16105.15332,-15389.26758,-1.2265,98.6,630.14362,2,1al01.B99990032
-16021.34375,-14996.30957,-1.18499,98.6,734.57013,2,1al01.B99990033
-15930.12695,-14807.7041,-1.13981,98.6,602.73145,2,1al01.B99990034
-16011.30664,-15170.92188,-1.18002,97.9,690.95233,3,1al01.B99990035
-16035.3125,-15221.0918,-1.19191,98.6,652.17584,2,1al01.B99990036
-16128.42188,-15110.82715,-1.23802,98.6,609.85913,2,1al01.B99990037
-16119.51172,-15157.24219,-1.23361,98.6,649.0202,2,1al01.B99990038
-16121.38379,-15472.77148,-1.23453,98.6,690.38983,2,1al01.B99990039
-16070.13672,-15033.09766,-1.20915,98.6,668.70697,2,1al01.B99990040
-16039.35938,-15275.20898,-1.19391,97.9,646.51514,3,1al01.B99990041
-16155.66309,-15533.25977,-1.25151,98.6,593.04529,2,1al01.B99990042
-16248.08203,-15414.24023,-1.29728,98.6,621.90387,2,1al01.B99990043
-16120.87793,-15168.01562,-1.23428,97.9,646.23877,3,1al01.B99990044
-15911.44629,-14881.85449,-1.13056,97.9,696.67633,3,1al01.B99990045
-16123.42188,-15150.7959,-1.23554,97.9,685.94922,3,1al01.B99990046
-16159.59082,-15313.2041,-1.25346,97.9,622.57733,3,1al01.B99990047
-16034.19727,-15368.47266,-1.19136,98.6,623.00677,2,1al01.B99990048
-16091.81738,-15175.75,-1.21989,97.9,671.39612,3,1al01.B99990049
-16072.60938,-14904.32324,-1.21038,98.6,556.98883,2,1al01.B99990050
