DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-959.95209,1117.5127,3.38411,93.6,458.91217,3,1akhA.B99990001
-1569.60327,-1495.23584,2.50296,100.0,187.5946,0,1akhA.B99990002
-1443.36719,-1302.39746,2.68541,100.0,180.04391,0,1akhA.B99990003
-1480.66125,-952.30499,2.63151,100.0,196.51247,0,1akhA.B99990004
-1523.67932,-1504.23242,2.56933,100.0,167.51381,0,1akhA.B99990005
-1484.22046,-1376.59644,2.62636,100.0,212.68933,0,1akhA.B99990006
-1353.46472,-1276.98682,2.81535,100.0,175.92677,0,1akhA.B99990007
-1380.28162,-1083.95691,2.77659,100.0,190.08885,0,1akhA.B99990008
-1536.43115,-1313.73645,2.5509,100.0,214.80585,0,1akhA.B99990009
-1565.66199,-387.44498,2.50865,95.7,210.06171,2,1akhA.B99990010
-1506.88916,-1043.44043,2.5936,100.0,173.14317,0,1akhA.B99990011
-1631.45728,-1180.27234,2.41356,100.0,180.87631,0,1akhA.B99990012
-1558.245,-1096.94714,2.51937,97.9,200.50391,1,1akhA.B99990013
-1285.7655,-114.56653,2.9132,97.9,217.85165,1,1akhA.B99990014
-1578.46484,-1468.27917,2.49015,100.0,179.11728,0,1akhA.B99990015
-1569.5592,-1492.58032,2.50302,100.0,194.14371,0,1akhA.B99990016
-1353.59253,-1152.96375,2.81516,100.0,192.03078,0,1akhA.B99990017
-1835.18652,-1573.43213,2.1191,100.0,204.6071,0,1akhA.B99990018
-1578.3894,-1498.98682,2.49026,100.0,203.15186,0,1akhA.B99990019
-1442.97559,-1049.6012,2.68598,100.0,202.8177,0,1akhA.B99990020
-1497.80249,-1309.35291,2.60673,100.0,193.99339,0,1akhA.B99990021
-1755.15906,-451.94153,2.23477,100.0,219.11305,0,1akhA.B99990022
-1525.65723,-1431.32996,2.56647,100.0,185.99274,0,1akhA.B99990023
-1656.88989,-1288.2948,2.3768,97.9,205.74808,1,1akhA.B99990024
-1576.63,-1318.58215,2.4928,100.0,186.61079,0,1akhA.B99990025
-1469.15735,-1205.84888,2.64813,100.0,193.47694,0,1akhA.B99990026
-1712.59949,-1294.95166,2.29628,100.0,181.71295,0,1akhA.B99990027
-1345.04248,-578.14111,2.82752,100.0,230.43262,0,1akhA.B99990028
-1400.45203,-511.60913,2.74744,93.6,232.06216,3,1akhA.B99990029
-1470.22632,-1438.04773,2.64659,100.0,197.13435,0,1akhA.B99990030
-1586.36011,-1447.38733,2.47874,100.0,172.72469,0,1akhA.B99990031
-1606.46216,-1510.80261,2.44968,100.0,183.56093,0,1akhA.B99990032
-1621.73865,-1380.39966,2.4276,100.0,191.59187,0,1akhA.B99990033
-1657.09399,-1500.87598,2.3765,100.0,184.48692,0,1akhA.B99990034
-1686.73401,-1356.349,2.33366,100.0,191.48422,0,1akhA.B99990035
-1539.29651,-563.33533,2.54676,97.9,245.26674,1,1akhA.B99990036
-1442.4032,133.20532,2.6868,95.7,231.63573,2,1akhA.B99990037
-1602.77014,-1376.98401,2.45502,100.0,186.40154,0,1akhA.B99990038
-1182.81714,1119.47961,3.06199,95.7,279.7012,2,1akhA.B99990039
-1506.32031,-1322.86938,2.59442,100.0,182.6077,0,1akhA.B99990040
-1226.12024,3.35683,2.9994,91.5,207.25955,4,1akhA.B99990041
-1486.0144,-1255.26294,2.62377,100.0,187.40643,0,1akhA.B99990042
-1574.42529,-1160.17017,2.49599,100.0,225.37352,0,1akhA.B99990043
-1399.92712,-1005.01019,2.7482,100.0,196.78191,0,1akhA.B99990044
-1129.33081,1367.64197,3.1393,95.7,424.76242,2,1akhA.B99990045
-1614.91492,-1523.16687,2.43747,100.0,174.47621,0,1akhA.B99990046
-1358.776,-1148.19495,2.80767,100.0,182.14868,0,1akhA.B99990047
-1552.66406,-1248.29651,2.52744,100.0,180.98758,0,1akhA.B99990048
-1389.70886,-1274.60376,2.76296,100.0,181.70702,0,1akhA.B99990049
-1797.31201,-1593.81592,2.17384,100.0,167.02951,0,1akhA.B99990050
