DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-18663.74609,-15699.80957,-0.41981,97.4,1417.37244,5,1aoeA.B99990001
-18726.0918,-16294.08789,-0.4428,98.4,1245.20557,3,1aoeA.B99990002
-18982.79102,-16803.30664,-0.53749,97.4,1277.12,5,1aoeA.B99990003
-18547.23242,-15943.86328,-0.37683,96.8,1311.98047,6,1aoeA.B99990004
-18863.53125,-16525.20703,-0.4935,96.8,1209.66797,6,1aoeA.B99990005
-18820.50195,-16452.70117,-0.47763,96.8,1343.63416,6,1aoeA.B99990006
-18495.7168,-15738.96289,-0.35783,98.9,1321.49561,2,1aoeA.B99990007
-18544.05469,-16173.45312,-0.37566,98.9,1249.16614,2,1aoeA.B99990008
-18937.98438,-16589.49023,-0.52096,97.9,1254.81726,4,1aoeA.B99990009
-18470.19727,-16193.28125,-0.34841,97.4,1376.77344,5,1aoeA.B99990010
-18530.36719,-15888.24023,-0.37061,98.4,1303.28674,3,1aoeA.B99990011
-18555.39258,-16082.37598,-0.37984,97.9,1440.99683,4,1aoeA.B99990012
-18687.53516,-16246.49805,-0.42858,97.9,1338.63489,4,1aoeA.B99990013
-18850.70898,-16087.2832,-0.48877,98.4,1268.15564,3,1aoeA.B99990014
-19060.10352,-16726.12695,-0.56601,95.8,1392.52161,8,1aoeA.B99990015
-18342.21289,-15650.27637,-0.3012,96.8,1357.29553,6,1aoeA.B99990016
-18653.82227,-16209.17383,-0.41615,98.4,1307.93933,3,1aoeA.B99990017
-18711.61328,-16213.66016,-0.43746,97.9,1319.68347,4,1aoeA.B99990018
-18695.96094,-16057.01367,-0.43169,98.4,1287.85071,3,1aoeA.B99990019
-18870.36914,-16136.76758,-0.49602,97.4,1304.19714,5,1aoeA.B99990020
-18497.96289,-15801.51465,-0.35866,98.4,1310.7218,3,1aoeA.B99990021
-18807.93555,-16304.33594,-0.47299,98.4,1296.8866,3,1aoeA.B99990022
-18504.70312,-15853.00195,-0.36114,98.4,1428.27014,3,1aoeA.B99990023
-18920.12695,-16126.58105,-0.51438,97.4,1310.81946,5,1aoeA.B99990024
-18595.57031,-16396.90039,-0.39466,98.9,1345.65845,2,1aoeA.B99990025
-18826.01758,-16416.60156,-0.47966,98.4,1240.20691,3,1aoeA.B99990026
-18518.69531,-16208.29395,-0.3663,97.9,1270.30176,4,1aoeA.B99990027
-18363.60547,-15893.47754,-0.3091,98.4,1277.92529,3,1aoeA.B99990028
-18772.2793,-16375.83594,-0.45984,97.9,1247.72339,4,1aoeA.B99990029
-18541.51562,-15963.56934,-0.37472,98.4,1377.64587,3,1aoeA.B99990030
-18443.81641,-15999.62891,-0.33868,98.9,1317.31897,2,1aoeA.B99990031
-18575.52734,-15737.66797,-0.38727,97.9,1317.79919,4,1aoeA.B99990032
-18171.82617,-14936.69141,-0.23836,97.4,1549.00452,5,1aoeA.B99990033
-18715.68164,-15982.71094,-0.43896,97.9,1351.11938,4,1aoeA.B99990034
-18391.27148,-15288.83398,-0.3193,96.3,1443.54126,7,1aoeA.B99990035
-18483.98047,-15994.18848,-0.3535,97.4,1369.55798,5,1aoeA.B99990036
-18695.05664,-15851.0293,-0.43136,98.4,1329.04297,3,1aoeA.B99990037
-18494.39844,-15657.24219,-0.35734,96.3,1411.72827,7,1aoeA.B99990038
-18760.05469,-16100.15137,-0.45533,97.4,1273.16504,5,1aoeA.B99990039
-18486.15234,-15643.05371,-0.3543,98.4,1268.07263,3,1aoeA.B99990040
-18837.69141,-16250.96289,-0.48397,97.4,1310.6687,5,1aoeA.B99990041
-18641.11328,-15986.125,-0.41146,98.4,1245.12866,3,1aoeA.B99990042
-18464.10742,-15828.45703,-0.34617,98.9,1307.99512,2,1aoeA.B99990043
-18559.86523,-16142.5293,-0.38149,96.8,1313.76099,6,1aoeA.B99990044
-18505.95703,-16052.27637,-0.3616,98.4,1338.63208,3,1aoeA.B99990045
-18700.23047,-16138.09375,-0.43326,96.8,1441.23572,6,1aoeA.B99990046
-18734.92188,-16484.30469,-0.44606,98.4,1379.59668,3,1aoeA.B99990047
-18783.30078,-16463.11523,-0.46391,95.8,1328.94031,8,1aoeA.B99990048
-18554.73633,-16077.98145,-0.3796,97.4,1488.16003,5,1aoeA.B99990049
-18404.54297,-15850.88574,-0.3242,96.8,1249.50085,6,1aoeA.B99990050
