DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-16714.72852,-16121.85449,-1.0629,100.0,528.15314,0,1auiB.B99990001
-16785.80664,-16122.57324,-1.09341,100.0,608.43909,0,1auiB.B99990002
-17016.46484,-16802.92969,-1.19241,100.0,600.11688,0,1auiB.B99990003
-16807.88477,-16341.37109,-1.10288,99.4,542.28601,1,1auiB.B99990004
-16377.58008,-15186.47852,-0.91819,99.4,715.63293,1,1auiB.B99990005
-16726.47461,-15901.80078,-1.06794,99.4,585.8465,1,1auiB.B99990006
-16743.66602,-16352.14062,-1.07532,99.4,610.99573,1,1auiB.B99990007
-16810.4043,-16157.32715,-1.10396,100.0,523.47064,0,1auiB.B99990008
-16676.00781,-16188.13086,-1.04628,100.0,573.43768,0,1auiB.B99990009
-16923.26953,-16546.04883,-1.15241,100.0,567.98419,0,1auiB.B99990010
-16795.60156,-16335.44141,-1.09761,100.0,596.82257,0,1auiB.B99990011
-16839.82812,-16100.03613,-1.11659,100.0,683.41968,0,1auiB.B99990012
-16668.11133,-16191.49414,-1.04289,100.0,507.07788,0,1auiB.B99990013
-16939.16016,-16273.42188,-1.15923,98.8,596.97028,2,1auiB.B99990014
-16647.26367,-15929.75098,-1.03394,99.4,548.03088,1,1auiB.B99990015
-16674.62305,-16395.80664,-1.04568,99.4,651.84259,1,1auiB.B99990016
-16586.22461,-15908.31641,-1.00774,100.0,532.82849,0,1auiB.B99990017
-16806.07812,-16121.73438,-1.10211,99.4,569.16968,1,1auiB.B99990018
-16611.95117,-15708.37793,-1.01878,99.4,779.30548,1,1auiB.B99990019
-16892.83398,-16600.80273,-1.13934,100.0,484.379,0,1auiB.B99990020
-16238.0791,-15221.68945,-0.85831,100.0,811.4173,0,1auiB.B99990021
-16818.41797,-16223.36426,-1.1074,100.0,526.5578,0,1auiB.B99990022
-16721.04102,-16195.41211,-1.06561,100.0,611.22919,0,1auiB.B99990023
-16783.16797,-16335.34473,-1.09227,100.0,557.79095,0,1auiB.B99990024
-16753.32031,-16258.70898,-1.07946,100.0,506.00177,0,1auiB.B99990025
-16727.05273,-16300.76562,-1.06819,100.0,625.38177,0,1auiB.B99990026
-16812.46289,-16211.50977,-1.10485,99.4,541.06866,1,1auiB.B99990027
-16650.33008,-15837.05469,-1.03526,99.4,655.12427,1,1auiB.B99990028
-16828.74805,-16417.6543,-1.11184,99.4,658.84851,1,1auiB.B99990029
-16691.49023,-15729.34766,-1.05292,100.0,521.75922,0,1auiB.B99990030
-16820.53125,-16094.68848,-1.10831,100.0,712.60504,0,1auiB.B99990031
-16792.26367,-16215.43945,-1.09618,100.0,543.69977,0,1auiB.B99990032
-16806.57812,-16378.39941,-1.10232,100.0,538.2005,0,1auiB.B99990033
-16794.57812,-15984.3877,-1.09717,100.0,620.53302,0,1auiB.B99990034
-16877.53906,-16662.66797,-1.13278,100.0,535.09406,0,1auiB.B99990035
-16800.41406,-16273.99414,-1.09968,100.0,538.04016,0,1auiB.B99990036
-16816.38867,-16081.21875,-1.10653,100.0,513.12695,0,1auiB.B99990037
-16718.18945,-15786.03613,-1.06438,99.4,552.68298,1,1auiB.B99990038
-16424.82617,-15546.06641,-0.93847,100.0,592.07336,0,1auiB.B99990039
-16789.56055,-16598.14062,-1.09502,100.0,532.1463,0,1auiB.B99990040
-16866.14844,-16375.86719,-1.12789,100.0,523.90527,0,1auiB.B99990041
-17034.69141,-16732.02148,-1.20023,100.0,548.9906,0,1auiB.B99990042
-16844.25781,-16386.44336,-1.11849,100.0,569.5921,0,1auiB.B99990043
-16754.51562,-16288.91406,-1.07998,100.0,544.41412,0,1auiB.B99990044
-16557.65039,-15892.4541,-0.99548,100.0,540.81506,0,1auiB.B99990045
-16788.42578,-16163.35547,-1.09453,100.0,546.0863,0,1auiB.B99990046
-16731.13086,-16043.0127,-1.06994,100.0,637.25836,0,1auiB.B99990047
-16748.79102,-16223.33105,-1.07752,100.0,494.11765,0,1auiB.B99990048
-16717.80859,-16172.89453,-1.06422,100.0,540.67834,0,1auiB.B99990049
-16672.64844,-15982.48926,-1.04484,99.4,544.32855,1,1auiB.B99990050
