DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-48944.16797,-42826.07812,-1.35795,98.8,2015.44727,5,1ajsA.B99990001
-48668.36328,-41399.68359,-1.31054,99.3,2093.96411,3,1ajsA.B99990002
-48520.17578,-42137.70312,-1.28506,99.5,2087.01099,2,1ajsA.B99990003
-49251.27734,-42754.41797,-1.41074,99.5,1883.29175,2,1ajsA.B99990004
-48736.33984,-41643.98438,-1.32222,99.3,2048.88965,3,1ajsA.B99990005
-48926.22656,-41857.55078,-1.35486,99.5,2101.14307,2,1ajsA.B99990006
-48988.98047,-42435.14453,-1.36565,99.3,2046.73572,3,1ajsA.B99990007
-48687.07812,-42217.78516,-1.31375,99.5,1840.76721,2,1ajsA.B99990008
-48060.53906,-40813.07812,-1.20605,99.0,2285.58838,4,1ajsA.B99990009
-48637.83984,-41256.03125,-1.30529,99.3,2081.04077,3,1ajsA.B99990010
-47872.67578,-39920.07812,-1.17376,98.5,2099.63599,6,1ajsA.B99990011
-48261.76562,-41043.09375,-1.24064,99.3,1983.67175,3,1ajsA.B99990012
-48711.34766,-42272.70312,-1.31793,99.3,1871.16541,3,1ajsA.B99990013
-48722.05078,-41520.45703,-1.31977,99.5,1996.65759,2,1ajsA.B99990014
-48369.59766,-40779.58984,-1.25918,99.3,2225.47583,3,1ajsA.B99990015
-48428.92578,-40782.01172,-1.26938,99.5,2047.19946,2,1ajsA.B99990016
-48948.15625,-42400.08984,-1.35863,98.8,2037.55896,5,1ajsA.B99990017
-48232.57031,-40510.72266,-1.23563,100.0,2013.68884,0,1ajsA.B99990018
-48336.82422,-41477.53516,-1.25355,99.5,2379.05713,2,1ajsA.B99990019
-48568.37109,-41276.32031,-1.29335,98.8,1942.28943,5,1ajsA.B99990020
-48478.84766,-41807.72266,-1.27796,99.0,1905.85645,4,1ajsA.B99990021
-48779.67188,-42112.10156,-1.32967,99.3,1905.80957,3,1ajsA.B99990022
-48420.51172,-40426.35938,-1.26793,99.5,2275.01904,2,1ajsA.B99990023
-49248.09766,-42632.14062,-1.41019,98.5,1908.48523,6,1ajsA.B99990024
-48261.6875,-40658.24609,-1.24063,99.0,2156.91943,4,1ajsA.B99990025
-48729.49609,-41344.73047,-1.32105,99.3,2123.1604,3,1ajsA.B99990026
-48791.04297,-41888.55469,-1.33163,99.3,2136.55176,3,1ajsA.B99990027
-48814.125,-41936.25781,-1.33559,99.3,1966.50964,3,1ajsA.B99990028
-48455.77734,-40297.39844,-1.27399,99.5,2354.37061,2,1ajsA.B99990029
-49006.26172,-42546.38672,-1.36862,99.3,1975.41711,3,1ajsA.B99990030
-48408.31641,-41645.06641,-1.26584,98.8,2084.61694,5,1ajsA.B99990031
-48722.68359,-41475.38672,-1.31988,99.0,2024.13281,4,1ajsA.B99990032
-49029.44141,-41773.23438,-1.37261,98.5,2061.2146,6,1ajsA.B99990033
-48813.64453,-41968.30469,-1.33551,99.0,1808.43457,4,1ajsA.B99990034
-49018.05859,-42763.82812,-1.37065,99.0,1940.59241,4,1ajsA.B99990035
-48865.28516,-41861.125,-1.34439,98.8,2087.83228,5,1ajsA.B99990036
-48735.92969,-41732.39062,-1.32215,98.8,1986.44641,5,1ajsA.B99990037
-48530.53125,-41499.46094,-1.28684,98.5,1952.37524,6,1ajsA.B99990038
-48539.40625,-40536.17188,-1.28837,99.3,2042.81458,3,1ajsA.B99990039
-48275.37891,-40635.54688,-1.24298,99.0,2421.7981,4,1ajsA.B99990040
-48601.75391,-41385.08203,-1.29909,99.0,2060.83569,4,1ajsA.B99990041
-49080.56641,-43163.96875,-1.38139,99.5,2309.11816,2,1ajsA.B99990042
-49664.98828,-44003.65625,-1.48185,98.5,1873.23438,6,1ajsA.B99990043
-48419.04688,-40851.40234,-1.26768,99.3,1890.80212,3,1ajsA.B99990044
-48997.62891,-42861.24219,-1.36714,98.8,2089.26855,5,1ajsA.B99990045
-48435.58984,-41064.89844,-1.27052,99.5,1980.35852,2,1ajsA.B99990046
-48586.50781,-41668.25,-1.29647,99.3,2051.62964,3,1ajsA.B99990047
-48604.53516,-40967.19922,-1.29957,99.0,2108.72021,4,1ajsA.B99990048
-48892.45703,-41649.43359,-1.34906,99.3,2034.25854,3,1ajsA.B99990049
-49242.21484,-42448.98047,-1.40918,98.8,2123.84204,5,1ajsA.B99990050
