DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-43825.35156,-33041.38281,-0.74261,98.1,2710.58276,8,16pk_.B99990001
-43887.32422,-32578.14648,-0.75319,98.3,2623.59448,7,16pk_.B99990002
-43278.16016,-32199.25977,-0.64923,97.6,2850.85425,10,16pk_.B99990003
-43401.38281,-31421.1875,-0.67026,97.8,3607.25,9,16pk_.B99990004
-43253.74219,-31376.60352,-0.64506,97.3,3084.46899,11,16pk_.B99990005
-43629.35938,-32518.36523,-0.70917,97.8,2723.57544,9,16pk_.B99990006
-43385.58594,-31329.04688,-0.66756,98.1,2931.43506,8,16pk_.B99990007
-44015.96094,-33556.89453,-0.77514,97.8,2776.36694,9,16pk_.B99990008
-43067.82031,-31097.67578,-0.61334,98.3,2800.69336,7,16pk_.B99990009
-43966.18359,-33494.95312,-0.76665,98.8,2727.21533,5,16pk_.B99990010
-43997.04297,-32958.84766,-0.77191,97.3,2724.88257,11,16pk_.B99990011
-44033.63281,-33030.30078,-0.77816,97.3,2661.34766,11,16pk_.B99990012
-43640.53906,-32472.35938,-0.71107,98.1,2633.17847,8,16pk_.B99990013
-43564.75391,-32585.55859,-0.69814,97.6,2708.91968,10,16pk_.B99990014
-43257.00781,-31181.33398,-0.64562,97.8,3229.3374,9,16pk_.B99990015
-43597.72656,-31683.62305,-0.70377,97.8,2863.79932,9,16pk_.B99990016
-43621.91797,-31859.88672,-0.7079,97.1,2750.00269,12,16pk_.B99990017
-43691.91406,-31599.52344,-0.71984,97.8,3079.78931,9,16pk_.B99990018
-44213.04688,-33956.21094,-0.80877,98.3,2537.58081,7,16pk_.B99990019
-43513.40234,-31263.98047,-0.68938,96.6,2994.06445,14,16pk_.B99990020
-43593.11328,-32801.13672,-0.70298,98.3,2690.83423,7,16pk_.B99990021
-43574.16406,-32241.05664,-0.69975,98.3,2804.89087,7,16pk_.B99990022
-43781.71094,-31394.25781,-0.73516,97.3,3043.81738,11,16pk_.B99990023
-43838.31641,-33116.59766,-0.74482,97.8,2684.75537,9,16pk_.B99990024
-43960.83203,-33279.88672,-0.76573,98.1,2606.20972,8,16pk_.B99990025
-43324.51562,-31302.98047,-0.65714,97.8,2800.54712,9,16pk_.B99990026
-43364.72266,-32122.78906,-0.664,97.3,2749.20166,11,16pk_.B99990027
-43043.10938,-31687.81641,-0.60912,98.3,2699.8728,7,16pk_.B99990028
-43533.3125,-32166.75195,-0.69277,97.8,2700.64819,9,16pk_.B99990029
-43739.08203,-32240.50977,-0.72789,97.8,2804.4729,9,16pk_.B99990030
-43621.98828,-32297.61328,-0.70791,97.3,2728.88647,11,16pk_.B99990031
-43599.74219,-30349.22852,-0.70411,97.6,3355.29004,10,16pk_.B99990032
-43024.67578,-30887.6875,-0.60597,98.8,2890.09302,5,16pk_.B99990033
-43408.86719,-31209.41602,-0.67154,97.1,2905.74561,12,16pk_.B99990034
-43573.20703,-32364.99609,-0.69958,97.8,2657.22974,9,16pk_.B99990035
-43216.51172,-31549.5918,-0.63871,98.3,2615.03931,7,16pk_.B99990036
-43635.91406,-31803.03711,-0.71028,98.1,2815.8667,8,16pk_.B99990037
-43967.875,-32843.73828,-0.76693,97.6,2616.78784,10,16pk_.B99990038
-43811.54297,-32594.76367,-0.74026,97.1,2915.55542,12,16pk_.B99990039
-43791.96484,-32137.66406,-0.73691,97.3,2965.521,11,16pk_.B99990040
-43546.01953,-31789.71875,-0.69494,97.8,3069.60767,9,16pk_.B99990041
-43973.64453,-33233.66406,-0.76792,97.6,2968.20068,10,16pk_.B99990042
-43489.46875,-31900.33008,-0.68529,98.1,2743.89673,8,16pk_.B99990043
-43774.26172,-32394.77539,-0.73389,98.1,2750.21948,8,16pk_.B99990044
-43694.83594,-32328.86719,-0.72034,98.3,2536.33105,7,16pk_.B99990045
-43432.10547,-30781.1543,-0.6755,97.1,3043.1582,12,16pk_.B99990046
-43638.00391,-31920.24219,-0.71064,98.5,2859.66113,6,16pk_.B99990047
-43231.8125,-31892.58984,-0.64132,97.8,2672.69409,9,16pk_.B99990048
-43461.96094,-31995.7832,-0.6806,98.1,2767.94238,8,16pk_.B99990049
-43377.625,-31396.68359,-0.66621,97.8,2707.93164,9,16pk_.B99990050
