DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-37651.97656,-36731.01172,-1.55861,99.1,1155.07751,3,1axn_.B99990001
-37962.91797,-37597.91016,-1.62679,100.0,1053.0448,0,1axn_.B99990002
-38145.40625,-37333.50781,-1.6668,100.0,1167.64868,0,1axn_.B99990003
-38027.46484,-37080.09375,-1.64094,100.0,1159.39233,0,1axn_.B99990004
-37815.30859,-37206.91797,-1.59442,99.7,1175.58154,1,1axn_.B99990005
-38345.72266,-37590.09375,-1.71072,100.0,1119.09851,0,1axn_.B99990006
-38363.64453,-37891.46484,-1.71465,100.0,1039.91064,0,1axn_.B99990007
-38243.05078,-38151.44141,-1.68821,100.0,1069.27197,0,1axn_.B99990008
-38499.69531,-37977.52344,-1.74448,100.0,1039.36377,0,1axn_.B99990009
-37993.64844,-37251.15234,-1.63352,99.7,1162.15295,1,1axn_.B99990010
-38023.92969,-37670.00391,-1.64016,100.0,1050.82312,0,1axn_.B99990011
-38164.25391,-37762.92969,-1.67093,100.0,1076.83228,0,1axn_.B99990012
-38135.45312,-37499.10547,-1.66462,100.0,1085.14563,0,1axn_.B99990013
-38263.75391,-37627.69922,-1.69275,100.0,1020.5968,0,1axn_.B99990014
-38047.57031,-37688.98438,-1.64535,100.0,1050.3905,0,1axn_.B99990015
-38446.30469,-38223.35156,-1.73277,100.0,996.14764,0,1axn_.B99990016
-38458.19531,-38001.62891,-1.73538,100.0,1017.70734,0,1axn_.B99990017
-38058.05469,-37412.5,-1.64765,100.0,1010.11987,0,1axn_.B99990018
-37736.53906,-36472.125,-1.57715,100.0,1236.75623,0,1axn_.B99990019
-38072.76562,-37535.41406,-1.65087,99.7,1036.63379,1,1axn_.B99990020
-38357.125,-38033.08984,-1.71322,100.0,1104.75488,0,1axn_.B99990021
-38273.83203,-38193.48828,-1.69496,100.0,1059.17224,0,1axn_.B99990022
-37846.18359,-37237.36328,-1.60119,100.0,1190.67615,0,1axn_.B99990023
-38192.38281,-37710.61328,-1.6771,100.0,1133.40735,0,1axn_.B99990024
-38348.08203,-38073.23438,-1.71124,100.0,978.02246,0,1axn_.B99990025
-37945.98047,-37421.82031,-1.62307,99.7,1055.68677,1,1axn_.B99990026
-38262.72266,-37893.63281,-1.69252,100.0,1019.33673,0,1axn_.B99990027
-38096.38281,-37742.01953,-1.65605,99.7,1113.97656,1,1axn_.B99990028
-37980.05859,-37390.23047,-1.63054,100.0,1034.69397,0,1axn_.B99990029
-38229.84375,-37761.72656,-1.68531,100.0,1048.64819,0,1axn_.B99990030
-38163.82031,-37883.22266,-1.67084,100.0,1077.28918,0,1axn_.B99990031
-38201.82031,-37548.41016,-1.67917,100.0,1053.36914,0,1axn_.B99990032
-38287.51562,-38092.71094,-1.69796,100.0,969.67017,0,1axn_.B99990033
-38306.30469,-38064.87109,-1.70208,100.0,1048.24927,0,1axn_.B99990034
-37872.38281,-36877.25,-1.60694,100.0,1027.73621,0,1axn_.B99990035
-38210.03125,-38040.14453,-1.68097,100.0,1050.35449,0,1axn_.B99990036
-38466.74219,-37789.51953,-1.73726,100.0,1049.05518,0,1axn_.B99990037
-38179.66406,-37821.19922,-1.67431,100.0,1067.15918,0,1axn_.B99990038
-38266.26562,-38078.03125,-1.6933,100.0,1041.22461,0,1axn_.B99990039
-38213.06641,-37927.8125,-1.68163,99.7,1080.36401,1,1axn_.B99990040
-38020.77734,-36939.0625,-1.63947,100.0,1211.48352,0,1axn_.B99990041
-38365.19141,-38305.80859,-1.71499,100.0,1043.36548,0,1axn_.B99990042
-37728.83594,-36692.57422,-1.57546,99.4,1243.43579,2,1axn_.B99990043
-38124.11328,-37816.01562,-1.66213,99.7,1075.86804,1,1axn_.B99990044
-38085.17969,-37552.64453,-1.65359,100.0,1041.62573,0,1axn_.B99990045
-38082.54297,-37777.64062,-1.65302,99.4,1106.51636,2,1axn_.B99990046
-37870.48438,-36740.66016,-1.60652,100.0,1280.20471,0,1axn_.B99990047
-38340.80469,-38084.96484,-1.70964,100.0,1023.5307,0,1axn_.B99990048
-38063.28516,-37666.87891,-1.64879,99.7,1129.87476,1,1axn_.B99990049
-37831.82812,-37036.83984,-1.59804,100.0,1069.81396,0,1axn_.B99990050
