DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-2223.99634,-1758.18591,1.12793,100.0,281.13464,0,1atb_.B99990001
-2336.0896,-2042.61401,0.99988,100.0,263.31253,0,1atb_.B99990002
-2142.10059,-1863.63672,1.22147,100.0,279.04855,0,1atb_.B99990003
-2310.10596,-2102.53955,1.02956,100.0,240.11263,0,1atb_.B99990004
-2278.06104,-1837.47449,1.06617,100.0,280.88571,0,1atb_.B99990005
-2253.57471,-2060.12061,1.09414,100.0,257.80353,0,1atb_.B99990006
-2218.41382,-1691.80237,1.1343,98.3,329.12698,1,1atb_.B99990007
-2138.40967,-1235.76648,1.22569,100.0,282.51465,0,1atb_.B99990008
-2253.63794,-1859.0116,1.09407,100.0,274.22052,0,1atb_.B99990009
-2291.57275,-1747.20752,1.05073,100.0,255.39825,0,1atb_.B99990010
-2259.15552,-1956.03711,1.08776,100.0,247.29984,0,1atb_.B99990011
-2414.19678,-2139.72021,0.91066,100.0,234.76097,0,1atb_.B99990012
-2363.14673,-2204.6228,0.96898,98.3,250.23993,1,1atb_.B99990013
-2147.90283,-1803.63672,1.21485,100.0,265.17639,0,1atb_.B99990014
-2186.96606,-1792.72314,1.17023,98.3,333.21063,1,1atb_.B99990015
-2233.09644,-1782.82153,1.11753,100.0,243.40236,0,1atb_.B99990016
-2197.30151,-1490.0697,1.15842,100.0,302.60538,0,1atb_.B99990017
-2213.68579,-1996.46094,1.1397,100.0,257.89789,0,1atb_.B99990018
-2199.06274,-1792.9978,1.15641,100.0,235.125,0,1atb_.B99990019
-1994.14722,-1459.75964,1.39048,100.0,271.80859,0,1atb_.B99990020
-2159.15796,-1905.82629,1.20199,100.0,280.20639,0,1atb_.B99990021
-2281.98096,-2096.56372,1.06169,100.0,233.21147,0,1atb_.B99990022
-2292.81934,-2069.01807,1.04931,100.0,294.98706,0,1atb_.B99990023
-2232.31274,-1616.95068,1.11843,100.0,253.06761,0,1atb_.B99990024
-2191.54663,-1750.86841,1.16499,98.3,286.7944,1,1atb_.B99990025
-2299.9021,-1933.15881,1.04122,100.0,281.86185,0,1atb_.B99990026
-2314.82129,-2120.21313,1.02418,100.0,231.80817,0,1atb_.B99990027
-2368.20532,-2088.53223,0.9632,100.0,232.76714,0,1atb_.B99990028
-2416.95874,-1982.89258,0.90751,100.0,271.31165,0,1atb_.B99990029
-2416.6001,-2268.15991,0.90792,100.0,236.02124,0,1atb_.B99990030
-2331.37012,-1671.0155,1.00528,100.0,276.53778,0,1atb_.B99990031
-2180.07202,-1769.36145,1.1781,100.0,246.02647,0,1atb_.B99990032
-2363.23218,-1942.32861,0.96888,100.0,276.08115,0,1atb_.B99990033
-2314.99585,-2164.90527,1.02398,98.3,274.98257,1,1atb_.B99990034
-2143.56567,-1516.94592,1.2198,100.0,270.49866,0,1atb_.B99990035
-2417.94946,-2103.69238,0.90638,100.0,260.54272,0,1atb_.B99990036
-2174.729,-1652.80164,1.1842,100.0,320.10004,0,1atb_.B99990037
-2301.40771,-2198.84766,1.0395,100.0,233.8632,0,1atb_.B99990038
-2303.2356,-1876.77026,1.03741,100.0,243.32764,0,1atb_.B99990039
-2411.5188,-1907.74658,0.91372,100.0,252.72585,0,1atb_.B99990040
-2379.67944,-2105.08691,0.95009,100.0,235.22322,0,1atb_.B99990041
-2233.65967,-1694.70813,1.11689,98.3,309.02036,1,1atb_.B99990042
-2299.17212,-2106.12085,1.04205,100.0,231.86411,0,1atb_.B99990043
-2324.06348,-2143.49341,1.01362,100.0,242.50072,0,1atb_.B99990044
-2340.48926,-2046.604,0.99486,100.0,235.11615,0,1atb_.B99990045
-2135.27808,-1715.14294,1.22927,100.0,259.47009,0,1atb_.B99990046
-2161.22241,-1662.75659,1.19963,100.0,263.55652,0,1atb_.B99990047
-2378.63916,-2245.29907,0.95128,100.0,230.10805,0,1atb_.B99990048
-2300.11548,-2075.82251,1.04098,100.0,283.11575,0,1atb_.B99990049
-2319.89355,-1861.47583,1.01838,100.0,308.19678,0,1atb_.B99990050
