DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-346849.25,-209716.14062,1.11255,93.6,47043.48047,221,6ji0.B99990001
-340873.65625,-201168.26562,1.2343,93.8,47811.0,216,6ji0.B99990002
-344191.3125,-204749.3125,1.16671,93.6,47267.03516,224,6ji0.B99990003
-346093.625,-204820.09375,1.12795,93.4,48095.84375,231,6ji0.B99990004
-347314.5625,-212948.98438,1.10307,93.9,48107.70703,212,6ji0.B99990005
-346429.125,-211520.57812,1.12111,93.6,46730.59375,223,6ji0.B99990006
-351576.375,-221256.42188,1.01624,93.5,47760.30469,227,6ji0.B99990007
-345574.875,-210800.75,1.13852,93.8,47085.31641,214,6ji0.B99990008
-346136.84375,-209456.64062,1.12707,93.7,47215.76172,219,6ji0.B99990009
-348353.25,-206098.64062,1.08191,93.4,48325.83984,230,6ji0.B99990010
-346354.75,-209931.32812,1.12263,93.6,47086.66797,221,6ji0.B99990011
-340591.1875,-197441.14062,1.24006,93.7,48606.53516,219,6ji0.B99990012
-341689.25,-198858.73438,1.21768,93.6,47520.26172,223,6ji0.B99990013
-348946.9375,-216818.1875,1.06981,94.0,46707.39062,210,6ji0.B99990014
-349748.40625,-221177.17188,1.05348,94.3,47327.87891,198,6ji0.B99990015
-344208.21875,-201160.60938,1.16636,93.2,48146.91406,235,6ji0.B99990016
-344678.5625,-206963.59375,1.15678,94.2,46667.85938,201,6ji0.B99990017
-348769.46875,-217056.21875,1.07343,93.8,48469.125,214,6ji0.B99990018
-344588.53125,-203812.3125,1.15861,93.6,48401.69141,222,6ji0.B99990019
-347912.75,-214310.46875,1.09088,94.2,48007.94531,202,6ji0.B99990020
-346939.59375,-213378.46875,1.11071,93.9,48226.21484,211,6ji0.B99990021
-349097.21875,-215213.40625,1.06675,93.9,47348.31641,211,6ji0.B99990022
-345097.53125,-205963.09375,1.14824,93.4,47255.38281,230,6ji0.B99990023
-340376.375,-195801.75,1.24443,93.8,47522.14844,215,6ji0.B99990024
-345207.40625,-207054.34375,1.146,93.8,46589.8125,216,6ji0.B99990025
-344249.59375,-207503.53125,1.16552,93.4,47052.07812,230,6ji0.B99990026
-344737.4375,-202227.9375,1.15558,93.6,48058.07812,224,6ji0.B99990027
-348542.375,-212252.5,1.07805,93.6,47214.75391,221,6ji0.B99990028
-348691.96875,-213362.53125,1.07501,93.9,47470.42188,213,6ji0.B99990029
-346488.59375,-210784.17188,1.1199,93.9,47110.97656,213,6ji0.B99990030
-342505.90625,-202432.40625,1.20104,93.8,48365.49219,217,6ji0.B99990031
-346481.625,-207834.625,1.12004,93.8,46940.04297,215,6ji0.B99990032
-342242.15625,-198599.78125,1.20642,93.9,46993.98047,213,6ji0.B99990033
-346648.28125,-213520.23438,1.11665,93.6,46864.67969,223,6ji0.B99990034
-345095.0,-205984.46875,1.14829,93.7,47107.27734,219,6ji0.B99990035
-349256.03125,-213879.78125,1.06351,93.8,48064.91016,216,6ji0.B99990036
-347619.40625,-212002.23438,1.09686,94.0,46863.73438,209,6ji0.B99990037
-344437.03125,-205327.48438,1.1617,93.9,47029.375,211,6ji0.B99990038
-343803.96875,-208670.90625,1.1746,93.8,47324.59766,216,6ji0.B99990039
-342861.09375,-202772.26562,1.19381,93.7,47081.94531,220,6ji0.B99990040
-350022.90625,-216231.1875,1.04789,93.4,48396.60938,228,6ji0.B99990041
-349515.6875,-217314.54688,1.05822,93.4,47839.79297,231,6ji0.B99990042
-349252.5625,-213747.67188,1.06359,93.7,47801.50391,220,6ji0.B99990043
-341556.59375,-198232.82812,1.22039,93.7,47299.82031,218,6ji0.B99990044
-348895.53125,-214883.26562,1.07086,94.0,47600.04688,207,6ji0.B99990045
-343636.3125,-201332.39062,1.17801,93.7,47189.64453,220,6ji0.B99990046
-346020.625,-207890.875,1.12943,93.6,48263.21094,224,6ji0.B99990047
-349957.65625,-215928.51562,1.04922,93.5,49656.40234,225,6ji0.B99990048
-346478.28125,-211688.60938,1.12011,93.9,46382.46094,211,6ji0.B99990049
-346128.84375,-207561.875,1.12723,94.0,48250.55859,210,6ji0.B99990050
