DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-9011.66016,-6742.59277,0.90368,99.3,925.1795,1,1amx_.B99990001
-8785.75879,-6487.02783,1.01034,99.3,757.08026,1,1amx_.B99990002
-9010.47363,-7097.89844,0.90424,98.6,776.81622,2,1amx_.B99990003
-8624.04785,-6454.88965,1.08669,99.3,804.18909,1,1amx_.B99990004
-8906.38574,-7027.98145,0.95339,98.6,751.55817,2,1amx_.B99990005
-9002.71777,-7143.49756,0.90791,100.0,731.9035,0,1amx_.B99990006
-8781.78516,-6779.68164,1.01222,100.0,808.3728,0,1amx_.B99990007
-9162.78613,-7368.57275,0.83233,100.0,731.48462,0,1amx_.B99990008
-9019.32715,-7061.56934,0.90006,99.3,705.00708,1,1amx_.B99990009
-8934.4043,-6844.4126,0.94016,99.3,781.85992,1,1amx_.B99990010
-8676.48047,-6477.66553,1.06194,98.0,731.41608,3,1amx_.B99990011
-8962.93555,-6759.50732,0.92669,99.3,710.42218,1,1amx_.B99990012
-9321.91797,-7489.74219,0.7572,99.3,716.70355,1,1amx_.B99990013
-8733.69531,-6322.81396,1.03492,99.3,815.36017,1,1amx_.B99990014
-8781.80371,-6803.89502,1.01221,99.3,685.099,1,1amx_.B99990015
-8919.42383,-6349.64844,0.94723,99.3,725.99548,1,1amx_.B99990016
-9233.88867,-7221.87402,0.79876,99.3,708.70667,1,1amx_.B99990017
-8929.89258,-6781.88818,0.94229,98.0,681.52704,3,1amx_.B99990018
-8784.05469,-6475.10254,1.01115,99.3,733.92841,1,1amx_.B99990019
-8937.26953,-6924.104,0.93881,99.3,721.30011,1,1amx_.B99990020
-8924.70117,-6850.74268,0.94474,99.3,787.71826,1,1amx_.B99990021
-8833.34375,-7095.82812,0.98787,99.3,723.1037,1,1amx_.B99990022
-9063.33887,-6888.37256,0.87928,98.6,725.72375,2,1amx_.B99990023
-9227.86719,-7232.11377,0.8016,99.3,776.3783,1,1amx_.B99990024
-8890.97656,-6844.67627,0.96066,99.3,677.04071,1,1amx_.B99990025
-8942.4248,-7077.90039,0.93637,99.3,775.28986,1,1amx_.B99990026
-8756.51758,-6554.46338,1.02415,98.6,667.53577,2,1amx_.B99990027
-8948.875,-7036.41602,0.93333,99.3,841.34113,1,1amx_.B99990028
-9036.83203,-7249.14404,0.8918,99.3,682.90302,1,1amx_.B99990029
-8927.28027,-6974.92383,0.94352,98.0,794.505,3,1amx_.B99990030
-8883.86914,-6890.37256,0.96402,99.3,742.69257,1,1amx_.B99990031
-9151.37891,-7183.99072,0.83772,99.3,677.07349,1,1amx_.B99990032
-8948.10645,-7085.68994,0.93369,98.6,766.92639,2,1amx_.B99990033
-9171.25391,-6964.84863,0.82833,99.3,758.40173,1,1amx_.B99990034
-8904.57422,-6994.62744,0.95424,98.0,810.79877,3,1amx_.B99990035
-8917.23242,-6876.40186,0.94827,98.6,686.93475,2,1amx_.B99990036
-8825.69824,-6817.37842,0.99148,99.3,712.34821,1,1amx_.B99990037
-8946.54492,-6722.8833,0.93443,98.6,731.4386,2,1amx_.B99990038
-8949.41113,-7060.0625,0.93307,99.3,726.74023,1,1amx_.B99990039
-9213.04395,-7502.61963,0.8086,99.3,707.84283,1,1amx_.B99990040
-9034.90039,-7212.48096,0.89271,98.6,741.5636,2,1amx_.B99990041
-9078.68848,-7219.59863,0.87204,99.3,760.06183,1,1amx_.B99990042
-8932.43652,-6916.70654,0.94109,98.6,713.4165,2,1amx_.B99990043
-9005.55566,-6898.15234,0.90657,98.6,706.83368,2,1amx_.B99990044
-9122.30664,-6880.54785,0.85144,99.3,709.32947,1,1amx_.B99990045
-9058.79297,-7317.68066,0.88143,100.0,789.01831,0,1amx_.B99990046
-9040.63086,-7295.11084,0.89001,99.3,784.63635,1,1amx_.B99990047
-8871.95801,-6777.56641,0.96964,99.3,669.38403,1,1amx_.B99990048
-8628.72559,-5755.64258,1.08448,96.6,876.10449,5,1amx_.B99990049
-8993.07812,-7359.31787,0.91246,99.3,792.75177,1,1amx_.B99990050
