DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-1912.98669,-1574.82495,1.85991,100.0,218.49538,0,1afp_.B99990001
-1914.61316,-1451.64233,1.85765,100.0,212.60693,0,1afp_.B99990002
-1768.22974,-1406.02661,2.06093,100.0,199.81749,0,1afp_.B99990003
-1810.68152,-1359.87817,2.00198,98.0,221.17404,1,1afp_.B99990004
-1826.80078,-1509.87256,1.9796,98.0,221.7639,1,1afp_.B99990005
-1868.00781,-1539.70947,1.92237,100.0,212.41229,0,1afp_.B99990006
-1846.84058,-1528.75549,1.95177,100.0,199.101,0,1afp_.B99990007
-1896.3291,-1798.255,1.88304,100.0,198.7733,0,1afp_.B99990008
-1932.81836,-1610.89819,1.83237,100.0,206.05417,0,1afp_.B99990009
-1840.93628,-1448.86218,1.95997,98.0,246.70398,1,1afp_.B99990010
-1860.71252,-1614.18555,1.9325,100.0,213.8918,0,1afp_.B99990011
-1879.13977,-1200.87927,1.90691,100.0,213.77188,0,1afp_.B99990012
-1976.97583,-1821.7002,1.77105,100.0,172.93585,0,1afp_.B99990013
-1960.31104,-1668.06384,1.7942,100.0,190.90883,0,1afp_.B99990014
-1864.70984,-1608.66016,1.92695,100.0,204.56465,0,1afp_.B99990015
-1902.20264,-1635.48438,1.87489,100.0,237.55278,0,1afp_.B99990016
-1820.45276,-1492.05078,1.98841,100.0,215.897,0,1afp_.B99990017
-1903.47253,-1784.02637,1.87312,100.0,210.66682,0,1afp_.B99990018
-1753.36548,-1368.91492,2.08157,100.0,214.58893,0,1afp_.B99990019
-1859.16138,-1567.12915,1.93466,100.0,187.23021,0,1afp_.B99990020
-2025.80054,-1756.05981,1.70325,100.0,189.14252,0,1afp_.B99990021
-1902.01331,-1686.15735,1.87515,100.0,197.74928,0,1afp_.B99990022
-1984.1394,-1547.19238,1.76111,100.0,206.632,0,1afp_.B99990023
-1891.74133,-1712.06958,1.88942,100.0,175.81796,0,1afp_.B99990024
-1637.39734,-1084.99304,2.24261,98.0,238.33009,1,1afp_.B99990025
-1932.05078,-1550.0282,1.83344,98.0,200.76447,1,1afp_.B99990026
-1881.23682,-1506.69153,1.904,100.0,212.59404,0,1afp_.B99990027
-2043.22473,-1566.81384,1.67906,100.0,196.53896,0,1afp_.B99990028
-1954.37,-1569.38147,1.80245,100.0,211.03438,0,1afp_.B99990029
-1785.72791,-1336.71204,2.03663,100.0,195.05234,0,1afp_.B99990030
-1690.76367,-979.87653,2.1685,87.8,313.41562,6,1afp_.B99990031
-1817.55115,-1483.78674,1.99244,100.0,216.68816,0,1afp_.B99990032
-1918.47681,-1634.97034,1.85229,100.0,215.84648,0,1afp_.B99990033
-1803.02502,-1414.89746,2.01261,100.0,266.68613,0,1afp_.B99990034
-1777.79858,-1557.71802,2.04764,100.0,221.96288,0,1afp_.B99990035
-1926.03394,-1780.73218,1.84179,98.0,222.46536,1,1afp_.B99990036
-1771.34961,-1384.1958,2.0566,95.9,222.67491,2,1afp_.B99990037
-1870.49829,-1574.50928,1.91891,100.0,219.71191,0,1afp_.B99990038
-1938.5321,-1732.54272,1.82444,100.0,196.79614,0,1afp_.B99990039
-1794.1322,-1486.10986,2.02496,98.0,241.62946,1,1afp_.B99990040
-2065.04175,-1842.22437,1.64876,100.0,194.91034,0,1afp_.B99990041
-1722.8623,-1405.2738,2.12393,100.0,240.8638,0,1afp_.B99990042
-1755.57227,-1268.56531,2.07851,100.0,235.82805,0,1afp_.B99990043
-1969.17456,-1706.93506,1.78189,100.0,194.43939,0,1afp_.B99990044
-1915.87939,-1554.14551,1.8559,100.0,215.92555,0,1afp_.B99990045
-1889.48608,-1625.50671,1.89255,100.0,234.88219,0,1afp_.B99990046
-1815.02771,-1539.92834,1.99594,100.0,209.15729,0,1afp_.B99990047
-1891.32056,-1530.42712,1.89,100.0,220.27888,0,1afp_.B99990048
-1993.34143,-1811.4613,1.74833,100.0,210.02826,0,1afp_.B99990049
-1965.88367,-1752.38647,1.78646,100.0,208.62256,0,1afp_.B99990050
