DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-27234.7207,-25712.17383,-1.93834,99.5,980.80731,1,1auoA.B99990001
-27195.24219,-25754.88281,-1.92552,99.5,959.06873,1,1auoA.B99990002
-27242.82031,-26093.0,-1.94097,99.5,974.47211,1,1auoA.B99990003
-27234.72656,-25933.70312,-1.93834,99.1,1005.50031,2,1auoA.B99990004
-27249.19922,-25871.65234,-1.94305,99.1,972.07495,2,1auoA.B99990005
-27220.55273,-25825.98047,-1.93374,99.1,990.54663,2,1auoA.B99990006
-27028.07031,-25478.61133,-1.87121,99.1,976.54681,2,1auoA.B99990007
-27098.16992,-25376.14648,-1.89398,99.1,1039.3136,2,1auoA.B99990008
-27178.74219,-25758.17773,-1.92016,99.5,958.99683,1,1auoA.B99990009
-27230.85938,-26012.28516,-1.93709,99.1,994.8233,2,1auoA.B99990010
-27060.94336,-25391.64844,-1.88189,99.5,959.48737,1,1auoA.B99990011
-27219.58789,-25484.73242,-1.93343,99.1,1023.44995,2,1auoA.B99990012
-27252.28711,-25927.38086,-1.94405,99.1,993.3526,2,1auoA.B99990013
-27333.80469,-25827.35156,-1.97053,99.5,937.20361,1,1auoA.B99990014
-27183.91992,-25770.9668,-1.92184,99.1,1054.81506,2,1auoA.B99990015
-27228.56641,-25726.04297,-1.93634,99.5,963.99561,1,1auoA.B99990016
-27067.88672,-25459.97266,-1.88414,99.1,1029.67944,2,1auoA.B99990017
-27234.62695,-25989.13672,-1.93831,99.1,1036.17346,2,1auoA.B99990018
-27034.34766,-25211.37695,-1.87325,99.1,1028.2428,2,1auoA.B99990019
-27290.49609,-26025.40234,-1.95646,99.5,930.67108,1,1auoA.B99990020
-27192.75586,-25768.34766,-1.92471,99.1,1005.76233,2,1auoA.B99990021
-27266.2832,-25973.3125,-1.9486,99.5,976.79077,1,1auoA.B99990022
-27241.57031,-25959.89844,-1.94057,99.5,940.20868,1,1auoA.B99990023
-27226.14844,-25616.63867,-1.93556,99.1,980.67352,2,1auoA.B99990024
-27329.98047,-26294.14062,-1.96929,99.5,995.92957,1,1auoA.B99990025
-27000.79492,-25318.61719,-1.86235,99.1,1096.95544,2,1auoA.B99990026
-27067.81641,-25492.95508,-1.88412,98.6,1051.11694,3,1auoA.B99990027
-26970.50586,-25352.35352,-1.85251,98.6,1032.92407,3,1auoA.B99990028
-27167.35547,-25594.79297,-1.91646,99.1,994.70782,2,1auoA.B99990029
-27344.4043,-25790.98242,-1.97398,99.5,1043.49561,1,1auoA.B99990030
-27397.83203,-25910.375,-1.99133,99.5,949.26306,1,1auoA.B99990031
-27094.57617,-25457.14844,-1.89281,99.5,1012.47925,1,1auoA.B99990032
-27210.21484,-25557.49023,-1.93038,99.5,984.5321,1,1auoA.B99990033
-27180.64258,-25765.21875,-1.92077,99.5,970.94293,1,1auoA.B99990034
-27391.52539,-26091.375,-1.98928,99.5,953.94067,1,1auoA.B99990035
-27173.99609,-25767.55078,-1.91862,99.5,1003.54047,1,1auoA.B99990036
-27355.44531,-26145.3125,-1.97756,99.5,954.55792,1,1auoA.B99990037
-27237.57617,-25669.7207,-1.93927,99.5,979.52472,1,1auoA.B99990038
-27299.79883,-25674.24805,-1.95948,99.5,955.45087,1,1auoA.B99990039
-27301.98047,-25543.18555,-1.96019,99.5,1006.13763,1,1auoA.B99990040
-27213.76367,-25875.33984,-1.93153,99.5,1005.72424,1,1auoA.B99990041
-27316.64258,-25967.81445,-1.96496,99.5,950.55627,1,1auoA.B99990042
-27212.77734,-25798.92188,-1.93121,99.1,958.56793,2,1auoA.B99990043
-27233.52344,-25935.19141,-1.93795,99.5,946.70129,1,1auoA.B99990044
-27359.92969,-25903.17188,-1.97902,99.5,960.77356,1,1auoA.B99990045
-27108.95117,-25381.76172,-1.89748,99.5,969.60706,1,1auoA.B99990046
-27159.99023,-25654.88281,-1.91407,99.5,977.9054,1,1auoA.B99990047
-27204.66602,-25681.20508,-1.92858,99.5,943.88586,1,1auoA.B99990048
-27057.48633,-25595.55664,-1.88076,99.5,935.86011,1,1auoA.B99990049
-27105.93164,-25647.625,-1.8965,99.5,1006.60309,1,1auoA.B99990050
