DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-17465.27344,-15350.62793,-1.58904,98.1,862.53369,3,1alu_.B99990001
-17705.71484,-15608.34082,-1.6975,98.1,874.06323,3,1alu_.B99990002
-17591.69531,-15483.41504,-1.64607,98.1,809.84937,3,1alu_.B99990003
-17461.125,-15606.60938,-1.58717,98.7,804.28418,2,1alu_.B99990004
-17418.29688,-15352.28027,-1.56785,98.1,808.41144,3,1alu_.B99990005
-17401.13086,-15473.58301,-1.56011,98.1,791.776,3,1alu_.B99990006
-17367.82617,-15383.20117,-1.54508,98.1,939.76849,3,1alu_.B99990007
-17478.91797,-15406.64355,-1.5952,98.1,873.3703,3,1alu_.B99990008
-17617.07812,-15337.93066,-1.65752,96.1,874.57751,6,1alu_.B99990009
-17253.08398,-14991.57715,-1.49332,98.1,923.09753,3,1alu_.B99990010
-17559.79102,-15881.27734,-1.63168,98.7,819.88177,2,1alu_.B99990011
-17257.8418,-15104.62012,-1.49547,98.1,809.33032,3,1alu_.B99990012
-17810.04492,-15739.6709,-1.74456,98.1,884.2948,3,1alu_.B99990013
-17214.05078,-15070.40234,-1.47572,98.1,945.38715,3,1alu_.B99990014
-17312.71875,-15029.82031,-1.52022,98.7,831.7063,2,1alu_.B99990015
-17378.65625,-15154.61426,-1.54997,97.4,832.81232,4,1alu_.B99990016
-17834.14258,-15645.4043,-1.75544,98.1,904.00555,3,1alu_.B99990017
-17502.4707,-15334.55664,-1.60582,97.4,853.37384,4,1alu_.B99990018
-17120.04883,-15023.21777,-1.43331,97.4,890.73407,4,1alu_.B99990019
-17279.46289,-15203.47461,-1.50522,98.7,787.83795,2,1alu_.B99990020
-17349.61523,-15077.04492,-1.53687,98.1,880.75177,3,1alu_.B99990021
-17469.10547,-15437.98242,-1.59077,98.7,857.90436,2,1alu_.B99990022
-17462.9707,-15536.01172,-1.588,98.7,821.07855,2,1alu_.B99990023
-17710.36719,-15798.89941,-1.6996,98.1,794.28613,3,1alu_.B99990024
-17536.66602,-15182.47168,-1.62125,97.4,833.14343,4,1alu_.B99990025
-17586.41016,-15517.30469,-1.64368,97.4,863.71521,4,1alu_.B99990026
-17354.15039,-15008.92188,-1.53891,96.8,854.58795,5,1alu_.B99990027
-17365.03125,-15141.5498,-1.54382,98.7,840.52332,2,1alu_.B99990028
-17523.04297,-15686.75098,-1.6151,98.7,813.72125,2,1alu_.B99990029
-17424.20117,-15628.76562,-1.57051,98.7,890.29938,2,1alu_.B99990030
-17264.67383,-14978.89355,-1.49855,98.1,855.27283,3,1alu_.B99990031
-17669.63477,-15690.3623,-1.68123,98.7,837.33313,2,1alu_.B99990032
-17454.06055,-15537.23438,-1.58398,98.7,853.86456,2,1alu_.B99990033
-17501.00195,-15348.86035,-1.60516,98.1,820.3335,3,1alu_.B99990034
-17420.6875,-15402.15723,-1.56893,98.7,961.07611,2,1alu_.B99990035
-17667.46875,-15739.63672,-1.68025,98.1,776.07703,3,1alu_.B99990036
-17496.80859,-15455.44238,-1.60327,98.1,823.49084,3,1alu_.B99990037
-17382.85156,-15390.83887,-1.55186,98.1,850.79315,3,1alu_.B99990038
-17546.83398,-15653.6084,-1.62583,97.4,800.83685,4,1alu_.B99990039
-17537.04492,-15618.7832,-1.62142,98.7,792.67566,2,1alu_.B99990040
-17374.03906,-15200.91113,-1.54789,97.4,837.50891,4,1alu_.B99990041
-17665.61914,-15758.95801,-1.67942,98.7,781.80646,2,1alu_.B99990042
-17609.16016,-15662.13574,-1.65395,98.7,810.58362,2,1alu_.B99990043
-17426.43945,-15370.32812,-1.57152,97.4,784.71246,4,1alu_.B99990044
-17353.08984,-15193.37207,-1.53844,98.7,807.51917,2,1alu_.B99990045
-17432.98828,-15344.87305,-1.57448,98.7,823.05878,2,1alu_.B99990046
-17599.3125,-15467.93848,-1.64951,96.8,850.21509,5,1alu_.B99990047
-17655.83203,-15533.77734,-1.675,98.7,803.48956,2,1alu_.B99990048
-17366.56445,-15085.94434,-1.54451,98.1,809.79199,3,1alu_.B99990049
-17626.03906,-15927.2168,-1.66156,98.7,802.69611,2,1alu_.B99990050
