	Filename,Cluster,Nome_pdb
,0,1a4sA.B99990014
	1a4sA.B99990001.pdb,0,
	1a4sA.B99990007.pdb,0,
	1a4sA.B99990008.pdb,0,
	1a4sA.B99990010.pdb,0,
	1a4sA.B99990011.pdb,0,
	1a4sA.B99990013.pdb,0,
	1a4sA.B99990014.pdb,0,
	1a4sA.B99990022.pdb,0,
	1a4sA.B99990026.pdb,0,
	1a4sA.B99990030.pdb,0,
	1a4sA.B99990031.pdb,0,
	1a4sA.B99990035.pdb,0,
	1a4sA.B99990036.pdb,0,
	1a4sA.B99990038.pdb,0,
	1a4sA.B99990042.pdb,0,
	1a4sA.B99990048.pdb,0,
,1,1a4sA.B99990018
	1a4sA.B99990004.pdb,1,
	1a4sA.B99990018.pdb,1,
	1a4sA.B99990027.pdb,1,
	1a4sA.B99990028.pdb,1,
	1a4sA.B99990029.pdb,1,
	1a4sA.B99990033.pdb,1,
,2,1a4sA.B99990021
	1a4sA.B99990021.pdb,2,
	1a4sA.B99990024.pdb,2,
	1a4sA.B99990037.pdb,2,
	1a4sA.B99990049.pdb,2,
,3,1a4sA.B99990025
	1a4sA.B99990002.pdb,3,
	1a4sA.B99990006.pdb,3,
	1a4sA.B99990016.pdb,3,
	1a4sA.B99990020.pdb,3,
	1a4sA.B99990025.pdb,3,
	1a4sA.B99990039.pdb,3,
	1a4sA.B99990040.pdb,3,
	1a4sA.B99990041.pdb,3,
	1a4sA.B99990043.pdb,3,
	1a4sA.B99990045.pdb,3,
	1a4sA.B99990047.pdb,3,
,4,1a4sA.B99990034
	1a4sA.B99990003.pdb,4,
	1a4sA.B99990009.pdb,4,
	1a4sA.B99990015.pdb,4,
	1a4sA.B99990017.pdb,4,
	1a4sA.B99990032.pdb,4,
	1a4sA.B99990034.pdb,4,
,5,1a4sA.B99990046
	1a4sA.B99990005.pdb,5,
	1a4sA.B99990012.pdb,5,
	1a4sA.B99990019.pdb,5,
	1a4sA.B99990023.pdb,5,
	1a4sA.B99990044.pdb,5,
	1a4sA.B99990046.pdb,5,
	1a4sA.B99990050.pdb,5,
