DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-22622.25391,-19497.03516,-0.51579,97.2,1652.72437,6,1at3A.B99990001
-22755.18164,-19823.42383,-0.55918,97.7,1656.83215,5,1at3A.B99990002
-23030.10547,-20246.00391,-0.6489,96.3,1603.99292,8,1at3A.B99990003
-22849.59961,-19634.09766,-0.58999,95.3,1703.96228,10,1at3A.B99990004
-22956.90039,-19883.91211,-0.62501,98.1,1615.74036,4,1at3A.B99990005
-22770.22656,-19751.1543,-0.56409,98.1,1618.18433,4,1at3A.B99990006
-22907.36523,-19803.4082,-0.60884,97.7,1654.42065,5,1at3A.B99990007
-22879.95898,-19909.61719,-0.5999,96.7,1664.19495,7,1at3A.B99990008
-22931.73242,-20404.83398,-0.6168,96.3,1749.06775,8,1at3A.B99990009
-22650.12305,-19461.5,-0.52489,96.7,1644.87,7,1at3A.B99990010
-23151.19922,-20138.83203,-0.68842,97.7,1616.47778,5,1at3A.B99990011
-22881.90039,-19937.29688,-0.60053,97.7,1644.96777,5,1at3A.B99990012
-22935.67773,-19789.03711,-0.61808,95.3,1799.68103,10,1at3A.B99990013
-23137.82031,-20526.11719,-0.68406,97.7,1651.69568,5,1at3A.B99990014
-23068.86719,-20355.55469,-0.66155,97.2,1651.98938,6,1at3A.B99990015
-23014.10547,-20099.51758,-0.64368,97.7,1621.88721,5,1at3A.B99990016
-22945.22656,-19966.46094,-0.6212,97.7,1687.40417,5,1at3A.B99990017
-23102.18555,-20495.47461,-0.67243,96.3,1661.50208,8,1at3A.B99990018
-23142.07617,-20501.125,-0.68545,97.2,1683.80054,6,1at3A.B99990019
-23077.39648,-20250.52734,-0.66434,98.1,1699.55359,4,1at3A.B99990020
-22531.36719,-18714.5293,-0.48613,96.3,1733.85254,8,1at3A.B99990021
-22972.11328,-20273.52344,-0.62998,97.2,1655.89355,6,1at3A.B99990022
-22799.01367,-19472.38281,-0.57348,98.1,1636.43469,4,1at3A.B99990023
-22740.01367,-19509.03125,-0.55423,97.2,1680.17505,6,1at3A.B99990024
-22739.66602,-19544.34375,-0.55411,95.8,1771.47351,9,1at3A.B99990025
-22818.04297,-19569.80859,-0.57969,94.9,1770.25854,11,1at3A.B99990026
-22956.55859,-19989.03711,-0.6249,97.2,1689.8866,6,1at3A.B99990027
-22787.01953,-19499.15625,-0.56957,97.7,1650.93738,5,1at3A.B99990028
-22876.71289,-19917.30664,-0.59884,95.8,1670.13037,9,1at3A.B99990029
-23031.83008,-20175.49805,-0.64946,97.7,1764.95898,5,1at3A.B99990030
-22763.41797,-19593.69727,-0.56186,97.2,1682.53613,6,1at3A.B99990031
-22699.35742,-19402.79102,-0.54096,97.7,1843.50085,5,1at3A.B99990032
-22612.46094,-19625.34375,-0.5126,97.2,1791.64844,6,1at3A.B99990033
-22764.27148,-19818.6875,-0.56214,94.9,1766.56372,11,1at3A.B99990034
-22845.35742,-19768.1582,-0.58861,96.7,1620.80554,7,1at3A.B99990035
-22830.91797,-19802.57617,-0.58389,96.3,1651.60364,8,1at3A.B99990036
-23032.64453,-20505.61914,-0.64973,98.1,1653.15161,4,1at3A.B99990037
-23040.12891,-20296.53516,-0.65217,96.3,1705.33154,8,1at3A.B99990038
-23128.44922,-20360.26172,-0.681,97.7,1637.02368,5,1at3A.B99990039
-23117.7793,-20189.26367,-0.67752,97.2,1661.72913,6,1at3A.B99990040
-22946.59375,-20015.24609,-0.62165,96.7,1643.81543,7,1at3A.B99990041
-22775.90625,-19702.20508,-0.56594,97.2,1657.6532,6,1at3A.B99990042
-22684.10547,-19845.25586,-0.53598,97.2,1644.13623,6,1at3A.B99990043
-22818.84961,-19997.53906,-0.57995,97.2,1672.46643,6,1at3A.B99990044
-22999.68164,-20275.5625,-0.63897,97.7,1677.94922,5,1at3A.B99990045
-23087.85352,-20023.74805,-0.66775,97.2,1663.52368,6,1at3A.B99990046
-22699.67773,-19814.60547,-0.54106,96.3,1646.08484,8,1at3A.B99990047
-23062.25977,-20273.94922,-0.6594,98.1,1636.00928,4,1at3A.B99990048
-22616.0625,-19508.54688,-0.51377,96.7,1681.61365,7,1at3A.B99990049
-22965.63672,-19817.00586,-0.62786,97.2,1622.30359,6,1at3A.B99990050
