DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-5408.92236,-4302.21533,-0.52189,100.0,400.0246,0,1awj_.B99990001
-5560.83154,-4431.52393,-0.66161,100.0,399.5845,0,1awj_.B99990002
-5612.32812,-4539.15234,-0.70898,100.0,427.85428,0,1awj_.B99990003
-5505.66064,-4388.40479,-0.61087,100.0,374.91391,0,1awj_.B99990004
-5506.3916,-4410.35156,-0.61154,100.0,421.5372,0,1awj_.B99990005
-5455.61914,-4127.51318,-0.56484,100.0,418.246,0,1awj_.B99990006
-5518.9292,-4393.17236,-0.62307,100.0,435.71701,0,1awj_.B99990007
-5563.36768,-4339.81836,-0.66394,98.7,422.51639,1,1awj_.B99990008
-5394.37598,-4130.44824,-0.50851,100.0,386.28836,0,1awj_.B99990009
-5501.69922,-4294.66553,-0.60722,100.0,409.71606,0,1awj_.B99990010
-5475.00977,-4053.54028,-0.58268,98.7,542.74939,1,1awj_.B99990011
-5526.23389,-4428.36914,-0.62979,100.0,387.82108,0,1awj_.B99990012
-5471.18018,-4212.16064,-0.57915,97.3,434.70572,2,1awj_.B99990013
-5472.64746,-4452.52979,-0.5805,100.0,408.31558,0,1awj_.B99990014
-5522.21973,-4424.38721,-0.6261,100.0,445.05042,0,1awj_.B99990015
-5552.30518,-4474.72705,-0.65377,100.0,389.21609,0,1awj_.B99990016
-5320.21631,-3957.9187,-0.4403,97.3,568.10919,2,1awj_.B99990017
-5581.89209,-4357.01709,-0.68098,98.7,404.87451,1,1awj_.B99990018
-5452.00244,-4152.7251,-0.56152,98.7,466.23315,1,1awj_.B99990019
-5554.51807,-4441.10156,-0.6558,97.3,463.6123,2,1awj_.B99990020
-5521.79736,-4467.40283,-0.62571,100.0,393.51862,0,1awj_.B99990021
-5443.40674,-4160.09277,-0.55361,98.7,408.13199,1,1awj_.B99990022
-5515.10498,-4395.63184,-0.61955,98.7,467.69504,1,1awj_.B99990023
-5511.63525,-4449.95166,-0.61636,100.0,384.62036,0,1awj_.B99990024
-5471.14014,-4333.55371,-0.57912,100.0,406.63281,0,1awj_.B99990025
-5491.71436,-4230.29932,-0.59804,98.7,433.44418,1,1awj_.B99990026
-5434.35498,-4029.2334,-0.54528,100.0,434.12601,0,1awj_.B99990027
-5527.32129,-4360.05176,-0.63079,100.0,402.25909,0,1awj_.B99990028
-5404.45312,-4371.59961,-0.51778,100.0,374.7135,0,1awj_.B99990029
-5480.53662,-4414.17188,-0.58776,100.0,425.1091,0,1awj_.B99990030
-5372.33594,-4091.57251,-0.48824,100.0,430.94153,0,1awj_.B99990031
-5479.13428,-4219.73926,-0.58647,98.7,440.24078,1,1awj_.B99990032
-5356.34961,-4132.28369,-0.47354,98.7,478.95529,1,1awj_.B99990033
-5429.62061,-4078.04614,-0.54093,100.0,423.69669,0,1awj_.B99990034
-5538.64014,-4330.46143,-0.6412,98.7,384.05994,1,1awj_.B99990035
-5563.23389,-4466.27588,-0.66382,100.0,418.23047,0,1awj_.B99990036
-5474.104,-4360.63379,-0.58184,100.0,422.27133,0,1awj_.B99990037
-5554.57275,-4393.01611,-0.65586,98.7,379.46283,1,1awj_.B99990038
-5427.02783,-4257.33594,-0.53854,98.7,413.49094,1,1awj_.B99990039
-5556.88184,-4312.86279,-0.65798,100.0,392.35657,0,1awj_.B99990040
-5546.98926,-4413.70312,-0.64888,100.0,388.25418,0,1awj_.B99990041
-5506.48779,-4413.57617,-0.61163,100.0,440.16333,0,1awj_.B99990042
-5521.36816,-4268.1543,-0.62531,98.7,439.9946,1,1awj_.B99990043
-5531.39551,-4512.75,-0.63454,98.7,413.55145,1,1awj_.B99990044
-5445.82129,-4196.01318,-0.55583,100.0,441.39331,0,1awj_.B99990045
-5447.6543,-4291.10059,-0.55752,100.0,413.0087,0,1awj_.B99990046
-5322.37256,-3973.12964,-0.44229,96.0,550.77863,3,1awj_.B99990047
-5514.66846,-4428.99561,-0.61915,100.0,426.36429,0,1awj_.B99990048
-5520.4126,-4264.85596,-0.62444,98.7,402.04193,1,1awj_.B99990049
-5424.28906,-4258.61621,-0.53603,100.0,386.37457,0,1awj_.B99990050
