DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-6738.06738,-6719.56982,-2.02761,100.0,386.08908,0,1afj_.B99990001
-6701.62256,-6564.33691,-1.99176,100.0,356.961,0,1afj_.B99990002
-6705.08252,-6697.55957,-1.99516,100.0,330.13608,0,1afj_.B99990003
-6680.80518,-6526.44092,-1.97128,100.0,387.08646,0,1afj_.B99990004
-6734.48047,-6662.94727,-2.02408,100.0,391.05893,0,1afj_.B99990005
-6670.4165,-6584.28271,-1.96106,100.0,359.50604,0,1afj_.B99990006
-6671.43262,-6525.69141,-1.96206,100.0,382.81464,0,1afj_.B99990007
-6753.8291,-6717.15332,-2.04311,100.0,305.08145,0,1afj_.B99990008
-6745.21094,-6744.271,-2.03463,100.0,371.52466,0,1afj_.B99990009
-6703.12549,-6633.03564,-1.99324,100.0,388.77798,0,1afj_.B99990010
-6740.76172,-6806.46777,-2.03026,100.0,322.66034,0,1afj_.B99990011
-6651.37646,-6595.77393,-1.94233,100.0,306.26498,0,1afj_.B99990012
-6725.18945,-6675.53857,-2.01494,100.0,340.228,0,1afj_.B99990013
-6715.39697,-6728.76172,-2.00531,100.0,399.11285,0,1afj_.B99990014
-6695.17041,-6849.90723,-1.98541,100.0,288.20737,0,1afj_.B99990015
-6751.88525,-6797.12939,-2.0412,100.0,361.13019,0,1afj_.B99990016
-6709.42676,-6685.19727,-1.99943,100.0,323.28107,0,1afj_.B99990017
-6773.42627,-6859.54932,-2.06239,100.0,401.08545,0,1afj_.B99990018
-6707.76611,-6682.92334,-1.9978,100.0,304.67917,0,1afj_.B99990019
-6706.9126,-6603.95996,-1.99696,100.0,432.33679,0,1afj_.B99990020
-6790.5498,-6728.46631,-2.07923,100.0,397.88263,0,1afj_.B99990021
-6704.1875,-6611.54004,-1.99428,100.0,295.59167,0,1afj_.B99990022
-6747.7251,-6742.15283,-2.03711,100.0,330.32275,0,1afj_.B99990023
-6656.55127,-6556.99561,-1.94742,100.0,368.05457,0,1afj_.B99990024
-6757.20605,-6752.0,-2.04643,100.0,371.45041,0,1afj_.B99990025
-6701.06543,-6616.19189,-1.99121,100.0,321.23907,0,1afj_.B99990026
-6785.8623,-6755.09473,-2.07462,100.0,330.54721,0,1afj_.B99990027
-6760.3457,-6724.27148,-2.04952,100.0,376.17099,0,1afj_.B99990028
-6637.70654,-6665.5249,-1.92889,100.0,375.48227,0,1afj_.B99990029
-6732.02539,-6690.67432,-2.02166,100.0,299.95721,0,1afj_.B99990030
-6820.31592,-6870.67871,-2.10851,100.0,389.18839,0,1afj_.B99990031
-6705.55029,-6653.76709,-1.99562,100.0,380.75958,0,1afj_.B99990032
-6778.27588,-6840.86475,-2.06716,100.0,322.48947,0,1afj_.B99990033
-6695.34521,-6658.67676,-1.98558,100.0,345.5563,0,1afj_.B99990034
-6644.021,-6554.04834,-1.9351,100.0,395.04407,0,1afj_.B99990035
-6743.83398,-6738.56836,-2.03328,100.0,432.42191,0,1afj_.B99990036
-6763.45166,-6743.67578,-2.05257,100.0,297.71066,0,1afj_.B99990037
-6733.33057,-6729.7124,-2.02295,100.0,397.18674,0,1afj_.B99990038
-6675.39209,-6715.58496,-1.96596,100.0,298.99948,0,1afj_.B99990039
-6769.75391,-6824.51221,-2.05877,100.0,323.35223,0,1afj_.B99990040
-6759.73535,-6878.70361,-2.04892,100.0,294.20428,0,1afj_.B99990041
-6749.02588,-6646.69775,-2.03838,100.0,434.90796,0,1afj_.B99990042
-6725.6499,-6783.87109,-2.01539,100.0,418.12378,0,1afj_.B99990043
-6642.38818,-6596.30078,-1.93349,100.0,423.10587,0,1afj_.B99990044
-6746.74316,-6721.38623,-2.03614,100.0,381.92709,0,1afj_.B99990045
-6700.09766,-6630.72656,-1.99026,100.0,384.96014,0,1afj_.B99990046
-6798.91406,-6752.20068,-2.08746,100.0,358.12878,0,1afj_.B99990047
-6697.81689,-6764.36963,-1.98801,100.0,338.37186,0,1afj_.B99990048
-6691.08252,-6635.33105,-1.98139,100.0,286.82047,0,1afj_.B99990049
-6670.55273,-6658.48926,-1.9612,100.0,321.59961,0,1afj_.B99990050
