DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-2556.25269,-286.28427,2.96702,95.2,415.95132,4,1a32_.B99990001
-2675.75342,-2274.38013,2.86745,100.0,319.00497,0,1a32_.B99990002
-2050.5979,239.18361,3.38833,97.6,647.87024,2,1a32_.B99990003
-2697.80591,-2405.11426,2.84908,98.8,366.23584,1,1a32_.B99990004
-2581.52124,-2391.80835,2.94597,100.0,317.44345,0,1a32_.B99990005
-2658.95874,-2317.90625,2.88145,100.0,339.01389,0,1a32_.B99990006
-2777.67993,-2256.94214,2.78253,100.0,307.72507,0,1a32_.B99990007
-2518.58887,-2195.05688,2.9984,100.0,301.65747,0,1a32_.B99990008
-2641.88037,-2427.41577,2.89568,100.0,312.68747,0,1a32_.B99990009
-2847.34277,-2481.07446,2.72449,100.0,345.53519,0,1a32_.B99990010
-2754.13501,-2617.64087,2.80215,100.0,297.56412,0,1a32_.B99990011
-2713.93286,-1914.46045,2.83564,100.0,325.45609,0,1a32_.B99990012
-2415.7627,-2021.74658,3.08408,100.0,309.50586,0,1a32_.B99990013
-2495.71753,-2501.57593,3.01746,100.0,311.97833,0,1a32_.B99990014
-2054.73096,1630.48523,3.38489,94.0,472.50192,5,1a32_.B99990015
-2692.25708,-2266.10645,2.8537,100.0,314.04007,0,1a32_.B99990016
-2625.18506,-2262.05688,2.90959,100.0,315.37158,0,1a32_.B99990017
-2958.26392,-2514.85693,2.63207,100.0,329.53558,0,1a32_.B99990018
-2539.94165,-2015.1095,2.98061,100.0,316.26166,0,1a32_.B99990019
-2587.11719,-2143.23096,2.9413,100.0,300.7644,0,1a32_.B99990020
-2479.94409,-2038.78247,3.0306,100.0,372.39273,0,1a32_.B99990021
-2406.66943,-2160.63965,3.09165,100.0,343.53888,0,1a32_.B99990022
-2068.31763,-198.75096,3.37356,95.2,421.64478,4,1a32_.B99990023
-1684.98865,2898.66235,3.69295,91.6,727.66162,7,1a32_.B99990024
-2606.646,-2304.57764,2.92503,100.0,294.03516,0,1a32_.B99990025
-2645.38037,-2124.92041,2.89276,100.0,297.76123,0,1a32_.B99990026
-2896.52246,-2571.06665,2.68351,100.0,303.00742,0,1a32_.B99990027
-2841.21143,-1442.93787,2.72959,100.0,340.07153,0,1a32_.B99990028
-2050.64111,1078.97009,3.38829,94.0,960.05023,5,1a32_.B99990029
-2486.0647,-2205.54443,3.0255,100.0,336.7146,0,1a32_.B99990030
-2596.91895,-2269.36938,2.93314,100.0,345.73166,0,1a32_.B99990031
-3000.16455,-2403.20239,2.59716,100.0,389.37796,0,1a32_.B99990032
-2956.82812,-2345.60864,2.63326,98.8,345.89694,1,1a32_.B99990033
-2764.69116,-2328.85693,2.79335,100.0,285.56396,0,1a32_.B99990034
-1752.74255,-8.03249,3.6365,97.6,526.71216,2,1a32_.B99990035
-2717.54248,-2196.69507,2.83263,100.0,314.96136,0,1a32_.B99990036
-2395.78931,-1744.64563,3.10072,100.0,310.1438,0,1a32_.B99990037
-2362.88745,-1993.6272,3.12813,100.0,312.94156,0,1a32_.B99990038
-2456.45435,-2166.26904,3.05017,100.0,378.29739,0,1a32_.B99990039
-2340.16553,-2097.85474,3.14706,100.0,359.04068,0,1a32_.B99990040
-2499.71606,-2512.46216,3.01413,100.0,276.69897,0,1a32_.B99990041
-2847.8042,-2557.77271,2.7241,100.0,346.39035,0,1a32_.B99990042
-3007.89697,-2675.1665,2.59071,100.0,310.75546,0,1a32_.B99990043
-3013.26709,-2694.60156,2.58624,100.0,313.97604,0,1a32_.B99990044
-2588.93286,-2215.36987,2.93979,100.0,291.72775,0,1a32_.B99990045
-2534.41553,-2235.46069,2.98521,100.0,338.85187,0,1a32_.B99990046
-2369.37524,-1804.15747,3.12273,100.0,324.34439,0,1a32_.B99990047
-3041.0459,-2377.53125,2.56309,100.0,314.89587,0,1a32_.B99990048
-2352.99512,-1956.48291,3.13637,100.0,289.22324,0,1a32_.B99990049
-2610.73242,-2479.03101,2.92163,100.0,306.57428,0,1a32_.B99990050
