DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-8614.96582,-7466.93799,-1.46056,98.8,478.49542,1,1a1w_.B99990001
-8650.46973,-7514.73633,-1.49085,98.8,431.92941,1,1a1w_.B99990002
-8761.01562,-7508.57178,-1.58518,98.8,428.35068,1,1a1w_.B99990003
-8732.1543,-7595.63037,-1.56055,98.8,395.42508,1,1a1w_.B99990004
-8822.82129,-7657.11963,-1.63792,98.8,433.39331,1,1a1w_.B99990005
-8644.01855,-7447.27832,-1.48535,98.8,410.59195,1,1a1w_.B99990006
-8717.77637,-7522.76562,-1.54828,98.8,422.63602,1,1a1w_.B99990007
-8762.89844,-7523.61279,-1.58679,98.8,401.92947,1,1a1w_.B99990008
-8643.08203,-7385.20801,-1.48455,98.8,429.75229,1,1a1w_.B99990009
-8716.43359,-7460.72607,-1.54714,98.8,415.10803,1,1a1w_.B99990010
-8637.40332,-7177.02246,-1.4797,98.8,456.29797,1,1a1w_.B99990011
-8596.36328,-7338.28271,-1.44469,98.8,464.14972,1,1a1w_.B99990012
-8697.96387,-7408.44092,-1.53138,98.8,544.42725,1,1a1w_.B99990013
-8698.56934,-7496.94141,-1.5319,98.8,408.31995,1,1a1w_.B99990014
-8716.40918,-7607.83057,-1.54712,98.8,453.52817,1,1a1w_.B99990015
-8687.75391,-7573.4707,-1.52267,98.8,440.51147,1,1a1w_.B99990016
-8634.60938,-7352.89062,-1.47732,98.8,424.55887,1,1a1w_.B99990017
-8665.41504,-7449.57617,-1.50361,98.8,404.16254,1,1a1w_.B99990018
-8589.96484,-7353.63965,-1.43923,98.8,492.43661,1,1a1w_.B99990019
-8721.81641,-7589.80908,-1.55173,98.8,417.79565,1,1a1w_.B99990020
-8574.26562,-7430.52979,-1.42583,98.8,501.08096,1,1a1w_.B99990021
-8691.46094,-7504.5542,-1.52583,98.8,467.85004,1,1a1w_.B99990022
-8652.43359,-7416.22363,-1.49253,98.8,435.89795,1,1a1w_.B99990023
-8631.53711,-7367.51123,-1.4747,98.8,412.2883,1,1a1w_.B99990024
-8750.10254,-7588.5874,-1.57587,97.5,429.64001,2,1a1w_.B99990025
-8651.68555,-7504.90039,-1.49189,98.8,485.44547,1,1a1w_.B99990026
-8778.3418,-7600.10938,-1.59996,98.8,403.71228,1,1a1w_.B99990027
-8648.7627,-7412.47705,-1.4894,98.8,433.24829,1,1a1w_.B99990028
-8642.11035,-7389.15576,-1.48372,98.8,443.48056,1,1a1w_.B99990029
-8748.81348,-7559.47998,-1.57477,98.8,404.24948,1,1a1w_.B99990030
-8666.10742,-7564.95117,-1.5042,98.8,413.80252,1,1a1w_.B99990031
-8660.33203,-7420.1001,-1.49927,98.8,410.35165,1,1a1w_.B99990032
-8642.91992,-7264.29883,-1.48441,98.8,428.71979,1,1a1w_.B99990033
-8722.79004,-7433.00732,-1.55256,98.8,482.92642,1,1a1w_.B99990034
-8762.92871,-7563.54492,-1.58681,98.8,446.14789,1,1a1w_.B99990035
-8697.40625,-7452.65869,-1.5309,98.8,405.73636,1,1a1w_.B99990036
-8691.44824,-7522.49756,-1.52582,98.8,413.57642,1,1a1w_.B99990037
-8686.13672,-7553.56055,-1.52129,98.8,403.92892,1,1a1w_.B99990038
-8745.56348,-7585.00488,-1.57199,98.8,413.68643,1,1a1w_.B99990039
-8823.63965,-7778.50879,-1.63861,98.8,459.04669,1,1a1w_.B99990040
-8534.76855,-7267.06201,-1.39213,98.8,457.62363,1,1a1w_.B99990041
-8675.89453,-7435.56934,-1.51255,98.8,465.76968,1,1a1w_.B99990042
-8720.3916,-7603.9585,-1.55052,98.8,406.03867,1,1a1w_.B99990043
-8607.20508,-7355.79199,-1.45394,98.8,439.12433,1,1a1w_.B99990044
-8655.8584,-7456.85107,-1.49545,98.8,417.14658,1,1a1w_.B99990045
-8643.66602,-7546.17773,-1.48505,98.8,435.70538,1,1a1w_.B99990046
-8550.44922,-7279.60596,-1.40551,98.8,470.73114,1,1a1w_.B99990047
-8712.71387,-7592.87939,-1.54396,98.8,426.32126,1,1a1w_.B99990048
-8631.2373,-7446.15771,-1.47444,98.8,422.22855,1,1a1w_.B99990049
-8735.16699,-7521.81738,-1.56312,98.8,444.81329,1,1a1w_.B99990050
