DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-27700.25195,-23369.85547,-0.92899,100.0,1505.8927,0,1abrB.B99990001
-27752.9375,-23674.94336,-0.94296,100.0,1457.07605,0,1abrB.B99990002
-27679.11523,-23249.26953,-0.92338,100.0,1429.76245,0,1abrB.B99990003
-27760.44531,-23794.88672,-0.94495,100.0,1526.74268,0,1abrB.B99990004
-27896.08789,-23849.83203,-0.98093,100.0,1508.18066,0,1abrB.B99990005
-27665.67773,-23391.55078,-0.91982,100.0,1472.46497,0,1abrB.B99990006
-27687.18555,-23299.73047,-0.92552,100.0,1616.29688,0,1abrB.B99990007
-27482.71875,-23152.72852,-0.87129,100.0,1502.02942,0,1abrB.B99990008
-27916.78516,-24403.10547,-0.98642,100.0,1436.69873,0,1abrB.B99990009
-27734.77734,-23410.38672,-0.93814,100.0,1404.86121,0,1abrB.B99990010
-27701.10547,-23617.41797,-0.92921,100.0,1428.32324,0,1abrB.B99990011
-27676.40234,-23242.42773,-0.92266,100.0,1459.28979,0,1abrB.B99990012
-27821.51758,-23931.15625,-0.96115,100.0,1430.34546,0,1abrB.B99990013
-27811.95703,-23672.79297,-0.95862,100.0,1422.8363,0,1abrB.B99990014
-27732.95508,-23602.98242,-0.93766,100.0,1433.93494,0,1abrB.B99990015
-27852.16602,-23778.58789,-0.96928,100.0,1585.84827,0,1abrB.B99990016
-27700.16602,-23490.04883,-0.92896,100.0,1430.85889,0,1abrB.B99990017
-27746.64453,-23875.48242,-0.94129,99.6,1428.0675,1,1abrB.B99990018
-27552.63672,-22884.02734,-0.88983,100.0,1468.41553,0,1abrB.B99990019
-27637.86719,-23362.10742,-0.91244,100.0,1454.7699,0,1abrB.B99990020
-27737.80664,-23531.17773,-0.93895,100.0,1391.71729,0,1abrB.B99990021
-27645.39258,-23604.36328,-0.91444,100.0,1432.57886,0,1abrB.B99990022
-27783.68945,-23691.30469,-0.95112,100.0,1494.60364,0,1abrB.B99990023
-27765.63477,-23533.61328,-0.94633,100.0,1546.67834,0,1abrB.B99990024
-27840.71289,-23514.33984,-0.96624,100.0,1431.35974,0,1abrB.B99990025
-27692.40234,-23634.86133,-0.9269,100.0,1374.00452,0,1abrB.B99990026
-27910.01953,-23879.99805,-0.98463,100.0,1431.151,0,1abrB.B99990027
-27564.79883,-23279.63672,-0.89306,100.0,1440.64282,0,1abrB.B99990028
-27784.21875,-23790.57812,-0.95126,100.0,1420.04187,0,1abrB.B99990029
-27759.89648,-23652.14258,-0.94481,100.0,1372.30408,0,1abrB.B99990030
-27616.82422,-23390.68945,-0.90686,100.0,1454.44482,0,1abrB.B99990031
-27711.6875,-23237.98047,-0.93202,100.0,1532.55676,0,1abrB.B99990032
-27803.85547,-23865.65625,-0.95647,100.0,1447.67419,0,1abrB.B99990033
-27518.94336,-23256.60547,-0.88089,100.0,1390.15417,0,1abrB.B99990034
-27842.87109,-23577.8125,-0.96682,100.0,1516.18762,0,1abrB.B99990035
-27808.46289,-23805.35742,-0.95769,100.0,1418.43506,0,1abrB.B99990036
-27713.17578,-23534.49219,-0.93241,100.0,1498.74023,0,1abrB.B99990037
-27860.54102,-23939.35938,-0.9715,100.0,1500.31445,0,1abrB.B99990038
-27443.3457,-23115.33398,-0.86084,99.2,1541.50574,2,1abrB.B99990039
-27658.50586,-23670.39062,-0.91791,100.0,1433.5188,0,1abrB.B99990040
-27680.06641,-23363.88867,-0.92363,100.0,1448.49707,0,1abrB.B99990041
-27848.5293,-23994.0,-0.96832,100.0,1421.6095,0,1abrB.B99990042
-27780.84375,-23240.66016,-0.95036,100.0,1426.45996,0,1abrB.B99990043
-27897.57227,-23847.27734,-0.98133,100.0,1446.88452,0,1abrB.B99990044
-27699.71875,-23637.41602,-0.92885,100.0,1515.70557,0,1abrB.B99990045
-27849.01758,-23703.92383,-0.96845,100.0,1410.00269,0,1abrB.B99990046
-27884.92188,-24051.35156,-0.97797,100.0,1384.38782,0,1abrB.B99990047
-27496.22852,-23373.56445,-0.87487,100.0,1522.79431,0,1abrB.B99990048
-27657.81836,-23421.10742,-0.91773,100.0,1492.75183,0,1abrB.B99990049
-27631.94531,-23348.84961,-0.91087,100.0,1505.89014,0,1abrB.B99990050
