DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-33208.77734,-31442.91992,-0.38305,99.4,1366.01111,2,12asA.B99990001
-33184.32422,-31675.95508,-0.37775,99.4,1359.88916,2,12asA.B99990002
-33307.30859,-31700.29883,-0.40439,100.0,1349.9541,0,12asA.B99990003
-33453.98438,-32211.28711,-0.43615,99.7,1381.83704,1,12asA.B99990004
-33360.75,-32002.44727,-0.41596,100.0,1431.67456,0,12asA.B99990005
-33308.69922,-32065.68945,-0.40469,99.7,1335.15393,1,12asA.B99990006
-33310.26172,-32165.79883,-0.40503,100.0,1384.00525,0,12asA.B99990007
-33277.00391,-31720.83789,-0.39782,99.1,1431.85754,3,12asA.B99990008
-33606.97656,-32187.05664,-0.46929,99.7,1430.55518,1,12asA.B99990009
-33065.30078,-31597.57031,-0.35197,99.1,1375.47351,3,12asA.B99990010
-33370.47656,-31727.61719,-0.41807,99.4,1453.91089,2,12asA.B99990011
-33418.59375,-32265.77539,-0.42849,99.7,1385.61035,1,12asA.B99990012
-33258.07812,-31823.85742,-0.39372,100.0,1372.30151,0,12asA.B99990013
-33222.17969,-31529.86719,-0.38595,99.4,1376.43933,2,12asA.B99990014
-33212.87891,-31848.06055,-0.38393,99.7,1334.87415,1,12asA.B99990015
-33532.98047,-32300.32422,-0.45326,99.4,1376.09106,2,12asA.B99990016
-33226.36719,-31681.34766,-0.38686,99.4,1399.32104,2,12asA.B99990017
-33402.60938,-32089.00586,-0.42503,99.7,1437.83374,1,12asA.B99990018
-33310.99609,-31695.42578,-0.40518,99.7,1393.92822,1,12asA.B99990019
-33528.55078,-32434.44531,-0.4523,99.1,1378.75696,3,12asA.B99990020
-33102.54688,-31788.5625,-0.36004,100.0,1495.21997,0,12asA.B99990021
-33387.58203,-32002.06836,-0.42177,99.7,1330.10828,1,12asA.B99990022
-33478.9375,-32126.70508,-0.44156,100.0,1333.4408,0,12asA.B99990023
-33216.44922,-31844.25195,-0.38471,99.4,1315.89954,2,12asA.B99990024
-33033.55078,-31377.25391,-0.3451,99.7,1398.3324,1,12asA.B99990025
-33015.15625,-31601.47266,-0.34111,100.0,1419.26123,0,12asA.B99990026
-33260.67578,-32061.05469,-0.39429,99.7,1402.31018,1,12asA.B99990027
-33194.70703,-31972.56641,-0.38,100.0,1361.35291,0,12asA.B99990028
-33391.65234,-31778.90234,-0.42265,100.0,1355.46692,0,12asA.B99990029
-33235.60156,-31727.4668,-0.38886,99.7,1361.73914,1,12asA.B99990030
-33449.78906,-32344.74414,-0.43524,99.4,1377.81042,2,12asA.B99990031
-33443.91406,-32166.12891,-0.43397,100.0,1433.62366,0,12asA.B99990032
-33102.36328,-32088.30469,-0.36,99.7,1469.1416,1,12asA.B99990033
-33419.6875,-32487.05664,-0.42873,99.1,1343.05005,3,12asA.B99990034
-33547.55859,-32235.63477,-0.45642,100.0,1388.68066,0,12asA.B99990035
-33220.59375,-31696.10352,-0.38561,99.4,1365.78491,2,12asA.B99990036
-33137.58203,-31574.66602,-0.36763,100.0,1440.19226,0,12asA.B99990037
-33379.37891,-32067.29102,-0.42,99.7,1370.276,1,12asA.B99990038
-33292.51953,-31782.73633,-0.40118,99.7,1375.18933,1,12asA.B99990039
-33579.40234,-32594.95117,-0.46332,99.4,1373.32849,2,12asA.B99990040
-33316.07812,-32119.08203,-0.40629,99.7,1293.52942,1,12asA.B99990041
-33508.41016,-32332.60352,-0.44794,100.0,1360.30359,0,12asA.B99990042
-33118.48438,-31765.63477,-0.36349,100.0,1365.07483,0,12asA.B99990043
-33002.92188,-31393.37109,-0.33846,99.7,1727.39368,1,12asA.B99990044
-33662.375,-32611.07031,-0.48129,99.7,1341.71118,1,12asA.B99990045
-33194.48828,-31648.96875,-0.37995,99.1,1357.77527,3,12asA.B99990046
-33221.21875,-31794.5332,-0.38574,99.7,1365.9812,1,12asA.B99990047
-33067.36328,-31660.01172,-0.35242,99.1,1443.75928,3,12asA.B99990048
-33329.95312,-31966.67188,-0.40929,100.0,1444.36548,0,12asA.B99990049
-33248.34375,-31792.26562,-0.39162,99.7,1404.67542,1,12asA.B99990050
