DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-9088.27539,-6008.24072,-0.08027,95.2,745.15015,5,1a1x_.B99990001
-8958.81055,-5681.98047,0.00623,96.2,725.34686,4,1a1x_.B99990002
-9080.56543,-5680.2124,-0.07512,97.1,646.26764,3,1a1x_.B99990003
-8892.41309,-5683.65332,0.05059,98.1,690.04297,2,1a1x_.B99990004
-9221.10059,-6007.84863,-0.16902,96.2,729.29932,4,1a1x_.B99990005
-9011.46875,-5811.43115,-0.02896,96.2,736.32648,4,1a1x_.B99990006
-9076.04883,-5930.03564,-0.0721,97.1,707.42188,3,1a1x_.B99990007
-9184.24902,-6102.31299,-0.1444,98.1,744.51654,2,1a1x_.B99990008
-9013.34766,-5798.26709,-0.03021,97.1,632.31232,3,1a1x_.B99990009
-9117.69141,-5776.59668,-0.09993,96.2,831.51331,4,1a1x_.B99990010
-9197.87402,-6176.43164,-0.1535,95.2,725.6192,5,1a1x_.B99990011
-9047.75293,-5810.98145,-0.0532,99.0,656.3844,1,1a1x_.B99990012
-9046.00977,-5566.89893,-0.05203,97.1,644.28809,3,1a1x_.B99990013
-8890.01855,-5623.63721,0.05219,96.2,735.13275,4,1a1x_.B99990014
-9161.25684,-5888.9585,-0.12903,97.1,680.97858,3,1a1x_.B99990015
-8930.11523,-5317.54883,0.0254,97.1,648.67078,3,1a1x_.B99990016
-9078.85254,-5664.49316,-0.07398,96.2,716.27771,4,1a1x_.B99990017
-9206.625,-6173.71875,-0.15935,98.1,660.4444,2,1a1x_.B99990018
-9314.125,-6212.94238,-0.23117,97.1,679.66296,3,1a1x_.B99990019
-8888.31934,-5347.01025,0.05332,96.2,670.58752,4,1a1x_.B99990020
-9372.85156,-6537.75781,-0.27041,96.2,653.87927,4,1a1x_.B99990021
-9075.48145,-5875.00195,-0.07173,97.1,609.44965,3,1a1x_.B99990022
-9068.7168,-5675.96143,-0.06721,97.1,680.03918,3,1a1x_.B99990023
-9022.96875,-5956.41504,-0.03664,97.1,734.71661,3,1a1x_.B99990024
-8902.125,-5543.29004,0.0441,98.1,702.32678,2,1a1x_.B99990025
-9110.41016,-5813.10059,-0.09506,97.1,679.36285,3,1a1x_.B99990026
-8998.81934,-5684.76172,-0.02051,98.1,635.95184,2,1a1x_.B99990027
-9021.38672,-5656.3457,-0.03558,95.2,675.45538,5,1a1x_.B99990028
-8949.88574,-5667.64355,0.01219,96.2,657.58459,4,1a1x_.B99990029
-8918.84863,-5439.70947,0.03293,98.1,707.31085,2,1a1x_.B99990030
-9055.60547,-5719.33887,-0.05845,98.1,710.51001,2,1a1x_.B99990031
-9092.80273,-5999.85498,-0.0833,97.1,681.76947,3,1a1x_.B99990032
-9019.72559,-5606.20605,-0.03447,97.1,651.7962,3,1a1x_.B99990033
-9010.96484,-5692.28076,-0.02862,97.1,661.77124,3,1a1x_.B99990034
-8933.03809,-5787.93848,0.02345,98.1,814.33447,2,1a1x_.B99990035
-9041.48047,-5890.9834,-0.04901,98.1,666.81738,2,1a1x_.B99990036
-9143.12109,-6038.06982,-0.11692,96.2,668.42145,4,1a1x_.B99990037
-8949.2998,-5604.02881,0.01258,96.2,644.53021,4,1a1x_.B99990038
-8815.13574,-5305.33105,0.10222,95.2,706.26526,5,1a1x_.B99990039
-8961.28027,-5766.7832,0.00458,98.1,698.65076,2,1a1x_.B99990040
-8934.39941,-5612.37207,0.02254,98.1,640.8587,2,1a1x_.B99990041
-8944.08887,-5524.65381,0.01606,97.1,722.71484,3,1a1x_.B99990042
-9090.11621,-6043.41455,-0.0815,98.1,624.77643,2,1a1x_.B99990043
-8786.41895,-5118.00684,0.12141,96.2,687.24414,4,1a1x_.B99990044
-9144.23633,-5880.28271,-0.11766,96.2,718.76294,4,1a1x_.B99990045
-9088.98535,-5813.41699,-0.08075,97.1,697.53802,3,1a1x_.B99990046
-9248.66406,-5907.32617,-0.18743,97.1,655.68274,3,1a1x_.B99990047
-9096.90332,-5834.58154,-0.08604,98.1,688.89142,2,1a1x_.B99990048
-9037.21191,-5800.26514,-0.04616,97.1,637.39233,3,1a1x_.B99990049
-8955.60449,-5639.7207,0.00837,97.1,661.56934,3,1a1x_.B99990050
