DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-30128.26172,-29949.96289,-2.63749,100.0,924.13519,0,1a8l_.B99990001
-30023.47266,-29731.04492,-2.60465,100.0,948.12714,0,1a8l_.B99990002
-29991.9668,-29812.45117,-2.59478,100.0,1030.01172,0,1a8l_.B99990003
-30068.92773,-29673.37891,-2.6189,100.0,917.74213,0,1a8l_.B99990004
-30336.80078,-30316.23047,-2.70284,100.0,886.31598,0,1a8l_.B99990005
-30190.06055,-29881.30664,-2.65686,100.0,929.64178,0,1a8l_.B99990006
-30122.17578,-29971.9082,-2.63558,100.0,927.60175,0,1a8l_.B99990007
-30142.77148,-30055.50391,-2.64204,100.0,918.69635,0,1a8l_.B99990008
-30154.59766,-30001.35156,-2.64574,100.0,957.71082,0,1a8l_.B99990009
-30317.88477,-30401.7793,-2.69691,100.0,961.24963,0,1a8l_.B99990010
-30209.85156,-30160.375,-2.66306,100.0,944.28021,0,1a8l_.B99990011
-30332.87891,-30411.92383,-2.70161,100.0,893.70819,0,1a8l_.B99990012
-30123.17969,-29903.91016,-2.6359,100.0,933.5213,0,1a8l_.B99990013
-30216.68164,-29827.5918,-2.6652,100.0,957.58063,0,1a8l_.B99990014
-30084.13281,-29847.06641,-2.62366,100.0,933.51123,0,1a8l_.B99990015
-30239.64062,-30109.19727,-2.67239,100.0,984.00861,0,1a8l_.B99990016
-30157.83984,-29995.15234,-2.64676,100.0,909.29889,0,1a8l_.B99990017
-30193.60156,-30042.5293,-2.65797,100.0,904.49396,0,1a8l_.B99990018
-30273.66602,-30207.07617,-2.68306,100.0,944.48572,0,1a8l_.B99990019
-30058.58789,-29774.70312,-2.61566,100.0,996.84839,0,1a8l_.B99990020
-30140.26367,-29799.45312,-2.64125,100.0,898.45087,0,1a8l_.B99990021
-29961.13086,-29750.9082,-2.58512,100.0,991.51562,0,1a8l_.B99990022
-29731.55078,-28993.43359,-2.51317,100.0,1057.94128,0,1a8l_.B99990023
-30102.88672,-29874.06836,-2.62954,100.0,933.72864,0,1a8l_.B99990024
-30024.38672,-29822.2793,-2.60494,100.0,921.27899,0,1a8l_.B99990025
-30342.92773,-30386.34961,-2.70476,100.0,890.12085,0,1a8l_.B99990026
-30270.75586,-30159.07031,-2.68215,100.0,895.24084,0,1a8l_.B99990027
-30218.84766,-30028.49023,-2.66588,100.0,926.36414,0,1a8l_.B99990028
-29494.71289,-28907.69141,-2.43896,100.0,1524.48596,0,1a8l_.B99990029
-29989.51172,-29659.17773,-2.59401,100.0,1042.05896,0,1a8l_.B99990030
-29886.69531,-29231.37109,-2.56179,100.0,1038.27771,0,1a8l_.B99990031
-30088.75,-29901.17383,-2.62511,100.0,913.07251,0,1a8l_.B99990032
-30101.00195,-29953.40039,-2.62895,100.0,962.5639,0,1a8l_.B99990033
-30198.875,-30035.96289,-2.65962,100.0,937.30157,0,1a8l_.B99990034
-30094.97461,-29875.32227,-2.62706,100.0,980.7124,0,1a8l_.B99990035
-30147.11914,-29742.07422,-2.6434,100.0,1038.29919,0,1a8l_.B99990036
-29997.6582,-29549.03516,-2.59656,100.0,965.64722,0,1a8l_.B99990037
-30274.67578,-30096.49219,-2.68337,100.0,1004.82074,0,1a8l_.B99990038
-30329.62891,-30184.60352,-2.70059,100.0,907.9646,0,1a8l_.B99990039
-30306.57812,-30360.66211,-2.69337,100.0,905.98938,0,1a8l_.B99990040
-30076.91016,-29892.95898,-2.6214,100.0,1001.26764,0,1a8l_.B99990041
-30205.25,-30158.17578,-2.66162,100.0,949.25958,0,1a8l_.B99990042
-30144.36133,-29841.10156,-2.64254,100.0,930.09662,0,1a8l_.B99990043
-30256.09961,-30117.06055,-2.67755,100.0,946.99097,0,1a8l_.B99990044
-29998.97461,-29720.61914,-2.59698,100.0,1060.72351,0,1a8l_.B99990045
-30035.53906,-29932.45312,-2.60844,100.0,978.59509,0,1a8l_.B99990046
-30006.82031,-29535.46289,-2.59944,100.0,975.21692,0,1a8l_.B99990047
-30250.08984,-30054.07812,-2.67567,100.0,946.026,0,1a8l_.B99990048
-30173.99414,-29967.96289,-2.65182,100.0,996.99207,0,1a8l_.B99990049
-30086.70898,-30122.69727,-2.62447,100.0,1012.50543,0,1a8l_.B99990050
