DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-19428.60156,-19660.96875,-2.14941,100.0,860.18634,0,1a3c_.B99990001
-19467.2832,-19575.22266,-2.16591,100.0,827.62787,0,1a3c_.B99990002
-19486.17969,-19741.59961,-2.17397,100.0,832.12305,0,1a3c_.B99990003
-19499.58984,-19675.86914,-2.17969,100.0,833.54144,0,1a3c_.B99990004
-19291.86133,-19439.19336,-2.09107,100.0,860.18317,0,1a3c_.B99990005
-19620.05078,-19978.09375,-2.23109,99.4,832.38275,1,1a3c_.B99990006
-19360.55078,-19459.26953,-2.12037,100.0,881.97882,0,1a3c_.B99990007
-19482.62305,-19644.98633,-2.17245,100.0,803.39807,0,1a3c_.B99990008
-19576.63867,-19878.22266,-2.21257,100.0,837.35205,0,1a3c_.B99990009
-19457.07617,-19726.04883,-2.16156,100.0,816.96796,0,1a3c_.B99990010
-19309.52148,-19211.77734,-2.0986,100.0,890.67072,0,1a3c_.B99990011
-19486.10742,-19753.8418,-2.17394,99.4,869.61786,1,1a3c_.B99990012
-19642.84375,-20070.11133,-2.24081,99.4,837.70227,1,1a3c_.B99990013
-19709.39844,-20185.51172,-2.26921,100.0,814.099,0,1a3c_.B99990014
-19554.30273,-19800.32812,-2.20304,100.0,814.2561,0,1a3c_.B99990015
-19467.90234,-19758.43555,-2.16617,99.4,798.47626,1,1a3c_.B99990016
-19320.85742,-19401.87891,-2.10344,98.8,933.58582,2,1a3c_.B99990017
-19532.05859,-19669.91211,-2.19355,100.0,837.80505,0,1a3c_.B99990018
-19453.3418,-19774.62695,-2.15996,99.4,877.53601,1,1a3c_.B99990019
-19435.94336,-19336.78906,-2.15254,100.0,814.7171,0,1a3c_.B99990020
-19480.06641,-19664.39062,-2.17136,99.4,820.88043,1,1a3c_.B99990021
-19636.39844,-19918.33984,-2.23806,100.0,791.50378,0,1a3c_.B99990022
-19287.12109,-19144.04297,-2.08905,100.0,924.92432,0,1a3c_.B99990023
-19479.52539,-19727.07227,-2.17113,100.0,858.2793,0,1a3c_.B99990024
-19423.78516,-19444.37109,-2.14735,100.0,863.42657,0,1a3c_.B99990025
-19448.26367,-19756.33398,-2.1578,100.0,895.98187,0,1a3c_.B99990026
-19439.36133,-19521.32422,-2.154,100.0,930.06738,0,1a3c_.B99990027
-19338.16797,-19343.73047,-2.11083,100.0,862.29114,0,1a3c_.B99990028
-19404.91016,-19472.05664,-2.1393,100.0,820.4801,0,1a3c_.B99990029
-19405.32812,-19773.41992,-2.13948,100.0,838.76819,0,1a3c_.B99990030
-19588.67969,-19936.4375,-2.2177,100.0,844.64703,0,1a3c_.B99990031
-19493.07227,-19965.01953,-2.17691,100.0,844.51904,0,1a3c_.B99990032
-19475.2207,-19752.48047,-2.1693,100.0,845.55847,0,1a3c_.B99990033
-19445.28711,-19786.55469,-2.15653,100.0,838.46771,0,1a3c_.B99990034
-19324.8125,-19649.30078,-2.10513,100.0,860.35596,0,1a3c_.B99990035
-19441.43555,-19652.32812,-2.15488,100.0,834.25427,0,1a3c_.B99990036
-19480.47656,-19806.84766,-2.17154,100.0,876.52045,0,1a3c_.B99990037
-19403.50781,-19764.43945,-2.1387,100.0,827.41803,0,1a3c_.B99990038
-19505.91016,-19987.25,-2.18239,100.0,860.32251,0,1a3c_.B99990039
-19487.29297,-19692.99609,-2.17445,100.0,836.13867,0,1a3c_.B99990040
-19558.8418,-19794.35352,-2.20497,100.0,840.73822,0,1a3c_.B99990041
-19447.23438,-19772.70117,-2.15736,100.0,804.9538,0,1a3c_.B99990042
-19559.61523,-19990.51172,-2.2053,100.0,925.94806,0,1a3c_.B99990043
-19621.53906,-19997.03125,-2.23172,100.0,870.70001,0,1a3c_.B99990044
-19318.6875,-19190.66016,-2.10251,100.0,901.91046,0,1a3c_.B99990045
-19411.53906,-19495.76953,-2.14213,99.4,882.43774,1,1a3c_.B99990046
-19559.76172,-19885.83789,-2.20536,100.0,817.04468,0,1a3c_.B99990047
-19387.53516,-19655.48047,-2.13189,100.0,867.83044,0,1a3c_.B99990048
-19509.42383,-19594.80273,-2.18389,99.4,829.21936,1,1a3c_.B99990049
-19394.85938,-19557.39062,-2.13501,100.0,837.47601,0,1a3c_.B99990050
