DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-6570.3042,-4907.37598,0.1912,100.0,535.90198,0,1aqe_.B99990001
-6540.22949,-4866.56934,0.21056,100.0,534.18567,0,1aqe_.B99990002
-6639.58545,-4904.12842,0.14659,99.1,547.40503,1,1aqe_.B99990003
-6562.82373,-4863.0542,0.19602,99.1,532.23785,1,1aqe_.B99990004
-6344.68994,-4423.86182,0.33646,98.1,544.60187,2,1aqe_.B99990005
-6464.05322,-4573.7998,0.25961,100.0,527.19348,0,1aqe_.B99990006
-6534.36914,-4873.6958,0.21434,100.0,564.92255,0,1aqe_.B99990007
-6541.69385,-4746.85596,0.20962,100.0,521.10046,0,1aqe_.B99990008
-6709.24707,-5167.9707,0.10174,100.0,593.30206,0,1aqe_.B99990009
-6541.66016,-4626.875,0.20964,99.1,537.16504,1,1aqe_.B99990010
-6601.42676,-5189.7583,0.17116,99.1,548.46362,1,1aqe_.B99990011
-6659.97949,-5140.47314,0.13346,97.2,627.99426,3,1aqe_.B99990012
-6509.61621,-4702.64893,0.23027,100.0,543.85065,0,1aqe_.B99990013
-6613.13623,-4870.03223,0.16362,99.1,538.65552,1,1aqe_.B99990014
-6502.13867,-5010.81641,0.23509,99.1,535.43237,1,1aqe_.B99990015
-6482.62598,-4779.01172,0.24765,99.1,538.2019,1,1aqe_.B99990016
-6432.62939,-4460.23877,0.27984,98.1,505.0531,2,1aqe_.B99990017
-6373.48291,-3902.89136,0.31792,98.1,724.77759,2,1aqe_.B99990018
-6443.96631,-4662.60254,0.27254,99.1,572.57404,1,1aqe_.B99990019
-6491.24756,-4586.1001,0.2421,98.1,548.25409,2,1aqe_.B99990020
-6482.18604,-4625.0957,0.24793,99.1,531.58862,1,1aqe_.B99990021
-6539.62939,-4860.98438,0.21095,100.0,529.45343,0,1aqe_.B99990022
-6745.28857,-5426.8335,0.07854,98.1,552.02594,2,1aqe_.B99990023
-6418.19922,-4296.29932,0.28913,98.1,573.90381,2,1aqe_.B99990024
-6424.74414,-4245.23291,0.28492,98.1,595.97443,2,1aqe_.B99990025
-6300.39795,-4495.41016,0.36497,99.1,558.33142,1,1aqe_.B99990026
-6354.93701,-4201.5874,0.32986,99.1,655.3399,1,1aqe_.B99990027
-6573.05273,-4969.11719,0.18943,100.0,548.92566,0,1aqe_.B99990028
-6536.23584,-4857.67041,0.21313,97.2,569.77679,3,1aqe_.B99990029
-6658.80127,-4991.27686,0.13422,100.0,549.98492,0,1aqe_.B99990030
-6495.39893,-4704.66162,0.23943,99.1,638.28564,1,1aqe_.B99990031
-6431.72461,-4720.70703,0.28042,99.1,555.54913,1,1aqe_.B99990032
-6541.65625,-4755.92432,0.20964,100.0,568.27252,0,1aqe_.B99990033
-6309.91504,-4421.16406,0.35885,99.1,512.36072,1,1aqe_.B99990034
-6303.22803,-4268.60059,0.36315,98.1,711.31104,2,1aqe_.B99990035
-6577.58057,-5130.33838,0.18652,99.1,496.67743,1,1aqe_.B99990036
-6418.29492,-4666.40332,0.28907,99.1,520.29395,1,1aqe_.B99990037
-6594.71631,-4826.88477,0.17548,99.1,520.72205,1,1aqe_.B99990038
-6518.7251,-4569.71533,0.22441,100.0,511.81094,0,1aqe_.B99990039
-6551.75342,-5195.44141,0.20314,99.1,540.3609,1,1aqe_.B99990040
-6463.11279,-4552.52344,0.26021,98.1,565.73065,2,1aqe_.B99990041
-6469.00293,-4709.12598,0.25642,100.0,599.13293,0,1aqe_.B99990042
-6512.50488,-4834.80176,0.22841,98.1,562.76404,2,1aqe_.B99990043
-6666.96631,-5274.7168,0.12897,100.0,516.43188,0,1aqe_.B99990044
-6574.91357,-4887.38525,0.18823,98.1,559.62213,2,1aqe_.B99990045
-6504.39648,-4786.03613,0.23363,99.1,518.26489,1,1aqe_.B99990046
-6353.31445,-4274.91943,0.3309,97.2,607.44153,3,1aqe_.B99990047
-6440.25293,-4484.42432,0.27493,97.2,566.67865,3,1aqe_.B99990048
-6586.80078,-4938.47559,0.18058,99.1,534.04028,1,1aqe_.B99990049
-6579.60986,-4815.81836,0.18521,98.1,666.76099,2,1aqe_.B99990050
