DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-10297.83691,-7898.82275,0.37496,97.5,1213.36438,3,1aqcA.B99990001
-10373.31738,-8114.05273,0.33078,97.5,1099.5188,3,1aqcA.B99990002
-10462.11133,-8469.8916,0.27881,95.8,1229.33276,5,1aqcA.B99990003
-10489.61328,-8617.27148,0.26271,95.8,1093.30017,5,1aqcA.B99990004
-10483.73438,-8665.62695,0.26615,95.8,1068.28821,5,1aqcA.B99990005
-10303.26074,-8284.72949,0.37178,97.5,1073.31714,3,1aqcA.B99990006
-10331.15332,-8298.4082,0.35546,96.6,1069.15503,4,1aqcA.B99990007
-10213.38086,-8037.23682,0.42439,94.1,1095.25037,7,1aqcA.B99990008
-10524.89355,-8505.90723,0.24206,95.8,1095.9425,5,1aqcA.B99990009
-10257.22656,-8187.42773,0.39873,98.3,1073.78967,2,1aqcA.B99990010
-10184.76855,-7704.98193,0.44114,96.6,1555.90479,4,1aqcA.B99990011
-10488.49902,-8558.83203,0.26336,98.3,1145.43018,2,1aqcA.B99990012
-10415.95801,-8310.45215,0.30582,96.6,1132.84973,4,1aqcA.B99990013
-10407.93848,-8429.72266,0.31052,96.6,1119.91724,4,1aqcA.B99990014
-10560.49805,-8194.83008,0.22122,95.8,1090.29187,5,1aqcA.B99990015
-10517.64844,-8521.25879,0.2463,97.5,1092.53674,3,1aqcA.B99990016
-10657.27148,-8743.97754,0.16458,99.2,1125.69434,1,1aqcA.B99990017
-10409.26074,-8495.33691,0.30974,95.8,1120.0708,5,1aqcA.B99990018
-10503.31055,-8446.05664,0.25469,95.8,1097.28882,5,1aqcA.B99990019
-10466.96387,-8322.21973,0.27597,97.5,1098.42444,3,1aqcA.B99990020
-10515.35449,-8395.8916,0.24764,95.8,1145.08838,5,1aqcA.B99990021
-10599.78418,-8874.26953,0.19823,95.0,1146.93848,6,1aqcA.B99990022
-10646.03711,-8737.38379,0.17116,95.8,1083.72803,5,1aqcA.B99990023
-10526.06836,-8371.3252,0.24137,96.6,1112.60864,4,1aqcA.B99990024
-10463.29785,-8179.51367,0.27811,98.3,1206.12622,2,1aqcA.B99990025
-10444.70508,-8369.28027,0.289,99.2,1088.85632,1,1aqcA.B99990026
-10314.07715,-8110.18213,0.36545,94.1,1144.6626,7,1aqcA.B99990027
-10269.30371,-8163.77881,0.39166,95.0,1143.70935,6,1aqcA.B99990028
-10428.61816,-8269.26562,0.29841,95.8,1093.28931,5,1aqcA.B99990029
-10334.03809,-8050.82373,0.35377,96.6,1104.3075,4,1aqcA.B99990030
-10389.44531,-8187.08789,0.32134,97.5,1155.36218,3,1aqcA.B99990031
-10353.39941,-8283.12598,0.34244,99.2,1134.92102,1,1aqcA.B99990032
-10436.78516,-8437.53223,0.29363,96.6,1073.49768,4,1aqcA.B99990033
-10470.84277,-8410.10547,0.2737,95.8,1127.3623,5,1aqcA.B99990034
-10397.75391,-8148.46924,0.31648,97.5,1097.63501,3,1aqcA.B99990035
-10493.66211,-8574.35547,0.26034,98.3,1164.85425,2,1aqcA.B99990036
-10359.88281,-8195.2998,0.33864,95.8,1097.48425,5,1aqcA.B99990037
-10591.4502,-8772.91602,0.20311,97.5,1145.93799,3,1aqcA.B99990038
-10535.47559,-8603.96387,0.23587,99.2,1116.99158,1,1aqcA.B99990039
-10514.5791,-8596.40723,0.2481,96.6,1096.79858,4,1aqcA.B99990040
-10491.99023,-8583.05664,0.26132,95.8,1109.37427,5,1aqcA.B99990041
-10479.86133,-8490.53809,0.26842,95.8,1116.46948,5,1aqcA.B99990042
-10554.07812,-8681.17578,0.22498,97.5,1156.75378,3,1aqcA.B99990043
-10479.3418,-8472.86523,0.26872,95.8,1087.79089,5,1aqcA.B99990044
-10490.18359,-8403.79395,0.26238,97.5,1166.92358,3,1aqcA.B99990045
-10534.41797,-8387.91016,0.23649,97.5,1120.49268,3,1aqcA.B99990046
-10373.37402,-8115.08594,0.33075,98.3,1173.68835,2,1aqcA.B99990047
-10490.10938,-8302.87402,0.26242,96.6,1176.93176,4,1aqcA.B99990048
-10503.86133,-8503.03711,0.25437,95.8,1109.18542,5,1aqcA.B99990049
-10396.43652,-8122.68945,0.31725,98.3,1142.69006,2,1aqcA.B99990050
