DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-13550.40625,-12866.11328,-1.9757,99.1,569.92969,1,1auz_.B99990001
-13602.91602,-13025.25781,-2.00776,100.0,494.75726,0,1auz_.B99990002
-13377.38965,-12717.5625,-1.87007,100.0,517.20978,0,1auz_.B99990003
-13443.43652,-12797.45703,-1.9104,100.0,510.90353,0,1auz_.B99990004
-13545.1416,-12905.1875,-1.97249,100.0,516.16168,0,1auz_.B99990005
-13328.28125,-12392.65625,-1.84009,100.0,491.68491,0,1auz_.B99990006
-13562.80859,-12839.04004,-1.98328,99.1,596.91492,1,1auz_.B99990007
-13607.65723,-13171.57617,-2.01066,99.1,559.77197,1,1auz_.B99990008
-13669.46875,-13107.88477,-2.04839,100.0,568.18713,0,1auz_.B99990009
-13510.13574,-12917.76855,-1.95112,100.0,503.09601,0,1auz_.B99990010
-13625.21191,-13183.4834,-2.02137,100.0,507.21704,0,1auz_.B99990011
-13622.8252,-13022.43262,-2.01992,100.0,472.03232,0,1auz_.B99990012
-13558.66992,-12847.43555,-1.98075,99.1,550.42126,1,1auz_.B99990013
-13544.35352,-12862.01367,-1.97201,100.0,505.73492,0,1auz_.B99990014
-13524.41895,-12997.7334,-1.95984,100.0,475.44113,0,1auz_.B99990015
-13551.19238,-12799.9248,-1.97618,100.0,477.72989,0,1auz_.B99990016
-13579.23535,-12988.69141,-1.9933,100.0,512.12122,0,1auz_.B99990017
-13490.75195,-12880.97949,-1.93928,100.0,507.36078,0,1auz_.B99990018
-13569.13867,-13010.05469,-1.98714,100.0,536.66223,0,1auz_.B99990019
-13556.72754,-13022.51562,-1.97956,100.0,485.34335,0,1auz_.B99990020
-13460.38086,-12691.90039,-1.92074,100.0,517.0885,0,1auz_.B99990021
-13592.48145,-13048.16504,-2.00139,100.0,527.32043,0,1auz_.B99990022
-13511.20801,-12846.41016,-1.95177,99.1,563.74219,1,1auz_.B99990023
-13487.51758,-12795.62988,-1.93731,100.0,545.20526,0,1auz_.B99990024
-13658.74707,-13049.61719,-2.04185,100.0,488.29816,0,1auz_.B99990025
-13447.01758,-12813.83789,-1.91258,100.0,506.96152,0,1auz_.B99990026
-13508.85059,-12865.85059,-1.95033,100.0,523.55969,0,1auz_.B99990027
-13528.43262,-12948.7998,-1.96229,100.0,565.78375,0,1auz_.B99990028
-13675.10547,-13249.08887,-2.05184,100.0,488.33026,0,1auz_.B99990029
-13473.87207,-12816.20117,-1.92898,100.0,511.1759,0,1auz_.B99990030
-13400.66211,-12603.79395,-1.88428,100.0,525.95972,0,1auz_.B99990031
-13535.68848,-12922.37695,-1.96672,100.0,493.20297,0,1auz_.B99990032
-13502.7041,-12886.56543,-1.94658,100.0,509.72806,0,1auz_.B99990033
-13497.07129,-12863.67969,-1.94314,100.0,487.70993,0,1auz_.B99990034
-13612.6123,-13021.90625,-2.01368,100.0,497.15903,0,1auz_.B99990035
-13549.90918,-12822.12793,-1.9754,100.0,542.07489,0,1auz_.B99990036
-13708.26074,-13130.8252,-2.07208,100.0,499.92694,0,1auz_.B99990037
-13622.31543,-12818.41113,-2.01961,100.0,492.01181,0,1auz_.B99990038
-13575.24707,-12930.15039,-1.99087,100.0,529.34955,0,1auz_.B99990039
-13545.47852,-12806.42285,-1.97269,100.0,532.34497,0,1auz_.B99990040
-13503.34668,-12787.58301,-1.94697,100.0,564.13696,0,1auz_.B99990041
-13671.05371,-13026.43457,-2.04936,100.0,502.26645,0,1auz_.B99990042
-13464.49219,-12666.6748,-1.92325,100.0,496.22742,0,1auz_.B99990043
-13582.50684,-12941.02051,-1.9953,100.0,474.48096,0,1auz_.B99990044
-13708.31543,-13037.22949,-2.07211,100.0,494.93481,0,1auz_.B99990045
-13416.28711,-12830.8418,-1.89382,100.0,538.82635,0,1auz_.B99990046
-13690.76953,-13297.77246,-2.0614,100.0,479.70142,0,1auz_.B99990047
-13676.40234,-13051.9707,-2.05263,100.0,515.72107,0,1auz_.B99990048
-13571.64746,-12997.40234,-1.98867,100.0,491.11276,0,1auz_.B99990049
-13618.29199,-13083.83301,-2.01715,100.0,490.64401,0,1auz_.B99990050
