DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-49801.125,-43137.78516,-0.78105,97.8,2575.12109,10,1aop_.B99990001
-49947.23828,-44687.85156,-0.80374,98.2,2559.80054,8,1aop_.B99990002
-49681.8125,-43167.8125,-0.76252,98.0,2895.28418,9,1aop_.B99990003
-49283.19141,-42629.83203,-0.70061,97.8,2657.10376,10,1aop_.B99990004
-50151.14062,-44212.32031,-0.83541,98.7,2541.79419,6,1aop_.B99990005
-50329.72266,-44192.4375,-0.86315,98.7,2574.32983,6,1aop_.B99990006
-50368.96094,-44732.30859,-0.86924,99.1,2579.73291,4,1aop_.B99990007
-49764.44141,-43522.38281,-0.77535,98.2,2587.99512,8,1aop_.B99990008
-50236.37891,-45327.78906,-0.84865,98.0,2553.79492,9,1aop_.B99990009
-49977.44531,-43564.07812,-0.80843,98.0,2435.5293,9,1aop_.B99990010
-49987.69141,-44065.60156,-0.81002,97.8,2583.39258,10,1aop_.B99990011
-49997.55078,-44353.91406,-0.81156,98.2,2610.85645,8,1aop_.B99990012
-50509.46094,-45518.40234,-0.89106,98.7,2448.92041,6,1aop_.B99990013
-49633.67188,-42423.875,-0.75504,97.8,2561.73315,10,1aop_.B99990014
-50156.17969,-44308.22266,-0.83619,98.9,2867.33545,5,1aop_.B99990015
-49899.82031,-43781.51953,-0.79638,98.2,2579.26294,8,1aop_.B99990016
-50137.00781,-43534.875,-0.83321,97.8,2644.41846,10,1aop_.B99990017
-49782.82031,-43530.59375,-0.77821,98.5,2432.68896,7,1aop_.B99990018
-50040.05469,-44049.875,-0.81816,98.5,2448.36133,7,1aop_.B99990019
-50135.46875,-44032.63672,-0.83298,98.2,2589.55273,8,1aop_.B99990020
-50107.17578,-44066.57812,-0.82858,98.0,2656.37671,9,1aop_.B99990021
-50104.84375,-43446.80078,-0.82822,98.0,2538.67188,9,1aop_.B99990022
-49919.26562,-43836.99219,-0.7994,98.2,2537.77173,8,1aop_.B99990023
-49954.62109,-43919.64062,-0.80489,98.0,2648.60156,9,1aop_.B99990024
-49659.37109,-42956.24219,-0.75903,98.0,2553.33252,9,1aop_.B99990025
-50192.01172,-44107.70312,-0.84176,98.0,2513.32056,9,1aop_.B99990026
-50179.99219,-44833.07031,-0.83989,98.5,2520.08691,7,1aop_.B99990027
-49595.08203,-43043.12891,-0.74905,98.5,2483.78784,7,1aop_.B99990028
-50233.19922,-44736.73047,-0.84815,98.0,2579.20728,9,1aop_.B99990029
-49918.67578,-43970.30469,-0.79931,98.7,2755.47241,6,1aop_.B99990030
-49643.48828,-43227.29297,-0.75657,98.2,2729.41895,8,1aop_.B99990031
-49700.80469,-43830.52734,-0.76547,98.7,2728.29077,6,1aop_.B99990032
-49347.20703,-42766.6875,-0.71055,98.5,2799.60327,7,1aop_.B99990033
-49463.14844,-42495.08984,-0.72856,97.8,2850.45142,10,1aop_.B99990034
-49860.84766,-43814.91406,-0.79032,97.8,2591.49316,10,1aop_.B99990035
-49532.35938,-43202.12109,-0.73931,98.2,2772.4978,8,1aop_.B99990036
-50245.94531,-44738.40234,-0.85013,98.7,2429.68018,6,1aop_.B99990037
-50113.37891,-43694.29688,-0.82955,97.8,2737.20947,10,1aop_.B99990038
-49523.21484,-43075.85547,-0.73789,98.7,2663.77661,6,1aop_.B99990039
-50193.45703,-43297.08984,-0.84198,96.9,3043.24927,14,1aop_.B99990040
-49973.5,-44038.54688,-0.80782,98.7,2680.46021,6,1aop_.B99990041
-50005.29688,-44690.36719,-0.81276,97.6,2489.41602,11,1aop_.B99990042
-50216.46094,-44667.5625,-0.84555,98.2,2657.08862,8,1aop_.B99990043
-49689.47266,-43196.39453,-0.76371,98.5,2516.95288,7,1aop_.B99990044
-50559.35547,-45211.98828,-0.89881,98.0,2669.86353,9,1aop_.B99990045
-49672.99609,-43498.01172,-0.76115,98.2,2618.53857,8,1aop_.B99990046
-49978.17578,-43836.8125,-0.80855,97.8,2656.81299,10,1aop_.B99990047
-50865.22656,-45896.09766,-0.94631,98.0,2573.15405,9,1aop_.B99990048
-49632.17969,-43233.69531,-0.75481,98.0,2717.27856,9,1aop_.B99990049
-49529.41406,-42744.78906,-0.73885,97.8,2533.97632,10,1aop_.B99990050
