	Filename,Cluster,Nome_pdb
,0,1a6jA.B99990031
	1a6jA.B99990005.pdb,0,
	1a6jA.B99990008.pdb,0,
	1a6jA.B99990011.pdb,0,
	1a6jA.B99990012.pdb,0,
	1a6jA.B99990017.pdb,0,
	1a6jA.B99990018.pdb,0,
	1a6jA.B99990019.pdb,0,
	1a6jA.B99990020.pdb,0,
	1a6jA.B99990021.pdb,0,
	1a6jA.B99990023.pdb,0,
	1a6jA.B99990024.pdb,0,
	1a6jA.B99990026.pdb,0,
	1a6jA.B99990027.pdb,0,
	1a6jA.B99990028.pdb,0,
	1a6jA.B99990029.pdb,0,
	1a6jA.B99990031.pdb,0,
	1a6jA.B99990032.pdb,0,
	1a6jA.B99990033.pdb,0,
	1a6jA.B99990034.pdb,0,
	1a6jA.B99990036.pdb,0,
	1a6jA.B99990040.pdb,0,
	1a6jA.B99990041.pdb,0,
	1a6jA.B99990043.pdb,0,
	1a6jA.B99990045.pdb,0,
	1a6jA.B99990046.pdb,0,
,1,1a6jA.B99990044
	1a6jA.B99990001.pdb,1,
	1a6jA.B99990002.pdb,1,
	1a6jA.B99990003.pdb,1,
	1a6jA.B99990004.pdb,1,
	1a6jA.B99990006.pdb,1,
	1a6jA.B99990007.pdb,1,
	1a6jA.B99990009.pdb,1,
	1a6jA.B99990010.pdb,1,
	1a6jA.B99990013.pdb,1,
	1a6jA.B99990014.pdb,1,
	1a6jA.B99990015.pdb,1,
	1a6jA.B99990016.pdb,1,
	1a6jA.B99990022.pdb,1,
	1a6jA.B99990025.pdb,1,
	1a6jA.B99990030.pdb,1,
	1a6jA.B99990035.pdb,1,
	1a6jA.B99990037.pdb,1,
	1a6jA.B99990038.pdb,1,
	1a6jA.B99990039.pdb,1,
	1a6jA.B99990042.pdb,1,
	1a6jA.B99990044.pdb,1,
	1a6jA.B99990047.pdb,1,
	1a6jA.B99990048.pdb,1,
	1a6jA.B99990049.pdb,1,
	1a6jA.B99990050.pdb,1,
