DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-10037.08301,-9351.46484,-1.21581,98.1,711.89532,2,1a2pA.B99990001
-10063.41504,-9359.44727,-1.23307,99.1,627.10767,1,1a2pA.B99990002
-10189.04004,-9659.0166,-1.31545,99.1,609.86035,1,1a2pA.B99990003
-10235.68555,-9725.84961,-1.34604,98.1,603.58563,2,1a2pA.B99990004
-10165.25098,-9606.23145,-1.29985,98.1,666.04431,2,1a2pA.B99990005
-10101.21973,-9619.17969,-1.25786,98.1,634.65851,2,1a2pA.B99990006
-10061.38867,-9052.26367,-1.23174,98.1,697.02173,2,1a2pA.B99990007
-9945.46289,-9187.42773,-1.15573,98.1,668.39984,2,1a2pA.B99990008
-10149.79004,-9593.69727,-1.28971,99.1,653.21271,1,1a2pA.B99990009
-10211.4248,-9584.4834,-1.33013,98.1,655.65094,2,1a2pA.B99990010
-10198.04883,-9665.17773,-1.32136,98.1,638.48248,2,1a2pA.B99990011
-10198.06543,-9519.90137,-1.32137,99.1,675.71222,1,1a2pA.B99990012
-10245.38281,-9850.46094,-1.3524,98.1,610.91467,2,1a2pA.B99990013
-10158.03125,-9576.18164,-1.29512,98.1,600.95428,2,1a2pA.B99990014
-10124.69043,-9356.36816,-1.27325,98.1,708.77618,2,1a2pA.B99990015
-10059.39551,-9238.47949,-1.23044,98.1,637.8587,2,1a2pA.B99990016
-10056.14551,-9380.41602,-1.22831,98.1,647.56512,2,1a2pA.B99990017
-10028.94043,-9464.72559,-1.21047,98.1,650.9826,2,1a2pA.B99990018
-9942.64746,-9197.01758,-1.15388,98.1,709.95624,2,1a2pA.B99990019
-10188.0293,-9355.97852,-1.31479,98.1,678.50574,2,1a2pA.B99990020
-10214.77539,-9588.79102,-1.33233,99.1,627.67773,1,1a2pA.B99990021
-10208.13477,-9663.80371,-1.32797,99.1,621.32904,1,1a2pA.B99990022
-9983.01953,-9261.26074,-1.18035,99.1,688.78979,1,1a2pA.B99990023
-10014.87109,-9203.31641,-1.20124,99.1,676.35242,1,1a2pA.B99990024
-9795.31836,-8783.93945,-1.05727,98.1,666.39648,2,1a2pA.B99990025
-10198.15137,-9371.6416,-1.32143,99.1,717.04614,1,1a2pA.B99990026
-10202.46777,-9526.84766,-1.32426,98.1,652.01337,2,1a2pA.B99990027
-10123.65039,-9271.60156,-1.27257,98.1,690.69293,2,1a2pA.B99990028
-10106.96582,-9504.55078,-1.26163,99.1,659.84741,1,1a2pA.B99990029
-10019.36914,-9334.66016,-1.20419,98.1,777.53436,2,1a2pA.B99990030
-10063.25488,-9470.50391,-1.23297,98.1,673.84747,2,1a2pA.B99990031
-10080.62793,-9413.40332,-1.24436,99.1,634.24915,1,1a2pA.B99990032
-10122.18652,-9436.00293,-1.27161,98.1,605.5752,2,1a2pA.B99990033
-10041.7666,-9262.95801,-1.21888,98.1,729.86481,2,1a2pA.B99990034
-10199.22168,-9614.98438,-1.32213,98.1,626.9339,2,1a2pA.B99990035
-10188.82227,-9733.65625,-1.31531,98.1,693.66785,2,1a2pA.B99990036
-10056.65723,-9400.42285,-1.22864,99.1,734.58948,1,1a2pA.B99990037
-10059.90039,-9259.56543,-1.23077,98.1,657.52734,2,1a2pA.B99990038
-9946.20117,-9099.9502,-1.15621,98.1,641.22955,2,1a2pA.B99990039
-10061.77637,-9438.67676,-1.232,98.1,666.79529,2,1a2pA.B99990040
-10177.63086,-9691.62695,-1.30797,98.1,603.82257,2,1a2pA.B99990041
-10211.57324,-9639.95996,-1.33023,99.1,683.76819,1,1a2pA.B99990042
-10081.03613,-9369.77344,-1.24463,99.1,650.86804,1,1a2pA.B99990043
-10169.51074,-9510.44922,-1.30265,98.1,643.64966,2,1a2pA.B99990044
-10245.67676,-9759.80957,-1.35259,99.1,619.94446,1,1a2pA.B99990045
-10160.30176,-9565.4375,-1.29661,98.1,633.04248,2,1a2pA.B99990046
-10127.81641,-9414.93555,-1.2753,99.1,701.44891,1,1a2pA.B99990047
-10228.86719,-9830.15527,-1.34157,98.1,610.77448,2,1a2pA.B99990048
-10167.83203,-9446.21875,-1.30155,99.1,679.25098,1,1a2pA.B99990049
-10116.87402,-9418.4707,-1.26813,98.1,634.69122,2,1a2pA.B99990050
