DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-37171.375,-35157.09375,-2.10695,99.6,2248.25659,1,1aquA.B99990001
-37109.72266,-35008.09375,-2.09141,99.6,2311.42432,1,1aquA.B99990002
-37178.34375,-35300.5,-2.10871,99.6,2255.58301,1,1aquA.B99990003
-36849.97266,-34374.07812,-2.02594,99.6,2481.87671,1,1aquA.B99990004
-36975.25781,-34588.11328,-2.05752,99.6,2321.82275,1,1aquA.B99990005
-36789.39453,-34244.44531,-2.01068,99.6,2303.72583,1,1aquA.B99990006
-37034.86719,-35042.19531,-2.07254,99.6,2300.55518,1,1aquA.B99990007
-36927.58203,-34643.52344,-2.0455,99.6,2478.87524,1,1aquA.B99990008
-36882.92578,-34541.05859,-2.03425,99.6,2405.67822,1,1aquA.B99990009
-37215.64453,-35199.58594,-2.11811,99.6,2334.76489,1,1aquA.B99990010
-36984.96875,-34636.8125,-2.05997,99.6,2385.27979,1,1aquA.B99990011
-36693.39453,-33968.92578,-1.98648,99.6,2590.87622,1,1aquA.B99990012
-37179.74219,-35315.28906,-2.10906,99.6,2416.448,1,1aquA.B99990013
-36923.97266,-34821.85156,-2.0446,100.0,2382.23486,0,1aquA.B99990014
-37166.80469,-35030.02344,-2.1058,99.6,2390.02295,1,1aquA.B99990015
-36869.23047,-34366.59375,-2.0308,99.6,2404.52051,1,1aquA.B99990016
-37049.06641,-34916.125,-2.07612,99.6,2278.20898,1,1aquA.B99990017
-37097.44531,-35067.35156,-2.08832,99.6,2720.45728,1,1aquA.B99990018
-36868.83203,-34549.07812,-2.0307,99.6,2354.74756,1,1aquA.B99990019
-36713.84375,-34079.625,-1.99164,100.0,2588.30103,0,1aquA.B99990020
-37117.64453,-34953.16406,-2.09341,100.0,2274.37915,0,1aquA.B99990021
-36925.83594,-35014.11719,-2.04506,99.3,2408.87207,2,1aquA.B99990022
-36742.97266,-34437.85547,-1.99898,100.0,2337.00244,0,1aquA.B99990023
-36590.10156,-34108.70703,-1.96045,99.6,2491.94897,1,1aquA.B99990024
-36811.29297,-34380.75,-2.0162,99.6,2517.23315,1,1aquA.B99990025
-37204.80859,-35340.74609,-2.11538,99.6,2320.8645,1,1aquA.B99990026
-36772.67188,-34376.49609,-2.00646,99.6,2408.65332,1,1aquA.B99990027
-37004.01172,-34547.64453,-2.06477,99.3,2517.13989,2,1aquA.B99990028
-36685.39062,-34116.11719,-1.98446,99.3,2589.46875,2,1aquA.B99990029
-37194.38672,-35415.66797,-2.11275,99.6,2288.53833,1,1aquA.B99990030
-36866.69922,-34574.41797,-2.03016,99.6,2417.67676,1,1aquA.B99990031
-36932.35938,-34429.18359,-2.04671,99.6,2349.104,1,1aquA.B99990032
-36987.47656,-34829.75391,-2.0606,99.3,2365.22144,2,1aquA.B99990033
-36955.85938,-34410.85156,-2.05263,99.6,2460.21606,1,1aquA.B99990034
-37183.96094,-35230.02734,-2.11012,99.6,2370.18506,1,1aquA.B99990035
-37070.57812,-35126.32422,-2.08154,100.0,2256.92749,0,1aquA.B99990036
-36717.16406,-33764.32031,-1.99247,99.6,2553.45093,1,1aquA.B99990037
-37052.12891,-35204.94531,-2.07689,99.6,2228.74756,1,1aquA.B99990038
-36997.32422,-34937.25391,-2.06308,99.6,2286.22437,1,1aquA.B99990039
-37181.75391,-35205.10156,-2.10956,99.6,2315.00708,1,1aquA.B99990040
-37072.64844,-34856.82422,-2.08207,99.6,2332.74072,1,1aquA.B99990041
-36802.61719,-34583.35938,-2.01401,99.6,2549.09863,1,1aquA.B99990042
-37188.94531,-35272.34375,-2.11138,99.6,2269.29175,1,1aquA.B99990043
-37212.07422,-35144.83984,-2.11721,99.6,2357.65063,1,1aquA.B99990044
-36726.91406,-34741.21875,-1.99493,99.6,2421.86572,1,1aquA.B99990045
-36900.1875,-34571.58203,-2.0386,99.6,2414.69141,1,1aquA.B99990046
-37153.32812,-34918.96094,-2.1024,99.6,2282.97485,1,1aquA.B99990047
-37006.34766,-34809.22266,-2.06536,99.6,2310.81934,1,1aquA.B99990048
-37154.58203,-35020.27344,-2.10272,99.6,2330.44922,1,1aquA.B99990049
-36950.61328,-34910.98047,-2.05131,99.6,2330.65894,1,1aquA.B99990050
