DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-5197.45166,-5300.53027,0.22514,97.4,316.51108,2,1am9A.B99990001
-5250.03467,-5429.87158,0.17859,97.4,332.89392,2,1am9A.B99990002
-5210.5752,-5299.3208,0.21352,97.4,332.66241,2,1am9A.B99990003
-5114.23828,-5206.58545,0.2988,97.4,366.8277,2,1am9A.B99990004
-5146.07471,-5199.62354,0.27062,97.4,356.09299,2,1am9A.B99990005
-5206.38965,-5502.83398,0.21722,97.4,340.70419,2,1am9A.B99990006
-5227.58252,-5494.74463,0.19846,97.4,372.16681,2,1am9A.B99990007
-5163.28223,-5258.46436,0.25539,97.4,390.79926,2,1am9A.B99990008
-5161.16309,-5400.96533,0.25726,97.4,319.0629,2,1am9A.B99990009
-5168.91357,-5277.58643,0.2504,96.2,329.06793,3,1am9A.B99990010
-5167.92725,-5273.62988,0.25127,97.4,334.21222,2,1am9A.B99990011
-5318.84766,-5507.51758,0.11767,98.7,336.90085,1,1am9A.B99990012
-4921.93359,-4846.93701,0.46904,97.4,382.45584,2,1am9A.B99990013
-5188.78711,-5267.98584,0.23281,97.4,364.63876,2,1am9A.B99990014
-5048.49023,-5184.26367,0.35701,98.7,383.47937,1,1am9A.B99990015
-5476.06592,-5543.26904,-0.02151,98.7,337.39471,1,1am9A.B99990016
-5231.79248,-5495.69189,0.19474,97.4,366.03198,2,1am9A.B99990017
-5114.90723,-5226.25342,0.29821,97.4,317.74493,2,1am9A.B99990018
-5214.25732,-5199.37109,0.21026,97.4,322.35303,2,1am9A.B99990019
-5076.53027,-5064.97119,0.33218,97.4,364.94382,2,1am9A.B99990020
-5013.25146,-4999.14648,0.3882,97.4,366.16675,2,1am9A.B99990021
-5214.83887,-5466.87939,0.20974,97.4,335.77655,2,1am9A.B99990022
-5224.36523,-5433.25,0.20131,97.4,341.29114,2,1am9A.B99990023
-5304.54248,-5277.83643,0.13033,96.2,335.66501,3,1am9A.B99990024
-5205.3291,-5236.66846,0.21816,97.4,334.00162,2,1am9A.B99990025
-5121.13965,-5261.36377,0.29269,97.4,357.91879,2,1am9A.B99990026
-5069.9834,-5019.39404,0.33798,97.4,341.13788,2,1am9A.B99990027
-5159.08496,-5207.75732,0.2591,97.4,327.77911,2,1am9A.B99990028
-5201.63916,-5340.4126,0.22143,97.4,334.26834,2,1am9A.B99990029
-5195.76318,-5284.26074,0.22663,97.4,338.04227,2,1am9A.B99990030
-5137.91699,-5300.01367,0.27784,97.4,343.74808,2,1am9A.B99990031
-5188.70068,-5299.59082,0.23288,97.4,356.10538,2,1am9A.B99990032
-5039.82568,-5051.53174,0.36468,97.4,318.69733,2,1am9A.B99990033
-5181.17529,-5225.11768,0.23955,96.2,340.79877,3,1am9A.B99990034
-5369.4043,-5571.7124,0.07291,97.4,344.31296,2,1am9A.B99990035
-5321.97461,-5477.02295,0.1149,98.7,321.32553,1,1am9A.B99990036
-5368.56445,-5655.89209,0.07366,97.4,329.84158,2,1am9A.B99990037
-5149.43213,-5368.3374,0.26765,97.4,348.60242,2,1am9A.B99990038
-5265.37256,-5413.7832,0.16501,97.4,336.1911,2,1am9A.B99990039
-5199.5957,-5258.30127,0.22324,97.4,338.95306,2,1am9A.B99990040
-5237.74951,-5457.47217,0.18946,97.4,325.72556,2,1am9A.B99990041
-5280.98438,-5376.09912,0.15119,97.4,323.80347,2,1am9A.B99990042
-5171.93506,-5296.51758,0.24773,97.4,322.67801,2,1am9A.B99990043
-5072.60645,-5043.56299,0.33566,97.4,357.41675,2,1am9A.B99990044
-5086.90576,-5126.31787,0.323,98.7,357.00565,1,1am9A.B99990045
-5304.61914,-5463.14746,0.13026,97.4,336.99918,2,1am9A.B99990046
-5225.92627,-5505.05518,0.19993,97.4,333.58429,2,1am9A.B99990047
-5121.67578,-5110.71826,0.29222,96.2,349.68716,3,1am9A.B99990048
-4998.40918,-5047.8252,0.40134,97.4,337.83936,2,1am9A.B99990049
-5176.41064,-5339.72754,0.24376,97.4,345.53384,2,1am9A.B99990050
