DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-55330.76953,-49221.21484,-0.70663,99.0,2535.73584,5,1a4sA.B99990001
-55571.875,-49357.75391,-0.74058,99.0,2482.55713,5,1a4sA.B99990002
-55918.28516,-49939.28906,-0.78936,99.2,2410.86646,4,1a4sA.B99990003
-55160.19141,-49091.73438,-0.68262,99.0,2470.77979,5,1a4sA.B99990004
-55629.98047,-49474.28516,-0.74876,99.4,2406.07397,3,1a4sA.B99990005
-55507.36328,-49123.60156,-0.7315,98.8,2634.2583,6,1a4sA.B99990006
-55291.25,-49124.07812,-0.70107,99.2,2327.35327,4,1a4sA.B99990007
-55248.69531,-48763.89062,-0.69508,99.2,2569.31787,4,1a4sA.B99990008
-55582.23047,-49755.58203,-0.74204,99.2,2393.39746,4,1a4sA.B99990009
-55326.00391,-49405.79297,-0.70596,99.0,2338.875,5,1a4sA.B99990010
-55130.91797,-48630.36719,-0.6785,99.2,2439.94531,4,1a4sA.B99990011
-55620.32422,-49326.23047,-0.7474,99.4,2360.74683,3,1a4sA.B99990012
-55280.93359,-49034.72656,-0.69962,99.0,2356.07324,5,1a4sA.B99990013
-55380.94531,-49147.86719,-0.7137,99.2,2581.7793,4,1a4sA.B99990014
-55653.96875,-49747.03125,-0.75214,99.0,2536.10205,5,1a4sA.B99990015
-55360.84766,-49137.24219,-0.71087,98.8,2487.18604,6,1a4sA.B99990016
-55941.05859,-50026.10156,-0.79256,99.0,2392.58569,5,1a4sA.B99990017
-55211.24609,-48653.14453,-0.68981,98.8,2439.62769,6,1a4sA.B99990018
-55411.85156,-48843.67188,-0.71805,99.4,2422.18286,3,1a4sA.B99990019
-55563.40625,-49252.5,-0.73939,99.0,2651.0144,5,1a4sA.B99990020
-55888.57031,-49603.85938,-0.78517,99.4,2316.66113,3,1a4sA.B99990021
-55403.42188,-49291.58594,-0.71686,99.2,2572.81812,4,1a4sA.B99990022
-55327.74609,-49138.95703,-0.70621,99.4,2536.92554,3,1a4sA.B99990023
-55836.54297,-50070.16016,-0.77785,99.6,2318.53027,2,1a4sA.B99990024
-55556.17969,-49204.53125,-0.73837,98.8,2406.73657,6,1a4sA.B99990025
-55335.95703,-49007.4375,-0.70736,99.2,2393.07397,4,1a4sA.B99990026
-55152.45312,-49061.71875,-0.68153,98.8,2477.10986,6,1a4sA.B99990027
-55232.97266,-48787.46094,-0.69286,98.8,2399.94971,6,1a4sA.B99990028
-55114.84375,-48801.42578,-0.67623,98.8,2639.83032,6,1a4sA.B99990029
-55384.20703,-49088.89062,-0.71416,99.2,2464.28735,4,1a4sA.B99990030
-55291.3125,-48616.09766,-0.70108,99.2,2410.36792,4,1a4sA.B99990031
-55788.89844,-49955.27734,-0.77114,99.0,2507.12769,5,1a4sA.B99990032
-55147.28906,-48401.08594,-0.6808,99.0,2462.17725,5,1a4sA.B99990033
-55696.46094,-50008.04297,-0.75812,99.0,2363.77563,5,1a4sA.B99990034
-55321.35156,-48832.70312,-0.70531,99.2,2410.91431,4,1a4sA.B99990035
-55279.53516,-49050.82422,-0.69942,99.2,2344.66064,4,1a4sA.B99990036
-55756.74219,-50125.76172,-0.76661,99.4,2355.75146,3,1a4sA.B99990037
-55615.21875,-48647.6875,-0.74668,99.2,2616.22266,4,1a4sA.B99990038
-55359.20703,-49581.27344,-0.71064,98.8,2410.29004,6,1a4sA.B99990039
-55518.53516,-49568.39453,-0.73307,99.0,2370.35034,5,1a4sA.B99990040
-55649.23438,-49597.91797,-0.75147,98.8,2531.46338,6,1a4sA.B99990041
-55319.06641,-48267.66016,-0.70499,99.4,2489.23462,3,1a4sA.B99990042
-55452.48047,-49500.10547,-0.72377,99.0,2417.10938,5,1a4sA.B99990043
-55453.8125,-49020.14453,-0.72396,99.4,2472.12573,3,1a4sA.B99990044
-55433.03125,-48879.20312,-0.72103,98.8,2404.07202,6,1a4sA.B99990045
-55460.04297,-49289.71094,-0.72484,99.4,2427.39966,3,1a4sA.B99990046
-55526.99219,-49799.79297,-0.73426,98.6,2421.68018,7,1a4sA.B99990047
-55518.07812,-49261.99219,-0.73301,99.2,2476.4873,4,1a4sA.B99990048
-55840.87109,-50091.03516,-0.77846,99.4,2413.10205,3,1a4sA.B99990049
-55422.41016,-49100.09375,-0.71954,99.4,2372.17554,3,1a4sA.B99990050
