DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-6377.37549,-5867.29834,-1.02107,98.6,269.39764,1,1adr_.B99990001
-6291.5874,-5687.27344,-0.94113,98.6,269.69086,1,1adr_.B99990002
-6452.6543,-5895.04346,-1.09122,98.6,245.41579,1,1adr_.B99990003
-6346.36816,-5765.10742,-0.99218,98.6,282.17505,1,1adr_.B99990004
-6335.76904,-5763.9292,-0.9823,100.0,263.5408,0,1adr_.B99990005
-6455.68115,-5893.21582,-1.09404,98.6,259.42963,1,1adr_.B99990006
-6282.05371,-5890.85938,-0.93224,100.0,263.25256,0,1adr_.B99990007
-6164.63818,-5525.85303,-0.82283,100.0,295.26221,0,1adr_.B99990008
-6257.00879,-5640.98633,-0.90891,100.0,342.13235,0,1adr_.B99990009
-6386.81689,-5861.8374,-1.02987,98.6,267.27957,1,1adr_.B99990010
-6315.76025,-5935.93994,-0.96365,98.6,265.74484,1,1adr_.B99990011
-6379.45215,-5736.28857,-1.02301,97.3,328.10861,2,1adr_.B99990012
-6415.01025,-6022.60889,-1.05614,100.0,287.72791,0,1adr_.B99990013
-6257.89844,-5658.38086,-0.90974,100.0,295.83154,0,1adr_.B99990014
-6291.78174,-5540.72607,-0.94131,100.0,262.40555,0,1adr_.B99990015
-6357.07422,-5795.35938,-1.00215,98.6,255.99034,1,1adr_.B99990016
-6227.16553,-5775.38232,-0.8811,98.6,248.79356,1,1adr_.B99990017
-6300.03076,-5719.3667,-0.949,98.6,279.12286,1,1adr_.B99990018
-6342.47266,-5754.13184,-0.98855,100.0,292.26938,0,1adr_.B99990019
-6422.30859,-5923.69092,-1.06294,100.0,239.84689,0,1adr_.B99990020
-6469.71533,-5813.1626,-1.10712,98.6,271.91107,1,1adr_.B99990021
-6195.77539,-5567.10693,-0.85185,98.6,322.33939,1,1adr_.B99990022
-6416.70996,-6102.7417,-1.05773,98.6,277.84033,1,1adr_.B99990023
-6196.81348,-5557.71631,-0.85281,100.0,306.57242,0,1adr_.B99990024
-6325.11328,-5949.5293,-0.97237,100.0,277.29813,0,1adr_.B99990025
-6183.67822,-5598.01953,-0.84057,100.0,285.73114,0,1adr_.B99990026
-6353.41357,-5819.78857,-0.99874,100.0,253.52794,0,1adr_.B99990027
-6329.43311,-5791.3877,-0.9764,98.6,250.18607,1,1adr_.B99990028
-6320.55225,-5781.16748,-0.96812,98.6,269.65359,1,1adr_.B99990029
-6203.7124,-5652.33838,-0.85924,100.0,277.08163,0,1adr_.B99990030
-6278.74414,-5537.43164,-0.92916,100.0,306.42773,0,1adr_.B99990031
-6424.1084,-5637.82471,-1.06462,97.3,328.47977,2,1adr_.B99990032
-6080.19873,-5642.57031,-0.74414,100.0,254.09059,0,1adr_.B99990033
-6390.38086,-5768.91211,-1.03319,98.6,343.68613,1,1adr_.B99990034
-6330.30518,-5465.52393,-0.97721,97.3,355.30319,2,1adr_.B99990035
-6392.25244,-5666.00439,-1.03493,100.0,257.70581,0,1adr_.B99990036
-6296.69189,-5550.91455,-0.94589,98.6,275.83975,1,1adr_.B99990037
-6285.93896,-5703.15039,-0.93587,100.0,277.49625,0,1adr_.B99990038
-6442.89893,-5910.98584,-1.08213,97.3,317.76273,2,1adr_.B99990039
-6398.92041,-5904.12158,-1.04115,100.0,278.39651,0,1adr_.B99990040
-6399.45312,-5891.43359,-1.04165,98.6,254.24867,1,1adr_.B99990041
-6264.90625,-5815.54736,-0.91627,98.6,278.45087,1,1adr_.B99990042
-6372.53369,-5972.84033,-1.01656,100.0,273.88373,0,1adr_.B99990043
-6329.60889,-5538.30957,-0.97656,98.6,349.53342,1,1adr_.B99990044
-6258.61084,-5446.5874,-0.9104,97.3,337.40201,2,1adr_.B99990045
-6460.07715,-5657.21777,-1.09814,98.6,284.888,1,1adr_.B99990046
-6435.38672,-5849.96094,-1.07513,100.0,250.46622,0,1adr_.B99990047
-6401.97656,-6007.41113,-1.044,100.0,263.73871,0,1adr_.B99990048
-6309.92676,-5670.79834,-0.95822,97.3,308.80692,2,1adr_.B99990049
-6275.06689,-5382.26172,-0.92573,98.6,410.71341,1,1adr_.B99990050
