DOPE,DOPEHR,NDOPE,allowed,molpdf,outlier,pdb
-17563.79102,-17782.85352,-1.66966,98.7,640.38385,2,1allA.B99990001
-17297.77344,-17406.92578,-1.55191,98.7,641.8103,2,1allA.B99990002
-17238.91406,-17231.27344,-1.52585,98.7,646.18243,2,1allA.B99990003
-17346.28125,-17296.83984,-1.57338,98.7,654.43799,2,1allA.B99990004
-17350.77539,-17490.01562,-1.57537,98.1,582.28766,3,1allA.B99990005
-17229.00781,-17123.02734,-1.52147,98.1,643.0603,3,1allA.B99990006
-17330.43555,-17433.69336,-1.56636,98.1,601.24011,3,1allA.B99990007
-17419.82422,-17509.75586,-1.60593,98.1,595.06519,3,1allA.B99990008
-17380.64453,-17486.22461,-1.58859,98.7,639.9718,2,1allA.B99990009
-17296.0293,-17415.85352,-1.55114,98.1,651.52954,3,1allA.B99990010
-17237.12891,-17182.70117,-1.52506,98.1,636.63275,3,1allA.B99990011
-17530.81836,-17737.68359,-1.65506,98.1,634.71625,3,1allA.B99990012
-17398.15234,-17683.88281,-1.59634,98.1,605.93982,3,1allA.B99990013
-17273.97852,-17343.02344,-1.54137,98.1,646.63751,3,1allA.B99990014
-17382.72656,-17642.83398,-1.58951,98.1,626.74432,3,1allA.B99990015
-17081.6582,-16639.32812,-1.45625,98.1,677.94403,3,1allA.B99990016
-17209.75,-17014.41211,-1.51295,98.1,642.8783,3,1allA.B99990017
-17489.87305,-17764.28125,-1.63694,98.1,538.76465,3,1allA.B99990018
-17375.14258,-17429.26367,-1.58615,98.7,651.30811,2,1allA.B99990019
-17221.51172,-17135.78711,-1.51815,99.4,645.45966,1,1allA.B99990020
-17299.16797,-17433.51953,-1.55252,98.1,563.92377,3,1allA.B99990021
-17318.1582,-17458.14648,-1.56093,98.7,564.51703,2,1allA.B99990022
-17346.16211,-17339.54688,-1.57333,98.1,611.54584,3,1allA.B99990023
-17310.96875,-17148.50781,-1.55775,97.5,690.7937,4,1allA.B99990024
-17321.99609,-17371.8418,-1.56263,98.1,573.76941,3,1allA.B99990025
-17330.26953,-17246.35352,-1.56629,98.1,590.59558,3,1allA.B99990026
-17408.13086,-17582.87109,-1.60076,98.1,573.84027,3,1allA.B99990027
-17429.13672,-17664.69531,-1.61005,98.1,578.17072,3,1allA.B99990028
-17190.5625,-17103.97656,-1.50445,98.1,650.6651,3,1allA.B99990029
-17351.74414,-17426.15625,-1.5758,98.1,619.82275,3,1allA.B99990030
-17283.45312,-17316.44141,-1.54557,98.1,593.53473,3,1allA.B99990031
-17334.29102,-17369.98047,-1.56807,98.7,580.22058,2,1allA.B99990032
-17321.19727,-17378.66406,-1.56228,98.1,600.68414,3,1allA.B99990033
-17253.1582,-17169.13281,-1.53216,97.5,669.80573,4,1allA.B99990034
-17269.44922,-17066.76953,-1.53937,98.1,620.47668,3,1allA.B99990035
-17189.09766,-17181.55664,-1.5038,98.1,645.98328,3,1allA.B99990036
-17301.11133,-17659.1543,-1.55338,98.1,599.91174,3,1allA.B99990037
-17241.61328,-17162.54297,-1.52705,97.5,700.20166,4,1allA.B99990038
-17460.58008,-17618.07422,-1.62397,98.1,592.39069,3,1allA.B99990039
-17403.6582,-17531.05078,-1.59878,98.1,636.37402,3,1allA.B99990040
-17394.51367,-17489.11328,-1.59473,98.1,588.36346,3,1allA.B99990041
-17345.32422,-17390.24805,-1.57295,98.1,727.33649,3,1allA.B99990042
-17091.94531,-16932.45312,-1.4608,98.1,690.38519,3,1allA.B99990043
-17262.58594,-17341.86523,-1.53633,98.1,594.24634,3,1allA.B99990044
-17236.22852,-17053.74414,-1.52467,98.1,637.58661,3,1allA.B99990045
-17405.91016,-17576.47461,-1.59977,96.8,643.64868,5,1allA.B99990046
-17353.91602,-17475.79492,-1.57676,98.1,570.89111,3,1allA.B99990047
-17378.09375,-17494.89258,-1.58746,98.1,573.84167,3,1allA.B99990048
-17214.06836,-17209.85938,-1.51486,98.7,611.36664,2,1allA.B99990049
-17269.62109,-17403.68164,-1.53945,97.5,682.41693,4,1allA.B99990050
